C22orf34,,,,ZBTB7A,FCGBP,,SLC13A4,AKAP13,FCGBP,PLD1,NOTCH4,ESR2,EBF1,ERG,NFIA,HEYL,TCF7L1,ANXA3,REL,CSGALNACT1,ACAD10
TNFRSF1B,,,,SMAD2,CYFIP1,,GPC6,TRIM5,TLR5,WIPF1,LAPTM5,ETS1,EGR1,ESRRA,NFIB,IKZF1,ZEB1,ATP10A,RUNX1,CYFIP1,ACADL
ESAM,,,,FKBP5,RUNX1,,SGCZ,PARVB,ZNF124,ZBTB7A,IKZF1,ETS2,EGR3,ETS1,PGR,IRF8,CRYBG3,CLDN5,RUNX3,DISC1,ACAN
PKM,,,,BANP,DLEU1,,BACH1,ETS2,CYFIP1,SMAD2,MLXIP,ETV5,ELF1,ETS2,PRDM1,JUN,NEAT1,SLC2A1,SOX10,DOCK2,ACAP1
ABHD3,,,,CBFB,BNC2,,CD247,C22orf34,PIK3R5,FKBP5,DENND3,ETV6,ELF2,ETV5,PRDM16,JUNB,NFE2L2,SLC7A5,SOX5,ENTPD1,ACER2
ABCG2,,,,FOXK1,ENTPD1,,TRAF3IP3,RCOR1,RUNX1,VAX1,FOXF2,ETV7,ELF4,ETV6,PRRX1,JUND,PREX1,SLCO4A1,SREBF2,FAM149A,ACKR1
DENND3,,,,MID1IP1,A2M,,MTSS1,MIR34AHG,MFSD2A,BANP,S100A11,EZH2,ELK3,EZH2,RFX4,KLF6,UACA,ST8SIA6,SRRM3,GNB4,ACKR3
MECOM,,,,WARS2,FOXP2,,AKNA,TNFRSF1B,RASAL3,LAIR1,KCTD12,FLI1,EP300,FLI1,RUNX1,LEF1,ANXA3,SYNE2,TAL1,IL18,ACO1
GPCPD1,,,,NFE2L2,TNFRSF1B,,GPCPD1,PKM,LY86,CBFB,RPS27,FOS,ERG,FOS,RUNX3,LHX6,ATP10A,DENND3,TBX15,ITPR2,ACOT1
ERG,,,,ELOVL5,CARD8,,MAP3K1,CPED1,BLNK,FOXK1,DISC1,FOSB,ESR2,FOSB,SOX10,MAF,BTNL9,HLA-E,TCF12,KYNU,ACOT11
FLT1,,,,GDNF,LRCH1,,C1QTNF1,ABHD3,TBC1D12,MID1IP1,PAG1,FOSL2,ESRRB,FOSL2,SOX6,MAFB,EPAS1,IL4R,TCF4,LAPTM5,ACP7
PALMD,,,,KLF9,SRGAP2C,,,DENND3,ABR,WARS2,ZFHX3,FOXC1,ETS1,FOXC1,SOX8,MECOM,FER1L6-AS2,IRAK3,TCF7L1,MEF2A,ACSBG1
TFRC,,,,CLUL1,PCDH9-AS2,,,PALMD,CD300A,ZNF536,CD14,FOXC2,ETS2,FOXC2,SREBF2,MEF2C,HTR2C,AKAP13,TCF7L2,MGAT4A,ACSF2
TM4SF18,,,,TANC1,SP100,,,TFRC,KLF16,ELOVL5,CD86,FOXD1,ETV5,FOXL1,TAL1,NFATC2,PECAM1,AOAH,ZEB1,NCKAP1L,ACSL1
PECAM1,,,,MITF,MAML3,,,FCGR3A,DUSP22,NFE2L2,LIMD1,FOXF1,ETV6,FOXN2,TBX15,NFIB,PTPRB,ARHGAP15,ZMAT4,NFIX,ACSL5
SUSD6,,,,RASL12,SCIN,,,SLCO2B1,EMB,SP4,ADAM28,FOXF2,FLI1,FOXN3,TCF12,NFIX,SLC2A1,ARHGAP25,ZNF536,PALD1,ACSM3
SAT1,,,,FBXL19,TGFBR2,,,COTL1,LAPTM5,KLF9,SYK,FOXJ3,FOS,FOXO1,TCF4,PBX1,SLC7A5,BMP2K,GAD1,PELI1,ACSM5
FGD5,,,,ELF1,AOAH,,,FGD5,BNC2,GDNF,FNDC3B,FOXL1,FOSB,FOXO3,TCF7L1,POU2F2,SLCO4A1,BNC2,GAD2,PIK3R5,ACSS1
,,,,,GLDN,,,,S100Z,CLUL1,LPAR6,FOXL2,FOSL1,FOXP2,TCF7L2,PPARG,ST8SIA6,CD74,RBMS3,PLCG2,ACSS3
,,,,,ARHGAP15,,,,PALD1,TANC1,HHIP,FOXN2,FOSL2,GABPB1,TEAD4,PRDM1,CD96,CPVL,KCNIP1,RAB31,ACTA2
,,,,,ST6GAL1,,,,ANKRD44,MITF,HLA-E,FOXN3,FOXC1,GATA2,ZEB1,PRDM16,SKAP1,CSF3R,CDH9,RAPGEF1,ACTL6A
,,,,,ALPK1,,,,WNT2B,RASL12,WDFY4,FOXO1,FOXC2,GATA3,ZIC1,RBFOX2,B2M,CTSB,GRIK3,SCIN,ACVR1
,,,,,FLI1,,,,IGSF21,FBXL19,IFNGR1,FOXP2,FOXD1,HES4,GRIK1,REL,B4GALT1,CTSC,NETO1,SH3TC1,ACVR1C
,,,,,LHFPL2,,,,PLVAP,ELF1,ZNF710,FOXQ1,FOXF1,HIF1A,CNN3,RFX2,CYFIP1,DISC1,NRIP3,SKAP2,ACVRL1
,,,,,SKAP2,,,,ATP8B4,,CEBPD,GATA2,FOXF2,IKZF1,F3,RFX4,ENG,DISP1,FKBP5,SLC2A5,ADA
,,,,,MYO1F,,,,NFATC2,,IFI16,GATA3,FOXL1,IRF2,FNDC3B,RUNX1,IL13RA1,DOCK2,RAD51B,SRGAP2C,ADAM12
,,,,,ABCC4,,,,TM6SF1,,PRNP,GLIS1,FOXN2,IRF5,OSMR,RUNX2,LMO2,ENTPD1,CD34,ST8SIA4,ADAM28
,,,,,SOCS6,,,,OLR1,,ZNF518A,HES1,FOXN3,IRF7,PDLIM5,RUNX3,MAN1A1,EPSTI1,CDH5,TBC1D14,ADAM33
,,,,,FAM149A,,,,IL18,,FAM177B,HES4,FOXO1,IRF8,RHOBTB3,SETBP1,MIS18BP1,FAM149A,CLIC5,TFEC,ADAMTS1
,,,,,RREB1,,,,ARHGAP24,,LCP2,HEYL,FOXO3,JDP2,GSN,SOX10,NEDD9,FGD2,CYYR1,TGFBR2,ADAMTS12
,,,,,HLA-B,,,,NABP1,,MEF2A,HIC1,FOXP2,JUN,NEAT1,SOX18,PARP14,FGD4,EMCN,TLR1,ADAMTS14
,,,,,P2RY12,,,,GPR34,,FCGBP,HIF1A,FOXQ1,JUNB,NFE2L2,SOX6,PGM5,GNB4,IFNG-AS1,TNFRSF1B,ADAMTS15
,,,,,RCBTB2,,,,FGD4,,CYFIP1,HIVEP1,GATA2,JUND,PREX1,SPI1,PLA2G4A,IL18,PCAT19,USP6NL,ADAMTS17
,,,,,RHBDF2,,,,LINC01141,,SUN2,HIVEP2,GATA3,KLF11,ST6GALNAC3,SRRM3,SDCBP,KYNU,THSD4,UTRN,ADAMTS18
,,,,,SUSD6,,,,APEX2,,DLEU1,HMBOX1,GLIS1,KLF13,ACSL5,STAT6,SLC8A1-AS1,LY86,CD96,BACH2,ADAMTS19
,,,,,CD74,,,,CSF3R,,SYT17,HSF1,GLIS3,KLF16,CMTM8,TAL1,SMAP2,MEF2A,SKAP1,CD53,ADAMTS20
,,,,,C3,,,,CMTM7,,DPYSL5,IKZF1,HES1,KLF9,ICAM2,TBX15,STAT1,MS4A6A,A2M,CMTM7,ADAMTS3
,,,,,DOCK2,,,,RHBDF2,,BNC2,IRF8,HES4,LEF1,ID1,TBX2,TBC1D4,NCKAP1L,FLT1,DLEU7,ADAMTS4
,,,,,HS3ST4,,,,UTRN,,ENTPD1,IRF9,HIC1,LHX2,NOTCH4,TBX3,TPT1,RAB31,LRRK1,DOCK11,ADAMTS6
,,,,,DOCK8,,,,MLXIPL,,A2M,JUN,HIF1A,LHX6,NPSR1,TCF12,USP6NL,RAPGEF1,RNF144B,GAB3,ADAMTS7
,,,,,ANKS1A,,,,SALL1,,FOXP2,JUNB,HIVEP1,LMO2,PAPSS2,TCF4,A2M,RNF144B,SLC2A3,HCK,ADAMTS9
,,,,,RBM47,,,,KLHL6,,ENPP2,JUND,HIVEP2,LYL1,QRFPR,TCF7L1,ADAP2,SAMSN1,SLCO2B1,IFI44L,ADAMTS9-AS1
,,,,,PDE3B,,,,SERPINB9,,RPL35,KDM5A,HLF,MAF,SLC19A3,TCF7L2,C22orf34,SFMBT2,SRGN,IL17RA,ADAMTS9-AS2
,,,,,TBXAS1,,,,,,TNFRSF1B,KLF11,HMBOX1,MAFB,VWA2,ZEB1,CD53,SH3TC1,TM6SF1,MERTK,ADAMTSL1
,,,,,CSF1R,,,,,,SCD,KLF13,HOXB3,MECOM,CCDC88C,ZMAT4,CD58,SRGN,ABR,MSR1,ADAMTSL2
,,,,,RCSD1,,,,,,PSTPIP2,KLF2,IKZF1,MEF2A,CD247,GRIN3A,FCGR3A,ST8SIA4,ANOS1,NCOA3,ADAMTSL3
,,,,,SLC4A7,,,,,,CARD8,KLF4,IRF3,MEF2C,ITGA4,NXPH1,GPRIN3,TBC1D14,ARHGAP6,PIK3AP1,ADAMTSL4
,,,,,ARHGAP25,,,,,,SF1,KLF6,IRF5,MSX1,ITK,MAP3K1,HLA-DRB1,TFEC,BMP2K,SLC11A1,ADAP2
,,,,,GNB4,,,,,,LRCH1,LEF1,IRF7,MXI1,NOS1,MTSS1,IFNGR1,TGFBR2,CLEC7A,SMAP2,ADARB1
,,,,,LY86,,,,,,ZBTB40,LHX2,IRF8,NFATC1,PRKCH,CDH8,IGSF21,TLR1,CMKLR1,STK10,ADARB2
,,,,,BMP2K,,,,,,BROX,LHX6,JDP2,NFATC2,THEMIS,GRM8,KCTD12,TNFRSF1B,CSF3R,TBC1D4,ADARB2-AS1
,,,,,TGFBR1,,,,,,TNFAIP8,MAF,JUN,NFATC4,ADAM28,HS3ST2,LAP3,ADCY7,CTSB,USP53,ADCY10P1
,,,,,CPED1,,,,,,FOXN3,MAFB,JUNB,NFIA,ENG,MAN1A1,LILRB1,ANKRD44,CTSC,XAF1,ADCY2
,,,,,IRAK3,,,,,,AMER2,MAFK,JUND,NFIB,HLA-B,PTPRB,LIMK2,BACH2,CYFIP1,ZC3HAV1,ADCY7
,,,,,SRGAP2,,,,,,TP63,MBNL2,KLF10,NFIL3,INPP5D,RBFOX3,LRRK2,CFLAR,DOCK11,ZFP36L2,ADCY8
,,,,,RUNX2,,,,,,MCL1,MECOM,KLF12,NFIX,MAP3K8,ROBO2,MAP3K14,CIITA,FAM149A,ZNF704,ADD3-AS1
,,,,,PECAM1,,,,,,HHAT,MEF2C,KLF2,NFKB1,MYOF,RYR2,MERTK,FAM177B,FGD2,A2M,ADGRA3
,,,,,SLCO2B1,,,,,,SRGAP2C,MSX1,KLF6,NFKB2,NEDD9,SATB1-AS1,MSN,HCK,GAB3,ADCY7,ADGRD1
,,,,,,,,,,,PHF20,MSX2,LEF1,NKX6-2,PARVB,COLEC12,NABP1,HLA-B,GNB4,ALPK1,ADGRE2
,,,,,,,,,,,CA8,MXI1,LHX2,NR2F2,SAT1,GLIS3,PAG1,LRCH1,GPCPD1,CD86,ADGRE4P
,,,,,,,,,,,PCDH9-AS2,MYC,LHX6,NR4A1,SKAP2,IGFBP7,PARVG,MIS18BP1,HIF1A,CTSB,ADGRE5
,,,,,,,,,,,SP100,NFATC1,MAF,PAX5,TBC1D4,ITPR2,PDE3B,MSR1,IL18,DOCK8,ADGRF5
,,,,,,,,,,,RPS7,NFATC2,MAFB,PAX6,TMSB4X,NOTCH2,PFKFB3,NLRP1,ITGAM,FMNL3,ADGRG1
,,,,,,,,,,,SCIN,NFATC4,MAFF,PGR,A2M,PDLIM5,PPARD,SLC11A1,KCNK13,IFNGR1,ADGRG2
,,,,,,,,,,,CCL3,NFE2L2,MAFK,PKNOX2,ACSL1,PFKFB3,RGS10,SLC2A5,KYNU,IL13RA1,ADGRG5
,,,,,,,,,,,TGFBR2,NFIA,MBNL2,POU2F2,ADAP2,RHOBTB3,SH2B3,STK10,LAPTM5,P2RY12,ADGRG6
,,,,,,,,,,,SMAD3,NFIB,MECOM,PPARD,ADGRG1,TNC,SIRPB2,SWAP70,MGAT4A,PLA2G4A,ADGRL2
,,,,,,,,,,,DLL4,NFIL3,MEF2A,PPARG,B4GALT1,TRPS1,SP110,TBC1D4,RAPGEF1,RASGEF1C,ADGRL4
,,,,,,,,,,,AOAH,NFIX,MEF2C,PRDM1,C22orf34,YBX3,TG,TM6SF1,RB1,SOCS6,ADGRV1
,,,,,,,,,,,GLDN,NFKB1,MEIS2,PRDM16,CARD8,C1QC,TMEM163,TMEM156,SFMBT2,SORL1,ADH4
,,,,,,,,,,,ARHGAP15,NFKB2,MGA,PRRX1,CD58,DUSP1,TNFRSF1A,UTRN,SH3RF3,SYK,ADIPOR2
,,,,,,,,,,,ST6GAL1,NKX6-1,MSX1,PSMD12,CTTNBP2NL,SRGN,VSIG4,XAF1,SH3TC1,APBB1IP,ADIRF
,,,,,,,,,,,ALPK1,NKX6-2,MSX2,RAD21,DIAPH2,MCTP2,ZFP36L2,ZC3HAV1,SIPA1L2,C3,ADM
,,,,,,,,,,,FLI1,NR2E1,MXI1,RBFOX2,FCGR3A,SYNPR-AS1,CHST11,UBC,SKAP2,LPCAT2,ADNP
,,,,,,,,,,,LHFPL2,NR2F1,MYBL1,RBPJ,GPRIN3,VIP,CLEC2D,BIN2,SRGAP2C,PRNP,ADNP2
,,,,,,,,,,,SKAP2,NR2F2,MYC,REL,HLA-DRB1,EGR3,CMAHP,CD86,TLR1,ARHGAP24,ADORA2A-AS1
,,,,,,,,,,,CDH20,NR4A1,MYEF2,RFX2,IFI44L,GSN,CTSS,CMTM7,USP6NL,CSF1R,ADORA2B
,,,,,,,,,,,MYO1F,PAX6,NFATC1,RFX4,IFNGR1,NEAT1,HIF1A,CYFIP1,VAV1,LYN,ADPGK
,,,,,,,,,,,ABCC4,PBX3,NFATC2,RREB1,IGSF21,PREX1,IFI44,DOCK11,ZFHX3,SP100,ADRA1A
,,,,,,,,,,,CD9,PGR,NFATC4,RUNX1,IL17RA,ACSL5,LAT2,FMNL3,ARHGAP22,SRGN,ADRA1B
,,,,,,,,,,,STEAP3,PKNOX2,NFIA,RUNX2,KCNQ1,ADAMTS12,LDLRAD4,GAB3,CTTNBP2NL,ANKRD44,ADRB2
,,,,,,,,,,,SOCS6,POU2F1,NFIB,RUNX3,KLHL6,BACE2,MIR646HG,ITGAM,DISP1,BNC2,AEBP1
,,,,,,,,,,,CDH23,POU2F2,NFIL3,SMAD6,LILRB1,CP,RASGEF1C,KCNK13,IFI44L,CARD11,AEBP2
,,,,,,,,,,,ZBTB21,POU3F4,NFIX,SOX10,LIMK2,EDN1,RGS1,NCK2,IL10RA,CLEC7A,AFAP1L1
,,,,,,,,,,,FAM149A,PPARD,NFKB1,SOX18,MSN,ITM2A,SEC14L1,PLA2G4A,ITGAX,CX3CR1,AFAP1L2
,,,,,,,,,,,HDAC9,PRDM1,NKX6-2,SOX5,NCOA3,NET1,SIPA1L2,RASGEF1C,PDGFB,DISP1,AFF4
,,,,,,,,,,,RREB1,PRDM16,NR2C2,SOX6,PARVG,SLC16A1,STAB1,SORL1,PPARD,FGD4,AFMID
,,,,,,,,,,,C22orf34,PRDM6,NR2E1,SOX7,PDE3B,SLC19A3,TBC1D14,SRGAP2C,RGS10,ITGAX,AFP
,,,,,,,,,,,MBNL2,PRRX1,NR2F1,SOX8,PPARD,SPHKAP,ZNF710,SUSD6,SLC11A1,LCP2,AGA
,,,,,,,,,,,LINC01094,RAD21,NR2F2,SOX9,PSTPIP2,ST8SIA6-AS1,DPP10-AS3,VAV1,ST6GALNAC3,MIR646HG,AGAP2
,,,,,,,,,,,RPS6KA1,RBFOX2,NR3C1,SP3,PTPRE,ATP10A,HSPA1A,ZFP36L2,DUSP1,MS4A6A,AGBL1
,,,,,,,,,,,C1QC,RBPJ,PAX6,SPI1,SAMHD1,BCL11B,HSPB1,PRNP,WDR49,NCK2,AGBL3
,,,,,,,,,,,ARL5A,RCOR1,PBX1,SREBF1,SH2B3,BTG1,JUNB,ARHGAP29,CD84,PTPRE,AGER
,,,,,,,,,,,DIS3,REL,PBX3,SREBF2,SIRPB2,CCDC88C,ZFP36L1,ARHGAP24,CPVL,SH3RF3,AGGF1
,,,,,,,,,,,NFIC,RFX2,PBX4,SRRM3,SLC2A9,CXCR4,ARRB2,CHST11,CX3CR1,TMEM163,AGMAT
,,,,,,,,,,,RCBTB2,RREB1,PKNOX2,STAT2,SND1,CYTIP,C1QB,DLEU7,HS3ST4,HMGCS1,AGMO
,,,,,,,,,,,SUSD6,RUNX1,PLAGL1,STAT3,SOAT1,ITGA1,CCND3,GPRIN3,IRAK3,INSIG1,AGT
,,,,,,,,,,,CD74,RUNX3,POU2F1,STAT5B,SORL1,ITIH5,CYBA,GRB2,KCNQ1,KCNH8,AGTRAP
,,,,,,,,,,,C3,RXRA,POU2F2,STAT6,TNFRSF1A,PRKCH,DIAPH2,IFNGR1,LINC01141,PLD1,AHCTF1
,,,,,,,,,,,ZNF483,SETBP1,POU3F4,TAL1,TRIM22,PTPN22,FGD4,ITGAX,PIK3CD,SHROOM4,AHCY
,,,,,,,,,,,PDLIM3,SIX1,PPARA,TBL1XR1,VSIG4,PYHIN1,FOXP2,KCNQ1,SLC4A7,ANO4,AHCYL1
,,,,,,,,,,,DOCK2,SMAD6,PPARD,TBX15,ZNF536,SLFN12L,IL6ST,LCP2,SYTL3,,AHCYL2
,,,,,,,,,,,HS3ST4,SOX10,PPARG,TBX2,ZNF704,B4GALT1,OLR1,PAG1,TBC1D14,,AHDC1
,,,,,,,,,,,SMAP2,SOX13,PRDM1,TBX21,ARHGAP18,CMAHP,PLXDC2,PLCG2,AOAH,,AHNAK
,,,,,,,,,,,NKX6-2,SOX18,PRDM16,TCF12,ARHGAP6,CYFIP1,PRAM1,SLC4A7,C12orf75,,AHR
,,,,,,,,,,,CEBPB,SOX4,PRDM6,TCF7L1,CASP4,EPSTI1,SAMHD1,BCAS1,CCDC26,,AIDA
,,,,,,,,,,,ANKS1A,SOX5,PRRX1,TCF7L2,CHSY1,GRB2,SERPINB9,OLIG1,CYTH4,,AIF1
,,,,,,,,,,,RBM47,SOX6,RARA,TFAP2A,CMAHP,HS3ST4,SH3RF3,TOX,FCGR3A,,AIF1L
,,,,,,,,,,,TMIGD3,SOX7,RBFOX2,TFEC,CYBA,LMO2,SYTL3,HMGCS1,HK2,,AIM2
,,,,,,,,,,,PDE3B,SOX8,RBPJ,TP63,FOXP2,MAP3K8,TM6SF1,INSIG1,IFNGR1,,AIRE
,,,,,,,,,,,LYL1,SOX9,RCOR1,TRPS1,LMO2,MSN,TNS3,PIP4K2A,ITGB2,,AK7
,,,,,,,,,,,ANXA3,SP2,REL,USF1,MAF,NRP2,TRIM38,ZEB2,LCP2,,AKAP12
,,,,,,,,,,,CHST11,SPI1,RELB,VENTX,PRKY,PPARD,ZC3HAV1,BOC,SERPINB9,,AKAP13
,,,,,,,,,,,TBXAS1,SREBF1,RFX2,ZEB1,SCIN,SAT1,ARHGAP15,CD44,SLA,,AKAP3
,,,,,,,,,,,MLLT10,SREBF2,RFX4,ZFHX3,NR4A1,SDCBP,ARHGAP22,DDR2,SP100,,AKNA
,,,,,,,,,,,TSPAN14,SRRM3,RORA,ZIC1,CREB5,SEC24D,CCDC26,FAM189A2,SRGAP2-AS1,,AKR1A1
,,,,,,,,,,,RCSD1,STAT2,RREB1,ZIC2,ZBTB20,SLC6A1,CD300A,GLI3,ST6GAL1,,AKR1C2
,,,,,,,,,,,LHX4,STAT3,RUNX1,ZKSCAN1,ARRB2,SLC7A5,CD86,SLC7A11,TMIGD3,,AKR1D1
,,,,,,,,,,,SLC4A7,STAT6,RUNX2,ZMAT4,C1QB,SMAP2,CMTM7,SNTB1,PRNP,,ALDH1A1
,,,,,,,,,,,ARHGAP25,TAL1,RUNX3,ZNF217,CCND3,SMCO4,COTL1,WDR49,ITIH5,,ALDH1A2
,,,,,,,,,,,GNB4,TBL1XR1,RXRA,ZNF536,DISP1,TBC1D4,CTSC,ZNF423,PLCH1,,ALDH1L1
,,,,,,,,,,,AHCTF1,TBX15,RXRG,ANXA1,FGD3,TRIM38,CYTH4,ARHGAP31,GRIN3A,,ALDH1L1-AS2
,,,,,,,,,,,ADNP,TBX18,SETBP1,BCAS2,HS3ST4,USP6NL,DENND3,ATP1A2,KCNQ3,,ALDH3B1
,,,,,,,,,,,OPRM1,TBX2,SIX1,BTG2,IL6ST,ACSL1,GNB4,BMPR1B,ARHGAP15,,ALK
,,,,,,,,,,,ADAMTSL2,TBX3,SIX4,IDI1,ITGB2,ADAP2,IL17RA,EYA2,ARHGAP25,,ALOX12P2
,,,,,,,,,,,LMO2,TCF12,SMAD1,SIGLEC1,LRRK1,ADGRE2,LCP2,PARD3B,BLNK,,ALOX15B
,,,,,,,,,,,TTYH2,TCF4,SOX10,TEX14,MIS18BP1,ADGRG1,LINC00578,PDLIM5,HCLS1,,ALOX5
