_MEMBER_AD_imp_1 - 94.0-96.0,_MEMBER_AD_imp_1 - 96.0-98.0,_MEMBER_AD_imp_1 - 98.0-100.0,_LogP_AD_imp_1 - 94.0-96.0,_LogP_AD_imp_1 - 96.0-98.0,_LogP_AD_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,1,0,0,-2,WP399,Wnt signaling pathway and pluripotency,M001,1,0
0,0,1,0,0,-2.4,R-HSA-381340,Transcriptional regulation of white adipocyte differentiation,M001,1,0
0,0,1,0,0,-2,GO:1900373,positive regulation of purine nucleotide biosynthetic process,M001,1,0
0,0,1,0,0,-2.4,GO:0007498,mesoderm development,M001,1,0
1,0,0,-3.8,0,0,R-HSA-2032785,YAP1- and WWTR1 (TAZ)-stimulated gene expression,M100,1,0
0,1,0,0,-2.2,0,GO:0032026,response to magnesium ion,M010,1,0
0,0,1,0,0,-3.7,GO:0034762,regulation of transmembrane transport,M001,1,0
0,0,1,0,0,-3,GO:0042110,T cell activation,M001,1,0
0,0,1,0,0,-2.9,GO:0042471,ear morphogenesis,M001,1,0
1,0,0,-2.4,0,0,R-HSA-5654688,SHC-mediated cascade:FGFR1,M100,1,0
1,0,0,-2.4,0,0,GO:0032649,regulation of type II interferon production,M100,1,0
0,0,1,0,0,-2.9,GO:0021952,central nervous system projection neuron axonogenesis,M001,1,0
0,0,1,0,0,-3.2,GO:1901019,regulation of calcium ion transmembrane transporter activity,M001,1,0
0,0,1,0,0,-2,GO:0050729,positive regulation of inflammatory response,M001,1,0
1,0,0,-2.2,0,0,R-HSA-5654687,Downstream signaling of activated FGFR1,M100,1,0
1,0,0,-2.2,0,0,GO:0032695,negative regulation of interleukin-12 production,M100,1,0
1,0,0,-3.1,0,0,GO:1903055,positive regulation of extracellular matrix organization,M100,1,0
0,1,0,0,-2.4,0,GO:0030593,neutrophil chemotaxis,M010,1,0
0,0,1,0,0,-3.8,GO:0051279,regulation of release of sequestered calcium ion into cytosol,M001,1,0
0,0,1,0,0,-2.5,GO:0062009,secondary palate development,M001,1,0
1,0,0,-2.9,0,0,GO:0006109,regulation of carbohydrate metabolic process,M100,1,0
0,1,0,0,-2.6,0,WP5072,Modulators of TCR signaling and T cell activation,M010,1,0
1,0,0,-2.9,0,0,GO:0019217,regulation of fatty acid metabolic process,M100,1,0
0,1,0,0,-3.4,0,GO:0032506,cytokinetic process,M010,1,0
1,0,0,-2.5,0,0,GO:0050866,negative regulation of cell activation,M100,1,0
0,1,0,0,-2.2,0,R-HSA-9674555,Signaling by CSF3 (G-CSF),M010,1,0
0,0,1,0,0,-2,R-HSA-2197563,NOTCH2 intracellular domain regulates transcription,M001,1,0
1,0,0,-3.2,0,0,GO:0002716,negative regulation of natural killer cell mediated immunity,M100,1,0
0,1,0,0,-2,0,R-HSA-8951430,RUNX3 regulates WNT signaling,M010,1,0
1,0,0,-2.7,0,0,GO:1901203,positive regulation of extracellular matrix assembly,M100,1,0
0,0,1,0,0,-2.6,WP254,Apoptosis,M001,1,0
0,0,1,0,0,-3.1,GO:0032412,regulation of monoatomic ion transmembrane transporter activity,M001,1,0
0,1,0,0,-3,0,GO:0030595,leukocyte chemotaxis,M010,1,0
0,0,1,0,0,-2,GO:0006351,DNA-templated transcription,M001,1,0
0,0,1,0,0,-2.2,GO:0045588,positive regulation of gamma-delta T cell differentiation,M001,1,0
0,0,1,0,0,-2.9,GO:0030183,B cell differentiation,M001,1,0
0,0,1,0,0,-4.5,GO:0031343,positive regulation of cell killing,M001,1,0
0,0,1,0,0,-3.5,hsa04666,Fc gamma R-mediated phagocytosis,M001,1,0
1,0,0,-2.4,0,0,GO:0010763,positive regulation of fibroblast migration,M100,1,0
0,0,1,0,0,-2.3,GO:0002718,regulation of cytokine production involved in immune response,M001,1,0
0,0,1,0,0,-2.9,GO:0002720,positive regulation of cytokine production involved in immune response,M001,1,0
1,0,0,-2.4,0,0,R-HSA-114452,Activation of BH3-only proteins,M100,1,0
0,1,0,0,-2.4,0,hsa04658,Th1 and Th2 cell differentiation,M010,1,0
0,0,1,0,0,-2.7,GO:0001773,myeloid dendritic cell activation,M001,1,0
0,0,1,0,0,-3.6,GO:0070848,response to growth factor,M001,1,0
1,0,0,-2.1,0,0,GO:0016331,morphogenesis of embryonic epithelium,M100,1,0
0,0,1,0,0,-2.5,hsa05416,Viral myocarditis,M001,1,0
0,0,1,0,0,-2.2,GO:0003208,cardiac ventricle morphogenesis,M001,1,0
0,0,1,0,0,-2.4,GO:0043269,regulation of monoatomic ion transport,M001,1,0
0,1,0,0,-3.6,0,GO:0050900,leukocyte migration,M010,1,0
0,1,0,0,-3.5,0,GO:0098657,import into cell,M010,1,0
0,1,0,0,-2.3,0,GO:0080171,lytic vacuole organization,M010,1,0
0,0,1,0,0,-2.3,GO:0048812,neuron projection morphogenesis,M001,1,0
0,0,1,0,0,-2.2,GO:0090102,cochlea development,M001,1,0
0,0,1,0,0,-2.7,GO:2001257,regulation of cation channel activity,M001,1,0
0,0,1,0,0,-2.4,GO:0048002,antigen processing and presentation of peptide antigen,M001,1,0
0,0,1,0,0,-3.5,GO:1903169,regulation of calcium ion transmembrane transport,M001,1,0
1,0,0,-3.9,0,0,WP3646,Hepatitis C and hepatocellular carcinoma,M100,1,0
0,0,1,0,0,-2.5,GO:0043403,skeletal muscle tissue regeneration,M001,1,0
1,0,0,-2.1,0,0,GO:0070168,negative regulation of biomineral tissue development,M100,1,0
1,0,0,-2.9,0,0,GO:0046320,regulation of fatty acid oxidation,M100,1,0
1,0,0,-2.4,0,0,GO:0045666,positive regulation of neuron differentiation,M100,1,0
0,0,1,0,0,-2.3,GO:0051147,regulation of muscle cell differentiation,M001,1,0
1,0,0,-2.4,0,0,GO:0035329,hippo signaling,M100,1,0
0,1,0,0,-2.1,0,GO:0008217,regulation of blood pressure,M010,1,0
0,0,1,0,0,-2.6,GO:0071230,cellular response to amino acid stimulus,M001,1,0
0,1,0,0,-2.1,0,GO:2001234,negative regulation of apoptotic signaling pathway,M010,1,0
0,0,1,0,0,-2.4,GO:0001654,eye development,M001,1,0
1,0,0,-2.3,0,0,GO:0032729,positive regulation of type II interferon production,M100,1,0
0,0,1,0,0,-3.6,GO:0050727,regulation of inflammatory response,M001,1,0
1,0,0,-2.8,0,0,hsa05161,Hepatitis B,M100,1,0
1,0,0,-2.4,0,0,R-HSA-111458,Formation of apoptosome,M100,1,0
0,1,0,0,-2.4,0,GO:0030011,maintenance of cell polarity,M010,1,0
0,1,0,0,-3.4,0,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M010,1,0
0,0,1,0,0,-3.3,GO:0002702,positive regulation of production of molecular mediator of immune response,M001,1,0
0,0,1,0,0,-4.3,GO:0045089,positive regulation of innate immune response,M001,1,0
1,0,0,-3.7,0,0,GO:0031342,negative regulation of cell killing,M100,1,0
0,0,1,0,0,-2.1,GO:2000178,negative regulation of neural precursor cell proliferation,M001,1,0
1,0,0,-2.9,0,0,GO:0046620,regulation of organ growth,M100,1,0
0,0,1,0,0,-2.5,GO:0003177,pulmonary valve development,M001,1,0
0,0,1,0,0,-2.3,GO:0032330,regulation of chondrocyte differentiation,M001,1,0
1,0,0,-2.3,0,0,GO:1903556,negative regulation of tumor necrosis factor superfamily cytokine production,M100,1,0
0,0,1,0,0,-4.4,GO:0051282,regulation of sequestering of calcium ion,M001,1,0
0,0,1,0,0,-2.6,GO:0032890,regulation of organic acid transport,M001,1,0
1,0,0,-2.2,0,0,hsa04060,Cytokine-cytokine receptor interaction,M100,1,0
0,0,1,0,0,-3.1,GO:1904861,excitatory synapse assembly,M001,1,0
1,0,0,-2.5,0,0,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,M100,1,0
1,0,0,-3.2,0,0,WP5381,Smith Magenis and Potocki Lupski syndrome copy number variation,M100,1,0
1,0,0,-2.9,0,0,GO:0048661,positive regulation of smooth muscle cell proliferation,M100,1,0
0,0,1,0,0,-2.5,GO:0019883,antigen processing and presentation of endogenous antigen,M001,1,0
0,0,1,0,0,-2.2,GO:0098883,synapse pruning,M001,1,0
0,1,0,0,-2.4,0,GO:1902236,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,M010,1,0
1,0,0,-2.7,0,0,GO:0048638,regulation of developmental growth,M100,1,0
0,0,1,0,0,-3.2,GO:0007517,muscle organ development,M001,1,0
1,0,0,-3.7,0,0,GO:0061180,mammary gland epithelium development,M100,1,0
1,0,0,-2.5,0,0,M60,PID NFAT TFPATHWAY,M100,1,0
1,0,0,-2.2,0,0,GO:0098868,bone growth,M100,1,0
0,0,1,0,0,-2.7,M124,PID CXCR4 PATHWAY,M001,1,0
0,1,0,0,-2.2,0,GO:0050671,positive regulation of lymphocyte proliferation,M010,1,0
0,1,0,0,-2.2,0,GO:0048934,peripheral nervous system neuron differentiation,M010,1,0
0,0,1,0,0,-4.4,hsa05170,Human immunodeficiency virus 1 infection,M001,1,0
0,0,1,0,0,-2.8,GO:0002886,regulation of myeloid leukocyte mediated immunity,M001,1,0
0,0,1,0,0,-2,GO:0001502,cartilage condensation,M001,1,0
0,1,0,0,-2,0,GO:1904893,negative regulation of receptor signaling pathway via STAT,M010,1,0
0,1,0,0,-2.2,0,GO:0035912,dorsal aorta morphogenesis,M010,1,0
0,0,1,0,0,-2,GO:0150146,cell junction disassembly,M001,1,0
0,0,1,0,0,-2.2,GO:0001944,vasculature development,M001,1,0
0,1,0,0,-3.4,0,GO:0030520,intracellular estrogen receptor signaling pathway,M010,1,0
0,0,1,0,0,-2.9,GO:0140888,interferon-mediated signaling pathway,M001,1,0
0,0,1,0,0,-2.7,R-HSA-9662851,Anti-inflammatory response favouring Leishmania parasite infection,M001,1,0
1,0,0,-2.2,0,0,GO:0050852,T cell receptor signaling pathway,M100,1,0
1,0,0,-2.3,0,0,GO:0042327,positive regulation of phosphorylation,M100,1,0
1,0,0,-3.4,0,0,R-HSA-109606,Intrinsic Pathway for Apoptosis,M100,1,0
0,0,1,0,0,-2.7,R-HSA-9664433,Leishmania parasite growth and survival,M001,1,0
0,0,1,0,0,-3.4,GO:0014706,striated muscle tissue development,M001,1,0
0,0,1,0,0,-2.1,R-HSA-9772573,Late SARS-CoV-2 Infection Events,M001,1,0
0,0,1,0,0,-2.9,GO:0003206,cardiac chamber morphogenesis,M001,1,0
0,0,1,0,0,-2,GO:0051100,negative regulation of binding,M001,1,0
0,0,1,0,0,-3,GO:0002252,immune effector process,M001,1,0
0,0,1,0,0,-2.2,GO:0031076,embryonic camera-type eye development,M001,1,0
0,1,0,0,-2.4,0,GO:1905709,negative regulation of membrane permeability,M010,1,0
1,0,0,-3.4,0,0,R-HSA-8951671,RUNX3 regulates YAP1-mediated transcription,M100,1,0
1,0,0,-2.7,0,0,R-HSA-1912422,Pre-NOTCH Expression and Processing,M100,1,0
1,0,0,-2.7,0,0,R-HSA-168188,Toll Like Receptor TLR6:TLR2 Cascade,M100,1,0
1,0,0,-2.2,0,0,GO:0002715,regulation of natural killer cell mediated immunity,M100,1,0
0,0,1,0,0,-3,GO:0060760,positive regulation of response to cytokine stimulus,M001,1,0
0,0,1,0,0,-2.2,R-HSA-9679191,Potential therapeutics for SARS,M001,1,0
0,0,1,0,0,-2,GO:0043923,positive regulation by host of viral transcription,M001,1,0
0,0,1,0,0,-2.2,GO:0010959,regulation of metal ion transport,M001,1,0
0,0,1,0,0,-2,GO:0060872,semicircular canal development,M001,1,0
1,0,0,-2.7,0,0,GO:0060534,trachea cartilage development,M100,1,0
0,0,1,0,0,-2.1,hsa04664,Fc epsilon RI signaling pathway,M001,1,0
1,0,0,-2.4,0,0,GO:2000668,regulation of dendritic cell apoptotic process,M100,1,0
0,0,1,0,0,-2.4,GO:0048701,embryonic cranial skeleton morphogenesis,M001,1,0
1,0,0,-2.8,0,0,GO:0001764,neuron migration,M100,1,0
0,1,0,0,-2.6,0,GO:0031396,regulation of protein ubiquitination,M010,1,0
0,0,1,0,0,-3.1,R-HSA-421270,Cell-cell junction organization,M001,1,0
1,0,0,-2.7,0,0,GO:2001053,regulation of mesenchymal cell apoptotic process,M100,1,0
1,0,0,-2.9,0,0,GO:0060334,regulation of type II interferon-mediated signaling pathway,M100,1,0
1,0,0,-2.5,0,0,WP4842,Mammalian disorder of sexual development,M100,1,0
1,0,0,-2.4,0,0,R-HSA-525793,Myogenesis,M100,1,0
0,0,1,0,0,-2,GO:0036342,post-anal tail morphogenesis,M001,1,0
0,1,0,0,-2.2,0,GO:0006997,nucleus organization,M010,1,0
1,0,0,-2.7,0,0,GO:0042752,regulation of circadian rhythm,M100,1,0
1,0,0,-2.4,0,0,R-HSA-9627069,Regulation of the apoptosome activity,M100,1,0
1,0,0,-2.7,0,0,R-HSA-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,M100,1,0
0,1,0,0,-2.1,0,GO:0071709,membrane assembly,M010,1,0
0,0,1,0,0,-2.6,R-HSA-9679506,SARS-CoV Infections,M001,1,0
0,1,0,0,-2.3,0,GO:0006909,phagocytosis,M010,1,0
1,0,0,-3.5,0,0,GO:0060562,epithelial tube morphogenesis,M100,1,0
1,0,0,-2.1,0,0,hsa04550,Signaling pathways regulating pluripotency of stem cells,M100,1,0
0,0,1,0,0,-5.9,R-HSA-877300,Interferon gamma signaling,M001,1,0
1,0,0,-2.2,0,0,R-HSA-111461,Cytochrome c-mediated apoptotic response,M100,1,0
1,0,0,-2.7,0,0,GO:0007512,adult heart development,M100,1,0
0,0,1,0,0,-2.5,GO:0003279,cardiac septum development,M001,1,0
1,0,0,-2.5,0,0,R-HSA-975871,MyD88 cascade initiated on plasma membrane,M100,1,0
0,0,1,0,0,-2.2,GO:0009615,response to virus,M001,1,0
0,0,1,0,0,-3.8,GO:0001912,positive regulation of leukocyte mediated cytotoxicity,M001,1,0
1,0,0,-2.2,0,0,WP1991,SRF and miRs in smooth muscle differentiation and proliferation,M100,1,0
1,0,0,-2.1,0,0,WP706,Sudden infant death syndrome SIDS susceptibility pathways,M100,1,0
0,0,1,0,0,-2.3,WP4787,Osteoblast differentiation and related diseases,M001,1,0
0,0,1,0,0,-3.1,GO:0038093,Fc receptor signaling pathway,M001,1,0
1,0,0,-2.3,0,0,GO:0002823,negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,M100,1,0
0,0,1,0,0,-3,GO:1904888,cranial skeletal system development,M001,1,0
0,0,1,0,0,-2.5,GO:0045619,regulation of lymphocyte differentiation,M001,1,0
0,1,0,0,-2.3,0,GO:0042306,regulation of protein import into nucleus,M010,1,0
0,0,1,0,0,-3.7,GO:0048738,cardiac muscle tissue development,M001,1,0
0,1,0,0,-2,0,WP4159,GABA receptor signaling,M010,1,0
1,0,0,-3.6,0,0,WP5087,Pleural mesothelioma,M100,1,0
1,0,0,-2.2,0,0,GO:0032689,negative regulation of type II interferon production,M100,1,0
0,0,1,0,0,-2.1,GO:0003143,embryonic heart tube morphogenesis,M001,1,0
0,1,0,0,-3.1,0,GO:0008037,cell recognition,M010,1,0
0,0,1,0,0,-2.2,GO:2000147,positive regulation of cell motility,M001,1,0
0,1,0,0,-2.1,0,GO:0050878,regulation of body fluid levels,M010,1,0
0,0,1,0,0,-4,R-HSA-418990,Adherens junctions interactions,M001,1,0
0,1,0,0,-2.4,0,M7,PID FCER1 PATHWAY,M010,1,0
1,0,0,-3.9,0,0,WP382,MAPK signaling pathway,M100,1,0
0,0,1,0,0,-2.4,R-HSA-9616222,Transcriptional regulation of granulopoiesis,M001,1,0
1,0,0,-2,0,0,GO:0030502,negative regulation of bone mineralization,M100,1,0
1,0,0,-3.8,0,0,R-HSA-139915,Activation of PUMA and translocation to mitochondria,M100,1,0
1,0,0,-2.4,0,0,WP4537,Hippo YAP signaling,M100,1,0
0,0,1,0,0,-2.2,GO:0003012,muscle system process,M001,1,0
0,0,1,0,0,-2.4,GO:0030335,positive regulation of cell migration,M001,1,0
0,1,0,0,-2,0,GO:1903320,regulation of protein modification by small protein conjugation or removal,M010,1,0
0,0,1,0,0,-2.4,GO:0048339,paraxial mesoderm development,M001,1,0
0,0,1,0,0,-3.9,GO:0045088,regulation of innate immune response,M001,1,0
0,0,1,0,0,-2.2,R-HSA-2029485,Role of phospholipids in phagocytosis,M001,1,0
0,1,0,0,-2.9,0,GO:1902235,regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,M010,1,0
0,0,1,0,0,-3.2,GO:0032680,regulation of tumor necrosis factor production,M001,1,0
0,1,0,0,-2.5,0,GO:0002548,monocyte chemotaxis,M010,1,0
0,0,1,0,0,-2,WP5144,NRP1 triggered signaling pathways in pancreatic cancer,M001,1,0
0,1,0,0,-2.2,0,GO:0071353,cellular response to interleukin-4,M010,1,0
0,0,1,0,0,-2.6,hsa04210,Apoptosis,M001,1,0
0,1,0,0,-2.7,0,GO:0050680,negative regulation of epithelial cell proliferation,M010,1,0
0,1,0,0,-2.5,0,R-HSA-9682385,FLT3 signaling in disease,M010,1,0
0,0,1,0,0,-2.1,GO:0022030,telencephalon glial cell migration,M001,1,0
0,0,1,0,0,-2.6,GO:0002711,positive regulation of T cell mediated immunity,M001,1,0
0,0,1,0,0,-2.1,GO:0001701,in utero embryonic development,M001,1,0
1,0,0,-2.1,0,0,GO:0002429,immune response-activating cell surface receptor signaling pathway,M100,1,0
1,0,0,-2.2,0,0,GO:0007162,negative regulation of cell adhesion,M100,1,0
1,0,0,-2.2,0,0,hsa01522,Endocrine resistance,M100,1,0
0,0,1,0,0,-2.4,GO:0009611,response to wounding,M001,1,0
0,1,0,0,-2,0,GO:0010594,regulation of endothelial cell migration,M010,1,0
0,0,1,0,0,-2.1,GO:0032332,positive regulation of chondrocyte differentiation,M001,1,0
1,0,0,-2.4,0,0,GO:0010742,macrophage derived foam cell differentiation,M100,1,0
0,0,1,0,0,-3.4,R-HSA-913531,Interferon Signaling,M001,1,0
0,0,1,0,0,-2.7,GO:2000739,regulation of mesenchymal stem cell differentiation,M001,1,0
