_MEMBER_M19050.Micro,_MEMBER_M19050.OPC,_MEMBER_M19050.Oligo,_MEMBER_M59593.Micro,_MEMBER_M59593.OPC,_MEMBER_M59593.Oligo,_MEMBER_Specific,_LogP_M19050.Micro,_LogP_M19050.OPC,_LogP_M19050.Oligo,_LogP_M59593.Micro,_LogP_M59593.OPC,_LogP_M59593.Oligo,_LogP_Specific,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,1,0,0,0,0,1,0,-2.7,0,0,0,0,-9.2,C1837461,M0100001,2,0,DisGeNET,35,"SCOLIOSIS, ISOLATED, SUSCEPTIBILITY TO, 3",,-9.2,5.9,8.9,30304,578,168,19,11,2.4,4773|5137|8631|9586|9745|11174|23007|23022|23143|55553|55636|56243|56934|79698|81704|121551|137970|143872|644192,NFATC2|PDE1C|SKAP1|CREB5|ZNF536|ADAMTS6|PLCH1|PALLD|LRCH1|SOX6|CHD7|KIAA1217|CA10|ZMAT4|DOCK8|ABTB3|UNC5D|ARHGAP42|NR2F2-AS1,-6.6,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-9.1,C1261502,M0000001,1,0,DisGeNET,35,Finding of Mean Corpuscular Hemoglobin,,-9.1,5.5,8.7,30304,653,168,20,12,2.5,2078|2308|4208|4602|5337|5788|5915|6660|6886|7068|7942|9839|10320|11214|30009|53335|55553|63976|84465|84969,ERG|FOXO1|MEF2C|MYB|PLD1|PTPRC|RARB|SOX5|TAL1|THRB|TFEB|ZEB2|IKZF1|AKAP13|TBX21|BCL11A|SOX6|PRDM16|MEGF11|TOX2,-6.6,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-9.1,C0376634,M0000001,1,0,DisGeNET,35,Craniofacial Abnormalities,,-9.1,10,10,30304,234,168,13,7.7,2.1,658|860|1301|1745|1902|2113|5080|6925|7068|10082|26040|55636|93986,BMPR1B|RUNX2|COL11A1|DLX1|LPAR1|ETS1|PAX6|TCF4|THRB|GPC6|SETBP1|CHD7|FOXP2,-6.6,0
1,1,0,0,0,0,1,-3,-2,0,0,0,0,-9,C0023448,M1100001,3,0,DisGeNET,35,Lymphoid leukemia,,-9,8.8,9.9,30304,288,168,14,8.3,2.1,2078|2113|2122|2322|3479|3516|4854|5788|6886|6935|7101|9839|10320|81704,ERG|ETS1|MECOM|FLT3|IGF1|RBPJ|NOTCH3|PTPRC|TAL1|ZEB1|NR2E1|ZEB2|IKZF1|DOCK8,-6.5,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-8.7,C0040420,M0000001,1,0,DisGeNET,35,Tonometry,,-8.7,11,10,30304,206,168,12,7.1,2,860|2113|2122|5915|6925|11174|11214|11281|22797|51705|169792|170691,RUNX2|ETS1|MECOM|RARB|TCF4|ADAMTS6|AKAP13|POU6F2|TFEC|EMCN|GLIS3|ADAMTS17,-6.2,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-8.7,C0027404,M0000001,1,0,DisGeNET,35,Narcolepsy,,-8.7,8.2,9.5,30304,308,168,14,8.3,2.1,2567|2572|4773|6863|9734|23022|56934|57633|79750|93986|116328|137970|169792|221935,GABRG3|GAD2|NFATC2|TAC1|HDAC9|PALLD|CA10|LRRN1|ZNF385D|FOXP2|C8orf34|UNC5D|GLIS3|SDK1,-6.1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-8.7,C0036220,M0000001,1,0,DisGeNET,35,Kaposi Sarcoma,,-8.7,6.3,8.8,30304,488,168,17,10,2.3,864|2034|2078|2113|2308|3479|3516|3663|4773|5452|5629|5788|5966|23543|51162|55636|83641,RUNX3|EPAS1|ERG|ETS1|FOXO1|IGF1|RBPJ|IRF5|NFATC2|POU2F2|PROX1|PTPRC|REL|RBFOX2|EGFL7|CHD7|FAM107B,-6.1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-8.6,C1836542,M0000001,1,0,DisGeNET,35,Depressed nasal bridge,,-8.6,6.8,9,30304,426,168,16,9.5,2.3,860|1301|2296|4094|4208|5745|6660|6909|9839|10082|26040|55636|57477|63976|169792|170302,RUNX2|COL11A1|FOXC1|MAF|MEF2C|PTH1R|SOX5|TBX2|ZEB2|GPC6|SETBP1|CHD7|SHROOM4|PRDM16|GLIS3|ARX,-6.1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-8.5,C0038379,M0000001,1,0,DisGeNET,35,Strabismus,,-8.5,5,8.2,30304,716,168,20,12,2.5,1301|2078|2296|3516|4208|4810|4983|5080|5456|6660|6925|6938|9839|9935|53335|55636|57477|63976|84504|170302,COL11A1|ERG|FOXC1|RBPJ|MEF2C|NHS|OPHN1|PAX6|POU3F4|SOX5|TCF4|TCF12|ZEB2|MAFB|BCL11A|CHD7|SHROOM4|PRDM16|NKX6-2|ARX,-6,0
1,0,0,0,0,0,1,-2.7,0,0,0,0,0,-8.4,C0278488,M1000001,2,0,DisGeNET,35,Carcinoma breast stage IV,,-8.4,5.7,8.4,30304,573,168,18,11,2.4,860|1902|2034|2113|2122|2296|3479|4306|4773|5629|5745|5788|5915|6663|6925|6926|11214|64321,RUNX2|LPAR1|EPAS1|ETS1|MECOM|FOXC1|IGF1|NR3C2|NFATC2|PROX1|PTH1R|PTPRC|RARB|SOX10|TCF4|TBX3|AKAP13|SOX17,-6,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-8.3,C0023470,M0000001,1,0,DisGeNET,35,Myeloid Leukemia,,-8.3,7,8.9,30304,385,168,15,8.9,2.2,1523|2078|2122|2321|2322|3479|3727|4208|4602|5396|6886|9734|26040|53335|63976,CUX1|ERG|MECOM|FLT1|FLT3|IGF1|JUND|MEF2C|MYB|PRRX1|TAL1|HDAC9|SETBP1|BCL11A|PRDM16,-5.9,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-7.7,C0085669,M0000001,1,0,DisGeNET,35,Acute leukemia,,-7.7,5.1,7.8,30304,639,168,18,11,2.4,864|1007|1462|1523|1879|2078|2113|2122|2321|2322|4602|5788|6863|6886|7026|7450|9734|10320,RUNX3|CDH9|VCAN|CUX1|EBF1|ERG|ETS1|MECOM|FLT1|FLT3|MYB|PTPRC|TAC1|TAL1|NR2F2|VWF|HDAC9|IKZF1,-5.3,0
0,0,0,0,0,1,1,0,0,0,0,0,-3.6,-7.6,C0432072,M0000011,2,0,DisGeNET,35,Dysmorphic features,,-7.6,6.2,8.1,30304,439,168,15,8.9,2.2,1301|3479|3516|4208|4810|6660|6925|7026|9839|23543|26040|53335|55553|55636|170302,COL11A1|IGF1|RBPJ|MEF2C|NHS|SOX5|TCF4|NR2F2|ZEB2|RBFOX2|SETBP1|BCL11A|SOX6|CHD7|ARX,-5.2,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-7.6,C0349204,M0000001,1,0,DisGeNET,35,Nonorganic psychosis,,-7.6,6.7,8.3,30304,376,168,14,8.3,2.1,1523|1745|2567|2572|3479|3782|4205|4810|5788|5915|6886|6925|10215|26011,CUX1|DLX1|GABRG3|GAD2|IGF1|KCNN3|MEF2A|NHS|PTPRC|RARB|TAL1|TCF4|OLIG2|TENM4,-5.2,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-7.5,C0005612,M0000001,1,0,DisGeNET,35,Birth Weight,,-7.5,9.3,9.1,30304,214,168,11,6.5,1.9,1879|2034|2321|3782|5629|5745|6095|11214|26011|169792|644192,EBF1|EPAS1|FLT1|KCNN3|PROX1|PTH1R|RORA|AKAP13|TENM4|GLIS3|NR2F2-AS1,-5.1,0
1,0,0,1,0,0,1,-3.2,0,0,-2.7,0,0,-7.3,C0023508,M1001001,3,0,DisGeNET,35,White Blood Cell Count procedure,,-7.3,4.8,7.4,30304,681,168,18,11,2.4,860|864|2078|2113|2322|3909|4602|5788|6886|7942|8631|9586|9734|55553|55636|81704|84969|169792,RUNX2|RUNX3|ERG|ETS1|FLT3|LAMA3|MYB|PTPRC|TAL1|TFEB|SKAP1|CREB5|HDAC9|SOX6|CHD7|DOCK8|TOX2|GLIS3,-5,0
0,0,0,1,0,0,1,0,0,0,-3.2,0,0,-7.3,C0598935,M0001001,2,0,DisGeNET,35,Tumor Initiation,,-7.3,5.4,7.7,30304,533,168,16,9.5,2.3,864|1462|1523|2078|2113|2296|2308|3479|3909|4854|5788|6663|6925|6935|10215|30009,RUNX3|VCAN|CUX1|ERG|ETS1|FOXC1|FOXO1|IGF1|LAMA3|NOTCH3|PTPRC|SOX10|TCF4|ZEB1|OLIG2|TBX21,-5,0
0,1,0,0,0,0,1,0,-2.8,0,0,0,0,-7.3,C0026010,M0100001,2,0,DisGeNET,35,Microphthalmos,,-7.3,7,8.2,30304,336,168,13,7.7,2.1,3516|4810|5080|5915|6935|7101|7942|9839|10178|22797|30812|55553|55636,RBPJ|NHS|PAX6|RARB|ZEB1|NR2E1|TFEB|ZEB2|TENM1|TFEC|SOX8|SOX6|CHD7,-4.9,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-7.1,C1301359,M0000001,1,0,DisGeNET,35,Precursor T cell lymphoblastic leukemia/lymphoblastic lymphoma,,-7.1,45,15,30304,20,168,5,3,1.3,1523|2322|3479|4854|5788,CUX1|FLT3|IGF1|NOTCH3|PTPRC,-4.8,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-7.1,C0302142,M0000001,1,0,DisGeNET,35,Deformity,,-7.1,6.7,8,30304,350,168,13,7.7,2.1,658|2018|2296|2308|4208|5080|5396|5915|6573|6909|51162|55636|170302,BMPR1B|EMX2|FOXC1|FOXO1|MEF2C|PAX6|PRRX1|RARB|SLC19A1|TBX2|EGFL7|CHD7|ARX,-4.8,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-7,C0221356,M0000001,1,0,DisGeNET,35,Brachycephaly,,-7,9.7,8.9,30304,186,168,10,6,1.8,860|1301|4094|5745|6909|6925|6938|26040|55636|63976,RUNX2|COL11A1|MAF|PTH1R|TBX2|TCF4|TCF12|SETBP1|CHD7|PRDM16,-4.7,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-7,C0027092,M0000001,1,0,DisGeNET,35,Myopia,,-7,5.5,7.5,30304,490,168,15,8.9,2.2,1301|1462|2078|3479|3727|4094|5080|5915|6660|6925|7068|9839|55636|79698|170691,COL11A1|VCAN|ERG|IGF1|JUND|MAF|PAX6|RARB|SOX5|TCF4|THRB|ZEB2|CHD7|ZMAT4|ADAMTS17,-4.7,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.9,C1849367,M0000001,1,0,DisGeNET,35,Nasal bridge wide,,-6.9,5.9,7.6,30304,429,168,14,8.3,2.1,1301|2296|4094|5915|6660|6663|6925|9037|9839|9935|10082|54345|63976|170302,COL11A1|FOXC1|MAF|RARB|SOX5|SOX10|TCF4|SEMA5A|ZEB2|MAFB|GPC6|SOX18|PRDM16|ARX,-4.6,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.8,C0027022,M0000001,1,0,DisGeNET,35,Myeloproliferative disease,,-6.8,6.4,7.8,30304,365,168,13,7.7,2.1,794|864|1523|2122|2321|2322|4602|5966|6863|9734|9839|11214|55553,CALB2|RUNX3|CUX1|MECOM|FLT1|FLT3|MYB|REL|TAC1|HDAC9|ZEB2|AKAP13|SOX6,-4.6,0
1,0,0,0,0,0,1,-2.1,0,0,0,0,0,-6.8,C1332201,M1000001,2,0,DisGeNET,35,Adult Diffuse Large B-Cell Lymphoma,,-6.8,5.4,7.4,30304,504,168,15,8.9,2.2,639|864|1112|2113|2308|2321|3479|4854|5452|5788|5966|6935|9734|10320|81704,PRDM1|RUNX3|FOXN3|ETS1|FOXO1|FLT1|IGF1|NOTCH3|POU2F2|PTPRC|REL|ZEB1|HDAC9|IKZF1|DOCK8,-4.5,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.8,C0000772,M0000001,1,0,DisGeNET,35,Multiple congenital anomalies,,-6.8,7.9,8.2,30304,251,168,11,6.5,1.9,1301|3516|4208|4810|5915|7026|7450|9839|23543|26040|55636,COL11A1|RBPJ|MEF2C|NHS|RARB|NR2F2|VWF|ZEB2|RBFOX2|SETBP1|CHD7,-4.5,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.7,C1281300,M0000001,1,0,DisGeNET,35,Vascular degeneration,,-6.7,72,17,30304,10,168,4,2.4,1.2,2321|3479|4854|51705,FLT1|IGF1|NOTCH3|EMCN,-4.5,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.7,C0020534,M0000001,1,0,DisGeNET,35,Orbital separation excessive,,-6.7,4.9,7.1,30304,590,168,16,9.5,2.3,860|1301|2296|4094|4208|4854|5080|5745|6663|6909|6938|9037|9839|26040|55636|57477,RUNX2|COL11A1|FOXC1|MAF|MEF2C|NOTCH3|PAX6|PTH1R|SOX10|TBX2|TCF12|SEMA5A|ZEB2|SETBP1|CHD7|SHROOM4,-4.4,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.7,C0018916,M0000001,1,0,DisGeNET,35,Hemangioma,,-6.7,7.8,8.1,30304,256,168,11,6.5,1.9,2078|2308|2321|3479|4854|5788|6863|6886|10082|51705|54345,ERG|FOXO1|FLT1|IGF1|NOTCH3|PTPRC|TAC1|TAL1|GPC6|EMCN|SOX18,-4.4,0
1,0,0,1,0,0,1,-2.1,0,0,-3.2,0,0,-6.7,C0553580,M1001001,3,0,DisGeNET,35,Ewings sarcoma,,-6.7,5.2,7.2,30304,517,168,15,8.9,2.2,860|864|2078|2113|2296|2308|2322|3479|3727|4773|5788|6925|7857|64321|285987,RUNX2|RUNX3|ERG|ETS1|FOXC1|FOXO1|FLT3|IGF1|JUND|NFATC2|PTPRC|TCF4|SCG2|SOX17|DLX6-AS1,-4.4,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.6,C0041207,M0000001,1,0,DisGeNET,35,"Truncus Arteriosus, Persistent",,-6.6,17,10,30304,76,168,7,4.2,1.5,639|2308|4208|4810|5080|6909|6926,PRDM1|FOXO1|MEF2C|NHS|PAX6|TBX2|TBX3,-4.4,0
0,0,1,0,0,0,1,0,0,-2.1,0,0,0,-6.5,C0009241,M0010001,2,0,DisGeNET,35,Cognition Disorders,,-6.5,4.8,7,30304,606,168,16,9.5,2.3,794|1523|2308|3479|4854|4983|5793|5915|6256|6925|9037|9734|10215|55636|57477|93986,CALB2|CUX1|FOXO1|IGF1|NOTCH3|OPHN1|PTPRG|RARB|RXRA|TCF4|SEMA5A|HDAC9|OLIG2|CHD7|SHROOM4|FOXP2,-4.3,0
0,1,0,0,0,0,1,0,-2.8,0,0,0,0,-6.5,C0221357,M0100001,2,0,DisGeNET,35,Brachydactyly,,-6.5,6.7,7.7,30304,325,168,12,7.1,2,658|860|1301|2296|3516|4094|5745|6938|9935|55636|63976|170691,BMPR1B|RUNX2|COL11A1|FOXC1|RBPJ|MAF|PTH1R|TCF12|MAFB|CHD7|PRDM16|ADAMTS17,-4.3,0
0,0,1,0,0,0,1,0,0,-2.9,0,0,0,-6.5,C0000846,M0010001,2,0,DisGeNET,35,Agenesis,,-6.5,10,8.6,30304,161,168,9,5.4,1.7,860|864|2122|2296|3782|3909|6663|6935|55636,RUNX2|RUNX3|MECOM|FOXC1|KCNN3|LAMA3|SOX10|ZEB1|CHD7,-4.3,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.5,C1535926,M0000001,1,0,DisGeNET,35,Neurodevelopmental Disorders,,-6.5,5.1,7.1,30304,534,168,15,8.9,2.2,794|2567|3786|4205|4208|6660|6925|9839|26040|53335|55636|57477|81704|93986|170302,CALB2|GABRG3|KCNQ3|MEF2A|MEF2C|SOX5|TCF4|ZEB2|SETBP1|BCL11A|CHD7|SHROOM4|DOCK8|FOXP2|ARX,-4.3,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.5,C0524587,M0000001,1,0,DisGeNET,35,Mean Corpuscular Volume (result),,-6.5,7.4,7.8,30304,269,168,11,6.5,1.9,2078|2308|4208|7068|9839|10320|11214|30009|53335|55553|63976,ERG|FOXO1|MEF2C|THRB|ZEB2|IKZF1|AKAP13|TBX21|BCL11A|SOX6|PRDM16,-4.3,0
1,0,0,0,0,0,1,-2.6,0,0,0,0,0,-6.4,C0037274,M1000001,2,0,DisGeNET,35,Dermatologic disorders,,-6.4,4.7,6.9,30304,615,168,16,9.5,2.3,2034|3479|3727|3909|4306|5915|5966|6095|6663|6863|10178|51705|53335|54345|80760|81704,EPAS1|IGF1|JUND|LAMA3|NR3C2|RARB|REL|RORA|SOX10|TAC1|TENM1|EMCN|BCL11A|SOX18|ITIH5|DOCK8,-4.3,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.4,C0175754,M0000001,1,0,DisGeNET,35,Agenesis of corpus callosum,,-6.4,4.7,6.9,30304,615,168,16,9.5,2.3,864|1462|2018|2308|3479|3727|4208|4602|5396|5788|6663|6935|9839|53335|63976|170302,RUNX3|VCAN|EMX2|FOXO1|IGF1|JUND|MEF2C|MYB|PRRX1|PTPRC|SOX10|ZEB1|ZEB2|BCL11A|PRDM16|ARX,-4.3,0
1,0,0,0,0,0,1,-4.5,0,0,0,0,0,-6.4,C0220597,M1000001,2,0,DisGeNET,35,Adult Hodgkin Lymphoma,,-6.4,5.9,7.3,30304,399,168,13,7.7,2.1,639|1112|1879|2113|2296|2297|2308|3479|3663|5452|5788|5966|9734,PRDM1|FOXN3|EBF1|ETS1|FOXC1|FOXD1|FOXO1|IGF1|IRF5|POU2F2|PTPRC|REL|HDAC9,-4.2,0
1,0,0,0,0,0,1,-3.4,0,0,0,0,0,-6.4,C0220644,M1000001,2,0,DisGeNET,35,Childhood Hodgkin Lymphoma,,-6.4,5.9,7.3,30304,399,168,13,7.7,2.1,639|1112|1879|2113|2296|2297|2308|3479|3663|5452|5788|5966|9734,PRDM1|FOXN3|EBF1|ETS1|FOXC1|FOXD1|FOXO1|IGF1|IRF5|POU2F2|PTPRC|REL|HDAC9,-4.2,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.3,C0018798,M0000001,1,0,DisGeNET,35,Congenital Heart Defects,,-6.3,5.8,7.2,30304,406,168,13,7.7,2.1,2296|3479|4208|4810|5629|6256|6909|6926|7026|7450|9839|26040|55636,FOXC1|IGF1|MEF2C|NHS|PROX1|RXRA|TBX2|TBX3|NR2F2|VWF|ZEB2|SETBP1|CHD7,-4.2,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.3,C0023453,M0000001,1,0,DisGeNET,35,L2 Acute Lymphoblastic Leukemia,,-6.3,20,11,30304,53,168,6,3.6,1.4,2078|2322|3131|6573|6886|10320,ERG|FLT3|HLF|SLC19A1|TAL1|IKZF1,-4.1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.3,C0269102,M0000001,1,0,DisGeNET,35,Endometrioma,,-6.3,7.1,7.7,30304,279,168,11,6.5,1.9,864|1462|2113|2308|3479|3516|4306|5915|7026|55959|167465,RUNX3|VCAN|ETS1|FOXO1|IGF1|RBPJ|NR3C2|RARB|NR2F2|SULF2|ZNF366,-4.1,0
1,0,0,1,0,0,1,-3.1,0,0,-2.4,0,0,-6.3,C1292769,M1001001,3,0,DisGeNET,35,Precursor B-cell lymphoblastic leukemia,,-6.3,5.3,7,30304,478,168,14,8.3,2.1,1879|2122|2322|3131|4854|5452|5788|6573|6863|7857|9734|10320|53335|81704,EBF1|MECOM|FLT3|HLF|NOTCH3|POU2F2|PTPRC|SLC19A1|TAC1|SCG2|HDAC9|IKZF1|BCL11A|DOCK8,-4.1,0
1,0,0,0,0,0,0,-6.2,0,0,0,0,0,0,C0023896,M1000000,1,0,DisGeNET,35,Alcoholic Liver Diseases,,-6.2,20,10,30304,195,47,6,13,4.9,409|5293|5467|6916|7903|57817,ARRB2|PIK3CD|PPARD|TBXAS1|ST8SIA4|HAMP,-4.1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.2,C0033975,M0000001,1,0,DisGeNET,35,Psychotic Disorders,,-6.2,4.8,6.8,30304,560,168,15,8.9,2.2,1523|1745|2567|2572|3479|3782|4205|4810|5788|5915|6886|6925|7444|10215|26011,CUX1|DLX1|GABRG3|GAD2|IGF1|KCNN3|MEF2A|NHS|PTPRC|RARB|TAL1|TCF4|VRK2|OLIG2|TENM4,-4.1,0
1,0,0,1,0,0,1,-4.1,0,0,-2.2,0,0,-6.2,C1333064,M1001001,3,0,DisGeNET,35,Classical Hodgkin's Lymphoma,,-6.2,7,7.6,30304,285,168,11,6.5,1.9,639|1879|2308|3479|3663|3727|5452|5788|5966|8631|53335,PRDM1|EBF1|FOXO1|IGF1|IRF5|JUND|POU2F2|PTPRC|REL|SKAP1|BCL11A,-4.1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.2,C0041696,M0000001,1,0,DisGeNET,35,Unipolar Depression,,-6.2,4.5,6.7,30304,641,168,16,9.5,2.3,1390|1523|2572|2823|3131|3479|4306|6863|6886|6925|9734|11174|30009|56853|84969|93986,CREM|CUX1|GAD2|GPM6A|HLF|IGF1|NR3C2|TAC1|TAL1|TCF4|HDAC9|ADAMTS6|TBX21|CELF4|TOX2|FOXP2,-4.1,0
