_MEMBER_AD_imp_1 - 94.0-96.0,_MEMBER_AD_imp_1 - 96.0-98.0,_MEMBER_AD_imp_1 - 98.0-100.0,_LogP_AD_imp_1 - 94.0-96.0,_LogP_AD_imp_1 - 96.0-98.0,_LogP_AD_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,1,1,0,-2.4,-3.7,GO:0060021,roof of mouth development,M011,2,0
0,1,1,0,-3,-4.7,GO:0050777,negative regulation of immune response,M011,2,0
0,1,1,0,-2.2,-4.3,WP4211,Transcriptional cascade regulating adipogenesis,M011,2,0
1,0,1,-3.1,0,-2.4,M195,PID CMYB PATHWAY,M101,2,0
1,1,0,-2.9,-2.1,0,GO:0048872,homeostasis of number of cells,M110,2,0
0,1,1,0,-2.7,-2.7,R-HSA-9027284,Erythropoietin activates RAS,M011,2,0
1,1,0,-2.6,-3,0,GO:0099177,regulation of trans-synaptic signaling,M110,2,0
0,1,1,0,-2.4,-3.4,GO:0021543,pallium development,M011,2,0
1,0,1,-4,0,-4,GO:0045646,regulation of erythrocyte differentiation,M101,2,0
1,1,0,-2.4,-2.4,0,WP4146,Macrophage markers,M110,2,0
1,0,1,-3,0,-3,GO:0035050,embryonic heart tube development,M101,2,0
1,0,1,-2.3,0,-4.6,M10,PID BCR 5PATHWAY,M101,2,0
0,1,1,0,-2.8,-2.8,GO:0002703,regulation of leukocyte mediated immunity,M011,2,0
0,1,1,0,-2.6,-2.9,GO:0007423,sensory organ development,M011,2,0
1,1,0,-2,-2.6,0,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,M110,2,0
0,1,1,0,-2,-2,GO:0001516,prostaglandin biosynthetic process,M011,2,0
1,0,1,-3.5,0,-2,GO:0071559,response to transforming growth factor beta,M101,2,0
1,1,0,-2.5,-3.3,0,GO:0071407,cellular response to organic cyclic compound,M110,2,0
0,1,1,0,-2.6,-3.4,GO:2000648,positive regulation of stem cell proliferation,M011,2,0
0,1,1,0,-2.7,-2.7,GO:0015908,fatty acid transport,M011,2,0
1,0,1,-2.1,0,-2.5,GO:0010721,negative regulation of cell development,M101,2,0
1,0,1,-5.3,0,-4.5,hsa04658,Th1 and Th2 cell differentiation,M101,2,0
0,1,1,0,-3.4,-3.8,GO:0061061,muscle structure development,M011,2,0
1,0,1,-2.5,0,-2.1,GO:0071248,cellular response to metal ion,M101,2,0
1,0,1,-2.7,0,-4,WP5130,Th17 cell differentiation pathway,M101,2,0
1,0,1,-2.2,0,-6.5,WP2857,Mesodermal commitment pathway,M101,2,0
0,1,1,0,-4.2,-2.7,GO:0045060,negative thymic T cell selection,M011,2,0
0,1,1,0,-2.5,-3.6,GO:0030851,granulocyte differentiation,M011,2,0
1,1,0,-2,-2,0,GO:0001710,mesodermal cell fate commitment,M110,2,0
1,0,1,-5.7,0,-4.8,WP2849,Hematopoietic stem cell differentiation,M101,2,0
1,0,1,-3.1,0,-2.4,WP3527,Pre implantation embryo,M101,2,0
0,1,1,0,-2.6,-3.5,GO:0042063,gliogenesis,M011,2,0
0,1,1,0,-2.3,-4.2,GO:0042472,inner ear morphogenesis,M011,2,0
1,0,1,-4.7,0,-2.1,WP2840,Hair follicle development cytodifferentiation part 3 of 3,M101,2,0
1,0,1,-4.5,0,-4.5,GO:2000628,regulation of miRNA metabolic process,M101,2,0
0,1,1,0,-2.2,-2.2,GO:2000179,positive regulation of neural precursor cell proliferation,M011,2,0
1,0,1,-2.4,0,-2.4,GO:0034391,regulation of smooth muscle cell apoptotic process,M101,2,0
1,1,0,-3,-2.3,0,hsa04725,Cholinergic synapse,M110,2,0
1,1,0,-2.9,-6,0,GO:0042113,B cell activation,M110,2,0
0,1,1,0,-2.4,-2.4,GO:0046847,filopodium assembly,M011,2,0
0,1,1,0,-3.1,-2.5,GO:0043367,"CD4-positive, alpha-beta T cell differentiation",M011,2,0
1,0,1,-3.4,0,-3.4,hsa04659,Th17 cell differentiation,M101,2,0
0,1,1,0,-2.7,-2.7,GO:0035710,"CD4-positive, alpha-beta T cell activation",M011,2,0
0,1,1,0,-4,-3,hsa04664,Fc epsilon RI signaling pathway,M011,2,0
1,1,0,-2.9,-3.3,0,GO:0051960,regulation of nervous system development,M110,2,0
1,0,1,-4.5,0,-6.5,WP5198,Inflammatory bowel disease signaling,M101,2,0
0,1,1,0,-3,-3,GO:0021801,cerebral cortex radial glia-guided migration,M011,2,0
1,0,1,-2.7,0,-2.7,GO:0071241,cellular response to inorganic substance,M101,2,0
0,1,1,0,-2.9,-2.9,GO:0007389,pattern specification process,M011,2,0
1,0,1,-3.5,0,-2.3,WP4659,Gastrin signaling pathway,M101,2,0
0,1,1,0,-2.4,-6,WP23,B cell receptor signaling pathway,M011,2,0
0,1,1,0,-2.7,-2.7,R-HSA-389356,CD28 co-stimulation,M011,2,0
0,1,1,0,-3,-3,GO:0060537,muscle tissue development,M011,2,0
1,1,0,-2.9,-2.4,0,R-HSA-9006925,Intracellular signaling by second messengers,M110,2,0
0,1,1,0,-3.1,-2,GO:0030879,mammary gland development,M011,2,0
0,1,1,0,-3.4,-2,GO:0002009,morphogenesis of an epithelium,M011,2,0
0,1,1,0,-3.1,-3.1,GO:0045058,T cell selection,M011,2,0
1,1,0,-2.4,-3.1,0,GO:0030218,erythrocyte differentiation,M110,2,0
1,1,0,-2,-2,0,WP1992,Genes targeted by miRNAs in adipocytes,M110,2,0
1,0,1,-2.2,0,-2.2,M17200,SA B CELL RECEPTOR COMPLEXES,M101,2,0
0,1,1,0,-2.1,-3.5,hsa04662,B cell receptor signaling pathway,M011,2,0
0,1,1,0,-2.5,-2.9,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,M011,2,0
0,1,1,0,-3.1,-3.1,GO:0071715,icosanoid transport,M011,2,0
0,1,1,0,-4,-5.5,GO:0072091,regulation of stem cell proliferation,M011,2,0
0,1,1,0,-2.2,-3.6,GO:0050764,regulation of phagocytosis,M011,2,0
1,1,0,-3.2,-3.2,0,GO:0032663,regulation of interleukin-2 production,M110,2,0
1,1,0,-2.2,-2.2,0,hsa04010,MAPK signaling pathway,M110,2,0
1,0,1,-6.6,0,-2.9,M167,PID AP1 PATHWAY,M101,2,0
0,1,1,0,-2.6,-2.6,GO:0021987,cerebral cortex development,M011,2,0
0,1,1,0,-3.1,-2.3,GO:0030225,macrophage differentiation,M011,2,0
1,1,0,-2.7,-2.7,0,GO:0051046,regulation of secretion,M110,2,0
1,0,1,-2,0,-3.1,WP3612,Photodynamic therapy induced NFE2L2 NRF2 survival signaling,M101,2,0
0,1,1,0,-3.3,-3.3,hsa05221,Acute myeloid leukemia,M011,2,0
0,1,1,0,-3,-4,WP5102,Familial partial lipodystrophy,M011,2,0
0,1,1,0,-2.3,-2.3,R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",M011,2,0
0,1,1,0,-3.2,-3.2,WP5293,Acute myeloid leukemia,M011,2,0
1,0,1,-4.8,0,-2.2,R-HSA-8951671,RUNX3 regulates YAP1-mediated transcription,M101,2,0
0,1,1,0,-2.6,-2.6,GO:0032743,positive regulation of interleukin-2 production,M011,2,0
1,1,0,-2.6,-3,0,GO:0050804,modulation of chemical synaptic transmission,M110,2,0
1,0,1,-2,0,-2.7,WP75,Toll like receptor signaling pathway,M101,2,0
0,1,1,0,-7.9,-2.9,GO:0002263,cell activation involved in immune response,M011,2,0
0,1,1,0,-2.4,-3.3,GO:0032944,regulation of mononuclear cell proliferation,M011,2,0
1,0,1,-2.1,0,-2.1,M285,PID HNF3A PATHWAY,M101,2,0
0,1,1,0,-3,-3,GO:0022030,telencephalon glial cell migration,M011,2,0
0,1,1,0,-3.7,-2.4,hsa04611,Platelet activation,M011,2,0
0,1,1,0,-2.7,-2.7,GO:0045061,thymic T cell selection,M011,2,0
0,1,1,0,-2.1,-2.1,GO:0010001,glial cell differentiation,M011,2,0
0,1,1,0,-2.1,-2.1,GO:0040017,positive regulation of locomotion,M011,2,0
1,0,1,-3.5,0,-2.8,WP69,T cell receptor signaling pathway,M101,2,0
0,1,1,0,-2.2,-4.8,GO:0051216,cartilage development,M011,2,0
0,1,1,0,-2.6,-2.6,hsa05215,Prostate cancer,M011,2,0
0,1,1,0,-3.8,-2.4,GO:0043383,negative T cell selection,M011,2,0
0,1,1,0,-2,-2,GO:0061138,morphogenesis of a branching epithelium,M011,2,0
0,1,1,0,-3.1,-3.1,GO:0045582,positive regulation of T cell differentiation,M011,2,0
1,0,1,-3.1,0,-3.1,GO:0140467,integrated stress response signaling,M101,2,0
1,1,0,-2.8,-2.8,0,GO:0032673,regulation of interleukin-4 production,M110,2,0
0,1,1,0,-2.1,-2.1,GO:0002886,regulation of myeloid leukocyte mediated immunity,M011,2,0
1,0,1,-3.7,0,-3.7,CORUM:2694,ERG-JUN-FOS DNA-protein complex,M101,2,0
0,1,1,0,-3,-3.6,GO:0002761,regulation of myeloid leukocyte differentiation,M011,2,0
0,1,1,0,-2.5,-3.6,WP3599,Transcription factor regulation in adipogenesis,M011,2,0
0,1,1,0,-2,-3.1,GO:0002830,positive regulation of type 2 immune response,M011,2,0
1,1,0,-3.7,-2.4,0,hsa04915,Estrogen signaling pathway,M110,2,0
1,1,0,-2.6,-2.6,0,GO:0035249,"synaptic transmission, glutamatergic",M110,2,0
0,1,1,0,-2.4,-4.3,GO:0048706,embryonic skeletal system development,M011,2,0
0,1,1,0,-2.7,-2.7,GO:0002699,positive regulation of immune effector process,M011,2,0
0,1,1,0,-2.7,-2.4,GO:0048514,blood vessel morphogenesis,M011,2,0
1,1,0,-2.9,-3.4,0,GO:1901653,cellular response to peptide,M110,2,0
1,0,1,-5.2,0,-4,M290,PID IL12 STAT4 PATHWAY,M101,2,0
1,1,0,-3.7,-3,0,hsa04724,Glutamatergic synapse,M110,2,0
0,1,1,0,-3.9,-6.5,GO:0072089,stem cell proliferation,M011,2,0
1,0,1,-2.4,0,-2.4,GO:0071277,cellular response to calcium ion,M101,2,0
0,1,1,0,-2.4,-4.5,GO:0009792,embryo development ending in birth or egg hatching,M011,2,0
0,1,1,0,-2,-2,GO:0046457,prostanoid biosynthetic process,M011,2,0
0,1,1,0,-2,-2,GO:0060541,respiratory system development,M011,2,0
1,0,1,-2.5,0,-2.5,GO:0043370,"regulation of CD4-positive, alpha-beta T cell differentiation",M101,2,0
0,1,1,0,-2.4,-2.4,GO:0015732,prostaglandin transport,M011,2,0
0,1,1,0,-2.1,-3.2,GO:0003002,regionalization,M011,2,0
1,0,1,-2.3,0,-3.1,hsa04660,T cell receptor signaling pathway,M101,2,0
0,1,1,0,-3.2,-3.2,M8626,SIG BCR SIGNALING PATHWAY,M011,2,0
1,1,0,-3.8,-3.3,0,GO:0042060,wound healing,M110,2,0
0,1,1,0,-3.4,-2.9,GO:0048839,inner ear development,M011,2,0
1,1,0,-2.4,-2.9,0,GO:0030183,B cell differentiation,M110,2,0
1,1,0,-2.7,-3.8,0,GO:0006954,inflammatory response,M110,2,0
1,0,1,-2.4,0,-4.3,GO:0050678,regulation of epithelial cell proliferation,M101,2,0
0,1,1,0,-2.5,-3.6,R-HSA-9006335,Signaling by Erythropoietin,M011,2,0
0,1,1,0,-2.2,-2.9,GO:0042098,T cell proliferation,M011,2,0
0,1,1,0,-2.4,-2.4,GO:0030335,positive regulation of cell migration,M011,2,0
0,1,1,0,-4,-2.9,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,M011,2,0
0,1,1,0,-2.4,-5.9,R-HSA-9616222,Transcriptional regulation of granulopoiesis,M011,2,0
0,1,1,0,-3.8,-4.6,GO:0043030,regulation of macrophage activation,M011,2,0
1,0,1,-3.4,0,-3.4,WP4341,Non genomic actions of 1 25 dihydroxyvitamin D3,M101,2,0
1,1,0,-2.2,-2.2,0,hsa04912,GnRH signaling pathway,M110,2,0
1,0,1,-4.2,0,-2.5,M60,PID NFAT TFPATHWAY,M101,2,0
0,1,1,0,-2.4,-3.8,GO:0032943,mononuclear cell proliferation,M011,2,0
1,1,0,-2.7,-2.1,0,WP3929,Chemokine signaling pathway,M110,2,0
0,1,1,0,-3.4,-2.4,R-HSA-912631,Regulation of signaling by CBL,M011,2,0
1,1,0,-2.2,-2.2,0,GO:0090102,cochlea development,M110,2,0
1,1,0,-2.2,-3.4,0,GO:0002357,defense response to tumor cell,M110,2,0
0,1,1,0,-2.9,-2.2,GO:0042093,T-helper cell differentiation,M011,2,0
0,1,1,0,-2.5,-2.1,GO:0002253,activation of immune response,M011,2,0
1,1,0,-2.1,-2.6,0,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,M110,2,0
0,1,1,0,-3.3,-3.3,GO:0002702,positive regulation of production of molecular mediator of immune response,M011,2,0
1,0,1,-2.5,0,-2.5,WP3892,Development of pulmonary dendritic cells and macrophage subsets,M101,2,0
0,1,1,0,-2.4,-3.8,GO:0046651,lymphocyte proliferation,M011,2,0
0,1,1,0,-2.2,-3.4,GO:0045588,positive regulation of gamma-delta T cell differentiation,M011,2,0
0,1,1,0,-3,-5.8,WP3945,TYROBP causal network in microglia,M011,2,0
1,1,0,-2.4,-2.4,0,GO:0045657,positive regulation of monocyte differentiation,M110,2,0
1,0,1,-2.8,0,-3.7,M183,PID IL6 7 PATHWAY,M101,2,0
0,1,1,0,-3.1,-3.1,GO:0046645,positive regulation of gamma-delta T cell activation,M011,2,0
0,1,1,0,-2.9,-3.2,GO:0032103,positive regulation of response to external stimulus,M011,2,0
0,1,1,0,-3.6,-4.7,WP236,Adipogenesis,M011,2,0
0,1,1,0,-2.9,-2.3,GO:0050851,antigen receptor-mediated signaling pathway,M011,2,0
1,0,1,-2,0,-2,GO:0060761,negative regulation of response to cytokine stimulus,M101,2,0
0,1,1,0,-2.1,-2.5,GO:0120031,plasma membrane bounded cell projection assembly,M011,2,0
0,1,1,0,-2.8,-3.7,GO:0070663,regulation of leukocyte proliferation,M011,2,0
0,1,1,0,-3.7,-2.5,GO:0002520,immune system development,M011,2,0
1,1,0,-2.5,-2.5,0,hsa05135,Yersinia infection,M110,2,0
0,1,1,0,-2.3,-3.1,GO:0043368,positive T cell selection,M011,2,0
0,1,1,0,-2.1,-2.8,GO:0022029,telencephalon cell migration,M011,2,0
1,1,0,-2.3,-2.7,0,GO:0043434,response to peptide hormone,M110,2,0
1,1,0,-2.2,-2.7,0,GO:0071375,cellular response to peptide hormone stimulus,M110,2,0
0,1,1,0,-2.3,-3.2,GO:0030031,cell projection assembly,M011,2,0
0,1,1,0,-2.4,-2.4,GO:0043087,regulation of GTPase activity,M011,2,0
0,1,1,0,-2.5,-2.5,GO:0002757,immune response-activating signaling pathway,M011,2,0
0,1,1,0,-2.6,-4.2,GO:0030900,forebrain development,M011,2,0
1,1,0,-3,-2.1,0,WP3967,miR 509 3p alteration of YAP1 ECM axis,M110,2,0
1,0,1,-2,0,-2,GO:0048545,response to steroid hormone,M101,2,0
0,1,1,0,-4.5,-2.3,GO:1904888,cranial skeletal system development,M011,2,0
0,1,1,0,-2.2,-2.2,GO:2000147,positive regulation of cell motility,M011,2,0
0,1,1,0,-3.6,-2.2,GO:0002768,immune response-regulating cell surface receptor signaling pathway,M011,2,0
0,1,1,0,-2.3,-3.3,GO:0002819,regulation of adaptive immune response,M011,2,0
1,0,1,-3.2,0,-3.2,WP4540,Hippo signaling regulation pathways,M101,2,0
0,1,1,0,-2.7,-2.7,GO:0046643,regulation of gamma-delta T cell activation,M011,2,0
