data_imp_1 - 1.8-2.2,data_imp_1 - 4.5-5.5,data_imp_1 - 9.0-11.0,_BACKGROUND
ENTPD1,JUN,RBM47,ARHGAP31
ENTPD1-AS1,JUNB,REL,ARHGAP31-AS1
EOMES,JUND,RELB,ARHGAP4
EPAS1,KAZN,RELN,ARHGAP42
EPB41L4A,KCNB2,RFX2,ARHGAP6
EPN2,KCNH7,RGS10,ARHGAP9
EPS8,KCNQ3,RIN3,ARHGDIB
EPSTI1,KCNT2,RNF144B,ARHGEF1
ERG,KIT,RSPO2,ARHGEF10L
ESRRA,KLF10,RUNX1,ARHGEF26
ESRRG,KLF2,RUNX2,ARHGEF26-AS1
ETS1,KLF4,RUNX3,ARHGEF28
ETS2,KLF6,SAMD5,ARHGEF38
ETV1,LAIR1,SETBP1,ARHGEF4
ETV2,LAMA3,SEZ6L,ARHGEF40
ETV3,LAPTM5,SH3TC1,ARHGEF6
ETV5,LARP1,SIX1,ARID3A
ETV6,LAT2,SKAP1,ARID3B
ETV7,LCP1,SKAP2,ARID3C
EYA1,LCP2,SLC25A37,ARID5A
EYA4,LDB2,SLC4A7,ARID5B
EZH2,LDLRAD3,SLC7A1,ARL15
F13A1,LEF1,SLC7A2,ARL5A
FAM110B,LHX2,SLC8A1,ARMC3
FAM149A,LHX6,SLCO2B1,ARNT
FAM177B,LIMS1,SMAP2,ARNT2
FAM189A2,LINC00511,SORCS3,ARNTL
FAM20A,LINC01094,SOX10,ARNTL2
FAS,LINC01141,SOX18,ARRB2
FAT1,LINC01197,SOX5,ARRDC2
FAT4,LINC01410,SOX6,ARRDC3
FBLN1,LMO2,SOX8,ARRDC3-AS1
FCER1G,LPAR5,SP9,ARRDC4
FCGR1CP,LPAR6,SPRY4,ARRDC5
FCGR3A,LRCH1,SREBF2,ARSI
FER1L6,LRIG1,SRGAP1,ARSJ
FGD2,LRRC3B,SRGAP2B,ART4
FGD3,LRRK1,SRRM3,ARX
FGD4,LRRTM4,ST18,ASAP3
FGF14,LTBP1,ST6GALNAC3,ASB14
FGFR1,LUZP2,STAB1,ASB18
FGFR3,MAF,STAT3,ASB4
FGL2,MAFB,STAT4,ASCC1
FLI1,MAFK,STAT5A,ASCL1
FLRT2,MAP3K1,STON2,ASCL2
FLT1,MARCKSL1,SUSD6,ASH2L
FMNL1,MECOM,SYK,ASIC2
FN1,MEPE,SYNE2,ASIC4
FNDC3B,MGAT4A,SYTL3,ASPA
FOS,MGST1,TAC1,ASPH
FOSB,MIR31HG,TAL1,ASPN
FOSL1,MIR646HG,TBX15,ASPSCR1
FOSL2,MKNK1,TBX2,ASTN2-AS1
FOXC1,MOBP,TCF12,ASZ1
FOXD1,MRC1,TCF4,ATAD3C
FOXD2,MS4A4A,TCF4-AS1,ATE1-AS1
FOXD4L5,MS4A6A,TCF7L1,ATF1
FOXF1,MSI2,TCF7L2,ATF2
FOXF2,MSN,TEAD1,ATF3
FOXJ2,MSR1,TEAD4,ATF4
FOXK1,MSX1,TFAP2A,ATF5
FOXL1,MSX2,TFEC,ATF6
FOXL2,MTA3,TGFBR2,ATF6B
FOXN2,MYC,THSD7B,ATF7
FOXN3,MYEF2,TLR1,ATG16L2
FOXO1,MYO1F,TLR2,ATOH7
FOXO6,MYOF,TMEM132C,ATOH8
FOXP1,NAMPT,TMEM156,ATOX1
FOXP2,NCKAP1L,TMEM163,ATP10A
FOXQ1,NEAT1,TNFAIP8,ATP10B
FSTL5,NET1,TNFRSF1B,ATP11A-AS1
GAB3,NETO2,TNS3,ATP11C
GAD2,NFATC2,TP63,ATP13A4
GADD45B,NFATC3,UST,ATP13A5
GATA2,NFIA,VAV1,ATP1A2
GATA3,NFIB,VAX1,ATP1B3
GATA6,NFIC,VCAN,ATP2A3
GBP4,NFIL3,VIP,ATP2C2
GCNT2,NFIX,WDFY4,ATP6V0D2
GDNF-AS1,NKAIN3,WDR49,ATP7B
GGT5,NLRP1,WIPF1,ATP8B1
GHR,NOTCH3,ZEB1,ATP8B4
GIMAP4,NR2C1,ZFHX3,ATP8B5P
GIMAP7,NR2E1,ZFP36L1,ATRNL1
GJA1,NR2F1,ZFP36L2,AVEN
GJC1,NR2F2,ZIC2,AXL
GK,NR2F2-AS1,ZMAT4,AZGP1
GLI3,NR3C1,ZNF366,B2M
GLIS1,NR3C2,ZNF536,B3GAT2
GLIS2,NR4A1,ZNF704,B3GNT5
GLRX,NRIP3,ZNF710,B4GALT1
GLUL,NRP1,,BAALC
GMPR,NRP2,,BAALC-AS1
GNG11,NTN1,,BACE2
GNG12,NTNG1,,BACH1
GNG12-AS1,NXPH1,,BACH2
GNG4,OLFM3,,BAD
GPBP1L1,OLIG1,,BAG3
GPC5,OLR1,,BAIAP2L1
GPCPD1,OPRM1,,BAMBI
GPM6A,OSMR,,BANK1
GPR149,P4HA1,,BANP
GPR17,PAG1,,BARD1
GPR183,PAMR1,,BARX2
GPR34,PAPLN,,BATF
GPRIN3,PARD3,,BATF3
GRAMD1A,PARD3B,,BAX
GRB10,PARP4,,BAZ1A
GRIP1,PARP9,,BBOX1
GRK5,PARVG,,BBOX1-AS1
GRM1,PAWR,,BBX
GRM3,PAX6,,BCAM
GRM8,PBX1,,BCAN
GTF2IRD1,PCAT19,,BCAR3
GULP1,PCP4,,BCAS1
GYG2P1,PCSK5,,BCAS2
HAMP,PDE10A,,BCAT2
HAPLN2,PDE1C,,BCHE
HAVCR2,PDE3A,,BCL11A
HBP1,PDE7B,,BCL11B
HERC2P3,PDGFB,,BCL2
HERPUD1,PDLIM5,,BCL2A1
HES1,PDZRN3,,BCL2L11
HES4,PDZRN4,,BCL2L12
HES7,PHLDB2,,BCL2L14
HEY2,PITPNC1,,BCL3
HEYL,PLA2R1,,BCL6
HIC1,PLCB2,,BCL6B
HIF1A,PLCG2,,BCLAF1
HIF3A,PLCH1,,BCYRN1
HIGD1B,PLEK,,BDNF
HIVEP1,PLPPR1,,BDNF-AS
HK2,POLR2A,,BDP1
HLA-B,PON2,,BEND7
HLA-DPA1,POSTN,,BEST1
HLA-DRB1,POU2F2,,BEST3
HLF,POU3F4,,BGN
HMBOX1,PPARG,,BHLHA15
HMGB2,PPARGC1A,,BHLHE22
HNF4G,PPP1R1C,,BHLHE40
HNMT,PRDM1,,BHLHE41
HOXB3,PRDM16,,BICC1
HS3ST3A1,PRDM6,,BIN2
ID1,PREX2,,BIRC3
ID3,PRKCD,,BLM
ID4,PROX1,,BLNK
IFI44,PRRX1,,BMF
IFI44L,PSTPIP2,,BMP2
IGFBP5,PTGS1,,BMP2K
IGSF21,PTH1R,,BMP5
IGSF6,PTPN22,,BMP6
IKZF1,PTPRB,,BMP7
IKZF3,PTPRC,,BMPER
IL10RA,PTPRM,,BMPR1B
IL1B,PTPRO,,BMX
IL1R1,PTPRT,,BNC1
IL4R,PYGL,,BNC2
IL6R,PYHIN1,,BOC
IL6ST,RAB31,,BOK
INPP4B,RAPGEF1,,BOK-AS1
IQGAP2,RBFOX2,,BOLL
IRF2,RBMS3-AS3,,BPTF
IRF5,RBPJ,,BRCA1
IRF6,RCOR1,,BRCA2
IRF7,RCSD1,,BRF1
IRF8,REL,,BRF2
IRF9,RELA,,BRINP3
ITGA1,RFX4,,BROX
ITGA11,RGS10,,BSG
ITGAM,RHBDF2,,BST1
ITGAX,RHOBTB3,,BST2
ITGB2,RHOJ,,BSX
ITGB5,RIN3,,BTBD11
ITGBL1,RNASEH2B-AS1,,BTBD16
ITIH5,RNF152,,BTBD17
ITPR2,RNF220,,BTG1
JAK3,RORA,,BTG2
JDP2,RREB1,,BTG3
JUN,RTKN,,BTK
JUNB,RUNX1,,BTN2A2
JUND,RUNX2,,BTN3A1
KANK3,RUNX3,,BTN3A2
KCNK13,RXRA,,BTNL9
KCNK2,RYR1,,BVES
KCNMB1,SALL3,,BVES-AS1
KCNQ3,SAMD4A,,C10orf90
KCNT2,SAMD9L,,C11orf65
KCTD12,SAMSN1,,C12orf42
KCTD8,SCARA3,,C12orf56
KIAA1217,SEC24D,,C12orf60
KIF6,SEMA6A,,C12orf75
KIT,SERPINE2,,C17orf64
KITLG,SETBP1,,C18orf54
KLF10,SEZ6L,,C19orf25
KLF11,SFMBT2,,C1QA
KLF12,SGK1,,C1QB
KLF15,SGPP2,,C1QC
KLF16,SH2B3,,C1QL1
KLF2,SHISA6,,C1QTNF1
KLF4,SIPA1L2,,C1QTNF7
KLF5,SIX1,,C1R
KLF6,SIX4,,C1RL
KLF8,SLAIN1,,C1orf112
KLHL6,SLC19A1,,C1orf122
KLRD1,SLC25A13,,C1orf162
LAIR1,SLC2A3,,C1orf195
LAMA4,SLC2A5,,C1orf54
LAMC3,SLC35F4,,C1orf56
LATS2,SLC6A12,,C1orf87
LBH,SLC7A14,,C20orf197
LCP2,SLC7A5,,C21orf62
LDB3,SLC8A1,,C21orf62-AS1
LEF1,SLC9A9,,C21orf91
LGI1,SLCO2B1,,C21orf91-OT1
LHFPL3,SLCO4A1,,C22orf34
LHX1,SLFN12L,,C2CD2
LHX2,SLIT2,,C2orf76
LHX6,SMAP2,,C2orf83
LILRB4,SMOC2,,C3
LIMK2,SOAT1,,C3AR1
LINC00299,SOCS6,,C4BPA
LINC00326,SORCS1,,C4orf19
LINC00511,SORCS3,,C4orf45
LINC01088,SOX10,,C4orf48
LINC01094,SOX13,,C5
LINC01322,SOX17,,C5AR1
LINC01619,SOX18,,C5AR2
LINGO2,SOX5,,C5orf17
LIPC,SOX6,,C5orf64
LMO2,SOX7,,C7
LMX1A,SOX8,,C7orf31
LOXL3,SP3,,C7orf61
LPAR4,SPP1,,C8orf34
LPAR5,SREBF2,,C8orf34-AS1
LPGAT1,SRGAP2,,C9orf153
LRIG1,SRGAP2-AS1,,CA1
LRP2,SRGAP2B,,CA10
LRRC32,SRGN,,CA12
LRRC3B,SRRM3,,CA14
LTBP1,ST6GALNAC5,,CA2
LYL1,ST8SIA6,,CA3
LYN,ST8SIA6-AS1,,CA3-AS1
MAF,STAB1,,CA4
MAFB,STAT3,,CA8
MAFF,STAT5B,,CABLES1
MAFG,STK32A,,CABP4
MAFK,STOM,,CACHD1
MAML3,STON2,,CACNA2D3
MAN1A1,STXBP6,,CACNB2
MAOA,SUCLG2,,CACNG4
MAOB,SULF1,,CACNG5
MAP3K1,SVIL,,CADPS2
MAP3K8,SYK,,CAHM
MAZ,SYNPR,,CALB2
MBD2,SYT17,,CALCB
MCC,SYTL3,,CALCR
MCL1,TAL1,,CALCRL
MDFIC,TBC1D14,,CALD1
MECOM,TBL1X,,CALN1
MEF2C,TBX15,,CALR
MEF2D,TBX2,,CAMK2G
MEIS2,TBX3,,CAMKMT
MEIS3,TBXAS1,,CANX
MEOX2,TCF12,,CAP1
METAP1D,TCF4,,CAPG
METTL7A,TCF7L1,,CAPN13
MFSD2A,TCF7L2,,CAPN9
MGAT4C,TEAD1,,CARD11
MID1IP1,TEAD2,,CARD14
MIOS,TEAD3,,CARD18
MIR34AHG,TEAD4,,CARD6
MIR4500HG,TFDP2,,CARD8
MIS18BP1,TFEC,,CARD9
MITF,TFPI,,CARF
MLXIPL,TGFBI,,CARMN
MN1,THRB,,CARNS1
MRC2,THSD4,,CARTPT
MSC,TLL1,,CASC15
MSC-AS1,TLR2,,CASC17
MSI2,TLR5,,CASC19
MSN,TM4SF1,,CASC6
MSR1,TM6SF1,,CASC9
MSX2,TMEM156,,CASP1
MT2A,TMEM163,,CASP10
MTA3,TMEM165,,CASP4
MTHFD1L,TMTC1,,CASP7
MTHFD2,TNC,,CASP8
MTUS2,TNFAIP8,,CASS4
MX2,TOB1,,CAT
MXD4,TOX,,CATSPERG
MXI1,TOX3,,CAV1
MYB,TRAF3IP3,,CAV2
MYBL1,TRG-AS1,,CAV3
MYC,TRIM22,,CBFA2T2
MYEF2,TRIM38,,CBFB
MYO16,TRIM5,,CBLB
MYO1B,TRPC4,,CBLN2
MYO1E,UACA,,CBX7
MYO1F,UBASH3B,,CC2D2B
MYRF,UBB,,CCBE1
MYT1,UBC,,CCDC102B
NAMPT,UGT8,,CCDC122
NANOG,UNC13C,,CCDC13-AS1
NAPSB,USP6NL,,CCDC141
NCALD,VASH1,,CCDC15
NCKAP1L,VAX1,,CCDC150
NCOA2,VCAN,,CCDC152
NDE1,VENTX,,CCDC160
NDST3,VIM,,CCDC168
NDST4,VWC2L,,CCDC169-SOHLH2
NDUFA4L2,VWF,,CCDC18
NEDD9,WDR49,,CCDC190
NFAT5,WLS,,CCDC25
NFATC1,WNT5A,,CCDC26
NFATC2,XKR4,,CCDC50
NFATC3,YAP1,,CCDC60
NFATC4,ZBTB20,,CCDC68
NFE2L1,ZCCHC24,,CCDC69
NFE2L2,ZEB1,,CCDC80
NFIA,ZFAND6,,CCDC88B
NFIB,ZFHX3,,CCDC88C
NFIL3,ZFP36,,CCDC97
NFIX,ZFP36L1,,CCK
NFKB1,ZIC3,,CCL2
NFKB2,ZMAT4,,CCL3
NFKBIA,ZNF273,,CCL4
NHSL2,ZNF385D,,CCL4L2
NKAIN3,ZNF462,,CCL5
NKX2-2,ZNF521,,CCNB2
NKX2-8,ZNF704,,CCNB3
NKX6-1,ZNF804A,,CCND1
NKX6-2,,,CCND3
NKX6-3,,,CCNE2
NLRC5,,,CCNG2
NLRP1,,,CCNT2
NMU,,,CCR1
NOS1,,,CD109
NOTCH1,,,CD14
NOTCH3,,,CD163
NOTCH4,,,CD163L1
NPAS2,,,CD22
NR1D2,,,CD226
NR1H3,,,CD247
NR2C1,,,CD274
NR2C2,,,CD300A
NR2E1,,,CD302
NR2F1,,,CD320
NR2F2,,,CD33
NR2F2-AS1,,,CD34
NR3C1,,,CD36
NR4A1,,,CD37
NR4A2,,,CD38
NR4A3,,,CD4
NRG1,,,CD40
NTN4,,,CD44
NXPH2,,,CD53
OLIG1,,,CD55
OLIG2,,,CD58
OSR1,,,CD59
OTUD1,,,CD6
P2RX4,,,CD63
P2RY12,,,CD69
PAG1,,,CD72
PALLD,,,CD74
PALMD,,,CD82
PAPOLG,,,CD83
PARP14,,,CD84
PARP15,,,CD86
PARP8,,,CD9
PAWR,,,CD93
PAX6,,,CD96
PAX8,,,CDC14A
PBX1,,,CDC42EP1
PBX3,,,CDC42EP4
PCDH9-AS2,,,CDC5L
PCED1B,,,CDCA7L
PCSK2,,,CDCP1
PCSK5,,,CDH1
PDE1C,,,CDH10
PDE3A,,,CDH12
PDE3B,,,CDH13
PDE7B,,,CDH18
PDGFRA,,,CDH19
PDGFRB,,,CDH20
PDLIM1,,,CDH23
PDZD2,,,CDH4
PDZRN3,,,CDH5
PECAM1,,,CDH6
PELI2,,,CDH7
PER1,,,CDH8
PGR,,,CDH9
PHACTR1,,,CDHR3
PHACTR2,,,CDK18
PHKA1,,,CDK19
PHLDB1,,,CDK2AP1
PIEZO1,,,CDK2AP2
PIK3AP1,,,CDKN1A
PIK3R5,,,CDKN1B
PILRA,,,CDKN1C
PIP5K1B,,,CDKN2A
PKN3,,,CDKN2B
PKNOX1,,,CDKN2B-AS1
PKNOX2,,,CDR2L
PLA1A,,,CDX1
PLA2G7,,,CEACAM1
PLAGL1,,,CEACAM21
PLAT,,,CEBPA
PLB1,,,CEBPB
PLD5,,,CEBPD
PLEK,,,CEBPG
PLEKHG1,,,CEBPZ
PLEKHH2,,,CELF4
PLEKHO1,,,CELF5
PLPP1,,,CEMIP
PLSCR1,,,CENPB
PLSCR4,,,CENPBD1
PLXNA4,,,CENPE
PML,,,CENPF
POLR2A,,,CENPP
POLR3G,,,CENPQ
POU2F1,,,CEP128
POU2F2,,,CEP135
POU3F1,,,CEP152
POU3F4,,,CEP85
POU5F1,,,CERCAM
PPARA,,,CERS2
PPARG,,,CERS3
PPARGC1A,,,CERS4
PRAM1,,,CERS5
PRDM1,,,CERS6
PRDM16,,,CFAP47
PRDM5,,,CFAP54
PRDM6,,,CFH
PRELP,,,CFL2
PREX2,,,CFLAR
PRKAA2,,,CFLAR-AS1
PRKCH,,,CFTR
PRKX,,,CGNL1
PRKY,,,CH25H
PROP1,,,CHADL
PRR5,,,CHAMP1
PRRX1,,,CHD1
PRRX2,,,CHD2
PRTG,,,CHD7
PSMA1,,,CHEK2
PSTPIP2,,,CHI3L1
PTGDR,,,CHL1-AS1
PTH1R,,,CHMP1B2P
PTPRC,,,CHODL
PTPRM,,,CHODL-AS1
PUM3,,,CHRDL1
