_MEMBER_att_D_AD_1 - 0.9-1.1,_MEMBER_att_D_AD_1 - 4.5-5.5,_MEMBER_att_D_AD_1 - 9.0-11.0,_LogP_att_D_AD_1 - 0.9-1.1,_LogP_att_D_AD_1 - 4.5-5.5,_LogP_att_D_AD_1 - 9.0-11.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,0,-2.9,-2.3,0,GO:0061458,reproductive system development,M110,2,0
1,1,0,-3.9,-3.6,0,hsa04658,Th1 and Th2 cell differentiation,M110,2,0
1,1,0,-4.9,-2.7,0,R-HSA-8939211,ESR-mediated signaling,M110,2,0
1,1,0,-2.4,-2.3,0,GO:1903039,positive regulation of leukocyte cell-cell adhesion,M110,2,0
1,1,0,-5.7,-4.1,0,GO:0001654,eye development,M110,2,0
1,1,0,-3.5,-2.2,0,GO:0030111,regulation of Wnt signaling pathway,M110,2,0
1,1,0,-4.5,-2,0,hsa05210,Colorectal cancer,M110,2,0
1,1,0,-9.7,-5.1,0,GO:0048732,gland development,M110,2,0
1,0,1,-4.9,0,-2.6,GO:0045444,fat cell differentiation,M101,2,0
1,1,0,-3.7,-5.6,0,GO:0002573,myeloid leukocyte differentiation,M110,2,0
1,1,0,-2.2,-5.2,0,GO:0035050,embryonic heart tube development,M110,2,0
1,0,1,-8,0,-4.1,GO:0045165,cell fate commitment,M101,2,0
0,1,1,0,-2,-3.2,GO:0051101,regulation of DNA binding,M011,2,0
1,1,0,-2.9,-6,0,GO:0030879,mammary gland development,M110,2,0
1,1,0,-2.2,-3.1,0,GO:0062012,regulation of small molecule metabolic process,M110,2,0
1,1,0,-2.1,-5.9,0,GO:0060021,roof of mouth development,M110,2,0
1,1,0,-3.8,-2.3,0,GO:0048589,developmental growth,M110,2,0
1,1,0,-2.3,-2.2,0,R-HSA-9679191,Potential therapeutics for SARS,M110,2,0
1,1,0,-8.5,-5.4,0,GO:0007423,sensory organ development,M110,2,0
1,1,0,-3.5,-3,0,GO:0022612,gland morphogenesis,M110,2,0
1,1,0,-7.7,-3.7,0,R-HSA-1280215,Cytokine Signaling in Immune system,M110,2,0
1,1,0,-5.9,-4,0,GO:0150063,visual system development,M110,2,0
1,0,1,-2.5,0,-2.1,GO:0051098,regulation of binding,M101,2,0
1,1,0,-4.6,-3.2,0,GO:0048706,embryonic skeletal system development,M110,2,0
1,1,0,-2.7,-2.1,0,GO:0071326,cellular response to monosaccharide stimulus,M110,2,0
1,1,0,-6.4,-4,0,R-HSA-198725,Nuclear Events (kinase and transcription factor activation),M110,2,0
1,1,0,-2.2,-2.2,0,GO:0071333,cellular response to glucose stimulus,M110,2,0
1,1,0,-2.8,-2.2,0,GO:0002287,alpha-beta T cell activation involved in immune response,M110,2,0
1,1,0,-5.9,-3,0,GO:1901652,response to peptide,M110,2,0
1,1,0,-5.2,-5.6,0,GO:1902105,regulation of leukocyte differentiation,M110,2,0
1,1,0,-2.6,-5.4,0,GO:0060485,mesenchyme development,M110,2,0
1,1,0,-5.4,-2.2,0,WP4155,Endometrial cancer,M110,2,0
1,1,0,-3.8,-3.6,0,GO:0001892,embryonic placenta development,M110,2,0
1,1,0,-4.3,-4.4,0,GO:0003002,regionalization,M110,2,0
1,1,0,-3,-2.4,0,GO:0007369,gastrulation,M110,2,0
1,1,0,-3.2,-2.9,0,GO:0071383,cellular response to steroid hormone stimulus,M110,2,0
1,1,0,-2,-3.1,0,M166,PID ATF2 PATHWAY,M110,2,0
1,1,0,-2.9,-2.3,0,GO:0048608,reproductive structure development,M110,2,0
1,1,0,-2.9,-2.4,0,M65,PID FRA PATHWAY,M110,2,0
1,1,0,-2.3,-4.1,0,M272,PID CD8 TCR DOWNSTREAM PATHWAY,M110,2,0
1,1,0,-6.5,-4.9,0,WP5130,Th17 cell differentiation pathway,M110,2,0
1,1,0,-4.3,-2.6,0,R-HSA-9018519,Estrogen-dependent gene expression,M110,2,0
1,1,0,-7.7,-3.7,0,hsa05161,Hepatitis B,M110,2,0
1,1,0,-5.6,-3.4,0,GO:1901653,cellular response to peptide,M110,2,0
1,1,0,-2.9,-2.2,0,WP5098,T cell activation SARS CoV 2,M110,2,0
1,1,0,-6.1,-7.2,0,GO:0048562,embryonic organ morphogenesis,M110,2,0
1,1,0,-4.6,-2.5,0,hsa04917,Prolactin signaling pathway,M110,2,0
1,1,0,-2.5,-2.2,0,GO:0048592,eye morphogenesis,M110,2,0
1,1,0,-8.1,-3.3,0,GO:0070848,response to growth factor,M110,2,0
1,0,1,-5.2,0,-2.3,GO:0001819,positive regulation of cytokine production,M101,2,0
1,1,0,-6.6,-3.4,0,R-HSA-166520,Signaling by NTRKs,M110,2,0
1,1,0,-2.4,-2.7,0,GO:1901655,cellular response to ketone,M110,2,0
1,1,0,-3,-2.7,0,GO:0007368,determination of left/right symmetry,M110,2,0
1,1,0,-6.1,-5.6,0,WP2857,Mesodermal commitment pathway,M110,2,0
1,1,0,-6.4,-2.4,0,GO:0071559,response to transforming growth factor beta,M110,2,0
1,1,0,-4.1,-2.7,0,GO:0071356,cellular response to tumor necrosis factor,M110,2,0
1,1,0,-3.2,-2.6,0,GO:0001678,intracellular glucose homeostasis,M110,2,0
1,0,1,-2,0,-3.5,GO:0061515,myeloid cell development,M101,2,0
1,1,0,-6.3,-4.1,0,R-HSA-449147,Signaling by Interleukins,M110,2,0
1,1,0,-5.4,-2.5,0,WP4630,Measles virus infection,M110,2,0
1,1,0,-2.2,-2.2,0,WP69,T cell receptor signaling pathway,M110,2,0
1,1,0,-2.8,-3.6,0,GO:0001890,placenta development,M110,2,0
1,1,0,-4.6,-3.1,0,GO:0048839,inner ear development,M110,2,0
1,1,0,-2.9,-4.5,0,WP1591,Heart development,M110,2,0
1,1,0,-3.9,-2.8,0,R-HSA-2990846,SUMOylation,M110,2,0
1,1,0,-5.7,-2.3,0,GO:0051249,regulation of lymphocyte activation,M110,2,0
1,1,0,-2.9,-4.8,0,GO:1902107,positive regulation of leukocyte differentiation,M110,2,0
1,1,0,-2.6,-4.3,0,GO:0045582,positive regulation of T cell differentiation,M110,2,0
1,1,0,-2.1,-3,0,GO:0098727,maintenance of cell number,M110,2,0
1,1,0,-5.6,-3.9,0,GO:0043010,camera-type eye development,M110,2,0
1,1,0,-2.3,-2.9,0,WP4239,Epithelial to mesenchymal transition in colorectal cancer,M110,2,0
1,1,0,-4.4,-3.3,0,R-HSA-525793,Myogenesis,M110,2,0
1,1,0,-7.1,-2.5,0,WP4659,Gastrin signaling pathway,M110,2,0
1,1,0,-3.5,-5.8,0,GO:0002009,morphogenesis of an epithelium,M110,2,0
1,1,0,-3.5,-7.8,0,GO:0048729,tissue morphogenesis,M110,2,0
1,1,0,-6.3,-4.3,0,GO:2000630,positive regulation of miRNA metabolic process,M110,2,0
1,1,0,-2.9,-2.4,0,GO:0010506,regulation of autophagy,M110,2,0
1,1,0,-2.1,-3.5,0,GO:0001947,heart looping,M110,2,0
1,1,0,-2.5,-2.2,0,hsa05224,Breast cancer,M110,2,0
1,0,1,-3.4,0,-2.7,GO:0072091,regulation of stem cell proliferation,M101,2,0
1,1,0,-4.7,-4.3,0,GO:0090596,sensory organ morphogenesis,M110,2,0
1,1,0,-3.6,-3.5,0,GO:0030851,granulocyte differentiation,M110,2,0
1,1,0,-2.8,-3,0,GO:0031667,response to nutrient levels,M110,2,0
1,1,0,-3.7,-2.6,0,R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,M110,2,0
1,1,0,-2.3,-2.7,0,WP5083,Neuroinflammation and glutamatergic signaling,M110,2,0
1,1,0,-5.8,-2.7,0,R-HSA-9006931,Signaling by Nuclear Receptors,M110,2,0
1,1,0,-3,-2.5,0,M229,PID P38 ALPHA BETA DOWNSTREAM PATHWAY,M110,2,0
1,1,0,-5.3,-2.4,0,WP1541,Energy metabolism,M110,2,0
1,1,0,-2.8,-2.1,0,GO:0046631,alpha-beta T cell activation,M110,2,0
1,1,0,-7,-2.7,0,hsa05200,Pathways in cancer,M110,2,0
1,1,0,-5.7,-2.4,0,GO:0071417,cellular response to organonitrogen compound,M110,2,0
1,1,0,-7,-4.8,0,WP2374,Oncostatin M signaling pathway,M110,2,0
1,1,0,-4.3,-3.5,0,M60,PID NFAT TFPATHWAY,M110,2,0
1,1,0,-3.6,-4.6,0,GO:0042472,inner ear morphogenesis,M110,2,0
1,1,0,-2.8,-5.4,0,GO:0060562,epithelial tube morphogenesis,M110,2,0
1,1,0,-2.1,-2.6,0,GO:1902075,cellular response to salt,M110,2,0
1,1,0,-3.5,-2.7,0,R-HSA-166166,MyD88-independent TLR4 cascade,M110,2,0
1,1,0,-3.6,-2.7,0,R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,M110,2,0
1,1,0,-4.9,-2.3,0,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M110,2,0
1,1,0,-2.7,-2.7,0,GO:0032350,regulation of hormone metabolic process,M110,2,0
1,1,0,-2.7,-2,0,GO:0048565,digestive tract development,M110,2,0
1,0,1,-5.1,0,-4.6,GO:0072089,stem cell proliferation,M101,2,0
1,1,0,-2.4,-4.9,0,GO:0007517,muscle organ development,M110,2,0
1,1,0,-2.3,-2.2,0,R-HSA-9758941,Gastrulation,M110,2,0
1,1,0,-2.8,-2.5,0,GO:0021543,pallium development,M110,2,0
1,1,0,-2.7,-3.2,0,WP4341,Non genomic actions of 1 25 dihydroxyvitamin D3,M110,2,0
1,1,0,-2.8,-3,0,GO:0030856,regulation of epithelial cell differentiation,M110,2,0
1,1,0,-2.2,-3.2,0,GO:0003143,embryonic heart tube morphogenesis,M110,2,0
1,1,0,-6.3,-2.1,0,hsa05221,Acute myeloid leukemia,M110,2,0
1,0,1,-3.3,0,-3.5,GO:0045646,regulation of erythrocyte differentiation,M101,2,0
1,1,0,-7.9,-3.9,0,WP4666,Hepatitis B infection,M110,2,0
1,1,0,-2.9,-3,0,WP3527,Pre implantation embryo,M110,2,0
1,1,0,-5.1,-3.5,0,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,M110,2,0
1,1,0,-3.5,-3.9,0,GO:0048048,embryonic eye morphogenesis,M110,2,0
1,1,0,-2.8,-4.2,0,GO:0042471,ear morphogenesis,M110,2,0
1,1,0,-5.8,-4.9,0,hsa04380,Osteoclast differentiation,M110,2,0
1,1,0,-2.1,-2.1,0,WP4657,22q11 2 copy number variation syndrome,M110,2,0
1,1,0,-7.1,-2.5,0,GO:0007420,brain development,M110,2,0
1,1,0,-3.6,-2.4,0,GO:0030101,natural killer cell activation,M110,2,0
1,1,0,-3.6,-3.8,0,M115,PID REG GR PATHWAY,M110,2,0
1,1,0,-2.6,-2.8,0,GO:0009991,response to extracellular stimulus,M110,2,0
1,1,0,-2.9,-2.7,0,GO:0060972,left/right pattern formation,M110,2,0
1,1,0,-2.4,-3.9,0,GO:0001829,trophectodermal cell differentiation,M110,2,0
1,1,0,-3.7,-2.1,0,GO:0002761,regulation of myeloid leukocyte differentiation,M110,2,0
1,1,0,-2.1,-4.6,0,GO:0048596,embryonic camera-type eye morphogenesis,M110,2,0
1,1,0,-6.1,-3.3,0,R-HSA-9031628,NGF-stimulated transcription,M110,2,0
1,1,0,-2.9,-2.4,0,GO:0048545,response to steroid hormone,M110,2,0
1,1,0,-6.8,-3.6,0,R-HSA-187037,Signaling by NTRK1 (TRKA),M110,2,0
1,1,0,-5.8,-4,0,GO:0048880,sensory system development,M110,2,0
1,1,0,-4.7,-5.4,0,GO:0007389,pattern specification process,M110,2,0
1,1,0,-3.7,-2.8,0,GO:0043583,ear development,M110,2,0
1,1,0,-8.9,-4.2,0,M2,PID SMAD2 3NUCLEAR PATHWAY,M110,2,0
1,1,0,-7,-5.1,0,hsa04659,Th17 cell differentiation,M110,2,0
1,1,0,-4.1,-3.1,0,GO:0050863,regulation of T cell activation,M110,2,0
1,1,0,-7.8,-4.1,0,WP236,Adipogenesis,M110,2,0
1,1,0,-3.8,-2.6,0,R-HSA-975155,MyD88 dependent cascade initiated on endosome,M110,2,0
1,1,0,-5.4,-2.4,0,GO:0071560,cellular response to transforming growth factor beta stimulus,M110,2,0
1,1,0,-4.7,-2.9,0,WP2380,Brain derived neurotrophic factor BDNF signaling pathway,M110,2,0
1,1,0,-2.9,-3.3,0,WP5373,Role of hypoxia angiogenesis and FGF pathway in OA chondrocyte hypertrophy,M110,2,0
1,1,0,-3.6,-2.5,0,WP481,Insulin signaling,M110,2,0
1,1,0,-9,-4.4,0,GO:0071345,cellular response to cytokine stimulus,M110,2,0
1,1,0,-5.1,-2.2,0,hsa04218,Cellular senescence,M110,2,0
1,0,0,-2.5,0,0,GO:0120127,response to zinc ion starvation,M100,1,0
1,0,0,-3.4,0,0,GO:0032754,positive regulation of interleukin-5 production,M100,1,0
1,0,0,-3,0,0,GO:0021892,cerebral cortex GABAergic interneuron differentiation,M100,1,0
1,0,0,-2.6,0,0,WP53,ID signaling pathway,M100,1,0
1,0,0,-5,0,0,GO:0008285,negative regulation of cell population proliferation,M100,1,0
0,1,0,0,-5.2,0,GO:0048754,branching morphogenesis of an epithelial tube,M010,1,0
1,0,0,-2.9,0,0,M290,PID IL12 STAT4 PATHWAY,M100,1,0
1,0,0,-2.1,0,0,WP3640,Imatinib and chronic myeloid leukemia,M100,1,0
1,0,0,-4.5,0,0,WP170,Nuclear receptors,M100,1,0
1,0,0,-2.4,0,0,M113,PID NFAT 3PATHWAY,M100,1,0
1,0,0,-2.1,0,0,M196,PID IL23 PATHWAY,M100,1,0
1,0,0,-3,0,0,R-HSA-450294,MAP kinase activation,M100,1,0
1,0,0,-2.3,0,0,WP2203,Thymic stromal lymphopoietin TSLP signaling pathway,M100,1,0
1,0,0,-3.9,0,0,M175,PID ERBB2 ERBB3 PATHWAY,M100,1,0
1,0,0,-4.4,0,0,R-HSA-2871796,FCERI mediated MAPK activation,M100,1,0
1,0,0,-2.3,0,0,GO:0045773,positive regulation of axon extension,M100,1,0
1,0,0,-2.2,0,0,GO:0021537,telencephalon development,M100,1,0
1,0,0,-2.9,0,0,hsa04390,Hippo signaling pathway,M100,1,0
1,0,0,-2.2,0,0,GO:0002833,positive regulation of response to biotic stimulus,M100,1,0
1,0,0,-2.3,0,0,R-HSA-74158,RNA Polymerase III Transcription,M100,1,0
1,0,0,-3.6,0,0,GO:0010662,regulation of striated muscle cell apoptotic process,M100,1,0
1,0,0,-2.5,0,0,GO:0051250,negative regulation of lymphocyte activation,M100,1,0
1,0,0,-2.3,0,0,M71,PID ILK PATHWAY,M100,1,0
1,0,0,-2.4,0,0,R-HSA-9824443,Parasitic Infection Pathways,M100,1,0
1,0,0,-2.4,0,0,WP3630,NAD metabolism sirtuins and aging,M100,1,0
1,0,0,-2.3,0,0,GO:0014896,muscle hypertrophy,M100,1,0
0,1,0,0,-2.9,0,WP4830,GDNF RET signaling axis,M010,1,0
1,0,0,-2.6,0,0,R-HSA-1839117,Signaling by cytosolic FGFR1 fusion mutants,M100,1,0
1,0,0,-3.4,0,0,GO:0010464,regulation of mesenchymal cell proliferation,M100,1,0
1,0,0,-4.2,0,0,hsa04666,Fc gamma R-mediated phagocytosis,M100,1,0
1,0,0,-3,0,0,GO:0048617,embryonic foregut morphogenesis,M100,1,0
1,0,0,-4,0,0,R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,M100,1,0
1,0,0,-2.3,0,0,GO:0010665,regulation of cardiac muscle cell apoptotic process,M100,1,0
1,0,0,-2.1,0,0,GO:0097152,mesenchymal cell apoptotic process,M100,1,0
1,0,0,-2.4,0,0,GO:1904672,regulation of somatic stem cell population maintenance,M100,1,0
1,0,0,-6,0,0,GO:0009755,hormone-mediated signaling pathway,M100,1,0
0,1,0,0,-2.2,0,GO:0060840,artery development,M010,1,0
1,0,0,-2.1,0,0,R-HSA-9671555,Signaling by PDGFR in disease,M100,1,0
1,0,0,-2.1,0,0,GO:0060669,embryonic placenta morphogenesis,M100,1,0
1,0,0,-2.4,0,0,hsa04622,RIG-I-like receptor signaling pathway,M100,1,0
1,0,0,-5.4,0,0,WP2526,PDGF pathway,M100,1,0
1,0,0,-2.2,0,0,GO:0001764,neuron migration,M100,1,0
1,0,0,-3.5,0,0,hsa05226,Gastric cancer,M100,1,0
1,0,0,-2.1,0,0,GO:0034139,regulation of toll-like receptor 3 signaling pathway,M100,1,0
1,0,0,-3.2,0,0,GO:0045686,negative regulation of glial cell differentiation,M100,1,0
1,0,0,-2.3,0,0,GO:0021872,forebrain generation of neurons,M100,1,0
1,0,0,-2.5,0,0,GO:0021546,rhombomere development,M100,1,0
0,1,0,0,-2.6,0,GO:0050870,positive regulation of T cell activation,M010,1,0
1,0,0,-2.6,0,0,WP49,IL 2 signaling pathway,M100,1,0
1,0,0,-3.4,0,0,WP1992,Genes targeted by miRNAs in adipocytes,M100,1,0
1,0,0,-2.9,0,0,GO:0048483,autonomic nervous system development,M100,1,0
1,0,0,-6.7,0,0,GO:0010001,glial cell differentiation,M100,1,0
1,0,0,-2.2,0,0,GO:0033077,T cell differentiation in thymus,M100,1,0
0,1,0,0,-4,0,GO:0048332,mesoderm morphogenesis,M010,1,0
0,1,0,0,-2.2,0,WP4331,Neovascularisation processes,M010,1,0
1,0,0,-2.2,0,0,R-HSA-5607764,CLEC7A (Dectin-1) signaling,M100,1,0
1,0,0,-3.8,0,0,WP1991,SRF and miRs in smooth muscle differentiation and proliferation,M100,1,0
1,0,0,-2.1,0,0,GO:0035265,organ growth,M100,1,0
