_MEMBER_M19050.Micro,_MEMBER_M19050.OPC,_MEMBER_M19050.Oligo,_MEMBER_M59593.Micro,_MEMBER_M59593.OPC,_MEMBER_M59593.Oligo,_MEMBER_att_D_AD_1,_MEMBER_att_D_AD_2,_MEMBER_att_D_SCZ_1,_MEMBER_att_D_SCZ_2,_MEMBER_att_D_no_prior_0,_MEMBER_att_D_no_prior_1,_MEMBER_att_D_no_prior_2,_MEMBER_att_D_no_prior_3,_LogP_M19050.Micro,_LogP_M19050.OPC,_LogP_M19050.Oligo,_LogP_M59593.Micro,_LogP_M59593.OPC,_LogP_M59593.Oligo,_LogP_att_D_AD_1,_LogP_att_D_AD_2,_LogP_att_D_SCZ_1,_LogP_att_D_SCZ_2,_LogP_att_D_no_prior_0,_LogP_att_D_no_prior_1,_LogP_att_D_no_prior_2,_LogP_att_D_no_prior_3,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,0,0,0,1,1,1,1,0,1,1,1,1,-6.9,0,0,0,0,-3.1,-5.8,-4.5,-3.1,0,-16,-6.6,-14,-7.3,C0042373,M10000111101111,9,0,DisGeNET,35,Vascular Diseases,,-16,5.5,12,30304,688,298,37,12,1.9,604|953|1462|1520|1535|1634|2022|2122|2180|2313|2353|2355|3091|3123|3315|3570|3572|3689|3718|4088|4780|4973|5074|5293|6646|6886|7114|7132|7133|7402|7852|10019|10135|22846|25939|56034|64805,BCL6|ENTPD1|VCAN|CTSS|CYBA|DCN|ENG|MECOM|ACSL1|FLI1|FOS|FOSL2|HIF1A|HLA-DRB1|HSPB1|IL6R|IL6ST|ITGB2|JAK3|SMAD3|NFE2L2|OLR1|PAWR|PIK3CD|SOAT1|TAL1|TMSB4X|TNFRSF1A|TNFRSF1B|UTRN|CXCR4|SH2B3|NAMPT|VASH1|SAMHD1|PDGFC|P2RY12,-14,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6.6,-2.1,-3,-3.3,-2,-7,-11,-4.1,-7.7,-4.9,-16,-15,-14,-7,C0023487,M11111111111111,14,0,DisGeNET,35,Acute Promyelocytic Leukemia,,-16,5.6,12,30304,651,298,36,12,1.9,113|604|861|960|2078|2120|2122|2162|2308|2353|3091|3123|3394|3687|3689|4005|4780|5175|5293|5552|5742|6352|6506|6646|6672|7037|7409|7852|8202|8832|27436|51176|53335|64778|64859|84106,ADCY7|BCL6|RUNX1|CD44|ERG|ETV6|MECOM|F13A1|FOXO1|FOS|HIF1A|HLA-DRB1|IRF8|ITGAX|ITGB2|LMO2|NFE2L2|PECAM1|PIK3CD|SRGN|PTGS1|CCL5|SLC1A2|SOAT1|SP100|TFRC|VAV1|CXCR4|NCOA3|CD84|EML4|LEF1|BCL11A|FNDC3B|NABP1|PRAM1,-14,0
1,0,0,1,0,1,1,1,1,1,1,1,1,1,-11,0,0,-2.4,0,-4,-6.5,-7.9,-7.7,-6.4,-16,-9.7,-12,-11,C1292769,M10010111111111,11,0,DisGeNET,35,Precursor B-cell lymphoblastic leukemia,,-16,6.6,12,30304,478,298,31,10,1.8,604|861|919|942|960|2120|2122|2261|3091|3490|3635|3689|3718|3937|4005|4088|4855|5156|5293|5452|6646|7037|7132|7805|10019|10135|10320|51176|53335|81704|401237,BCL6|RUNX1|CD247|CD86|CD44|ETV6|MECOM|FGFR3|HIF1A|IGFBP7|INPP5D|ITGB2|JAK3|LCP2|LMO2|SMAD3|NOTCH4|PDGFRA|PIK3CD|POU2F2|SOAT1|TFRC|TNFRSF1A|LAPTM5|SH2B3|NAMPT|IKZF1|LEF1|BCL11A|DOCK8|CASC15,-14,0
1,0,0,0,0,1,1,1,1,1,1,1,1,1,-13,0,0,0,0,-6.3,-7.6,-6.5,-3.8,-7.6,-16,-5.9,-14,-11,C0021053,M10000111111111,10,0,DisGeNET,35,Immune System Diseases,,-16,6.8,12,30304,451,298,30,10,1.7,861|919|953|972|2113|2120|2261|2313|2353|2697|3091|3123|3394|3689|3718|4780|5175|5293|5336|5341|5966|6352|6646|7852|10019|22925|51284|57217|79651|81704,RUNX1|CD247|ENTPD1|CD74|ETS1|ETV6|FGFR3|FLI1|FOS|GJA1|HIF1A|HLA-DRB1|IRF8|ITGB2|JAK3|NFE2L2|PECAM1|PIK3CD|PLCG2|PLEK|REL|CCL5|SOAT1|CXCR4|SH2B3|PLA2R1|TLR7|TTC7A|RHBDF2|DOCK8,-14,0
1,0,0,0,0,1,1,1,1,1,1,1,1,1,-15,0,0,0,0,-11,-7.9,-12,-7.6,-5.5,-9.8,-11,-9.4,-11,C3714514,M10000111111111,10,0,DisGeNET,35,Infection,,-15,6.9,12,30304,491,259,29,11,2,348|834|920|945|958|1230|1524|2022|2214|3119|3162|3329|3428|3603|3665|4261|4775|5327|5742|6556|6688|6696|6778|6850|7100|10170|11262|57817|139716,APOE|CASP1|CD4|CD33|CD40|CCR1|CX3CR1|ENG|FCGR3A|HLA-DQB1|HMOX1|HSPD1|IFI16|IL16|IRF7|CIITA|NFATC3|PLAT|PTGS1|SLC11A1|SPI1|SPP1|STAT6|SYK|TLR5|DHRS9|SP140|HAMP|GAB3,-13,0
1,0,0,1,0,1,1,1,1,1,1,1,1,1,-15,0,0,-2.5,0,-7.8,-4.5,-8.2,-8,-5.8,-11,-12,-10,-9.4,C0017661,M10010111111111,11,0,DisGeNET,35,IGA Glomerulonephritis,,-15,7.2,12,30304,456,259,28,11,1.9,348|571|712|713|718|728|834|1524|2214|3119|3162|3603|3663|3684|3687|4851|5293|6696|6750|6778|6850|7454|7805|9332|10184|10461|64170|64759,APOE|BACH1|C1QA|C1QB|C3|C5AR1|CASP1|CX3CR1|FCGR3A|HLA-DQB1|HMOX1|IL16|IRF5|ITGAM|ITGAX|NOTCH1|PIK3CD|SPP1|SST|STAT6|SYK|WAS|LAPTM5|CD163|LHFPL2|MERTK|CARD9|TNS3,-13,0
1,1,0,0,0,1,1,1,1,1,1,1,1,1,-6,-2.4,0,0,0,-5.3,-4.3,-3.3,-3.6,-3.4,-15,-9.7,-8.8,-7.4,C0024301,M11000111111111,11,0,DisGeNET,35,"Lymphoma, Follicular",,-15,6.4,12,30304,477,298,30,10,1.7,604|639|712|896|919|953|960|2113|2308|3123|3394|3687|3937|4005|4155|4616|5156|5293|5452|5966|6352|6886|7852|9332|10135|27436|51176|53335|64895|89857,BCL6|PRDM1|C1QA|CCND3|CD247|ENTPD1|CD44|ETS1|FOXO1|HLA-DRB1|IRF8|ITGAX|LCP2|LMO2|MBP|GADD45B|PDGFRA|PIK3CD|POU2F2|REL|CCL5|TAL1|CXCR4|CD163|NAMPT|EML4|LEF1|BCL11A|PAPOLG|KLHL6,-13,0
1,1,0,1,0,1,1,1,1,1,1,1,1,1,-6.4,-3.1,0,-3.7,0,-8,-10,-7.1,-8.6,-9.9,-15,-12,-13,-12,C0006413,M11010111111111,12,0,DisGeNET,35,Burkitt Lymphoma,,-15,5.9,12,30304,556,298,32,11,1.8,604|639|678|861|896|953|960|965|2113|2120|2308|2313|3091|3399|3689|4005|4773|5156|5293|5336|5452|5580|6303|6646|7037|7409|7852|10301|10320|51176|83439|118788,BCL6|PRDM1|ZFP36L2|RUNX1|CCND3|ENTPD1|CD44|CD58|ETS1|ETV6|FOXO1|FLI1|HIF1A|ID3|ITGB2|LMO2|NFATC2|PDGFRA|PIK3CD|PLCG2|POU2F2|PRKCD|SAT1|SOAT1|TFRC|VAV1|CXCR4|DLEU1|IKZF1|LEF1|TCF7L1|PIK3AP1,-13,0
1,1,0,1,0,1,1,1,1,1,1,1,1,1,-11,-3.8,0,-5.5,0,-5.3,-12,-7.8,-12,-11,-14,-14,-15,-15,C0023448,M11010111111111,12,0,DisGeNET,35,Lymphoid leukemia,,-15,11,14,30304,288,184,20,11,2.3,677|843|861|965|1441|2022|2078|2113|2120|2122|2885|3676|3684|4067|5788|6886|10320|29760|81704|92241,ZFP36L1|CASP10|RUNX1|CD58|CSF3R|ENG|ERG|ETS1|ETV6|MECOM|GRB2|ITGA4|ITGAM|LYN|PTPRC|TAL1|IKZF1|BLNK|DOCK8|RCSD1,-13,0
1,0,0,0,0,1,1,1,1,1,1,1,1,1,-10,0,0,0,0,-3.9,-6.5,-6.1,-3.4,-5.4,-15,-7.9,-9.9,-7.4,C0036202,M10000111111111,10,0,DisGeNET,35,Sarcoidosis,,-15,6.9,12,30304,413,298,28,9.4,1.7,942|1278|1524|2078|2162|2353|3091|3122|3123|3687|4088|4360|4855|5293|6239|6303|6352|6556|6646|7132|7133|7852|7903|8202|9332|23765|51284|81793,CD86|COL1A2|CX3CR1|ERG|F13A1|FOS|HIF1A|HLA-DRA|HLA-DRB1|ITGAX|SMAD3|MRC1|NOTCH4|PIK3CD|RREB1|SAT1|CCL5|SLC11A1|SOAT1|TNFRSF1A|TNFRSF1B|CXCR4|ST8SIA4|NCOA3|CD163|IL17RA|TLR7|TLR10,-13,0
1,0,0,1,1,1,1,1,1,1,1,1,1,1,-8.9,0,0,-2.5,-2.6,-10,-8.7,-13,-7.4,-6.1,-14,-9.2,-11,-15,C0023508,M10011111111111,12,0,DisGeNET,35,White Blood Cell Count procedure,,-15,6.8,12,30304,681,184,28,15,2.6,861|864|896|1441|1524|2078|2113|3106|3676|4067|5336|5757|5788|6239|6886|7903|8832|22898|25816|55843|64123|64759|81619|81704|92241|137196|285513|100505566,RUNX1|RUNX3|CCND3|CSF3R|CX3CR1|ERG|ETS1|HLA-B|ITGA4|LYN|PLCG2|PTMA|PTPRC|RREB1|TAL1|ST8SIA4|CD84|DENND3|TNFAIP8|ARHGAP15|ADGRL4|TNS3|TSPAN14|DOCK8|RCSD1|CCDC26|GPRIN3|LINC00578,-13,0
1,1,0,0,1,1,1,1,1,1,1,1,1,1,-6.7,-3.2,0,0,-2,-4.4,-6.9,-4.1,-6.9,-8,-15,-14,-13,-10,C1961099,M11001111111111,12,0,DisGeNET,35,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,,-15,5.4,11,30304,644,298,34,11,1.8,604|677|678|861|896|919|960|2078|2113|2114|2120|2122|2353|3091|3490|3635|3718|4005|4088|4780|5074|5156|5293|6506|6646|6886|6935|7037|7402|7409|7852|9935|10320|51176,BCL6|ZFP36L1|ZFP36L2|RUNX1|CCND3|CD247|CD44|ERG|ETS1|ETS2|ETV6|MECOM|FOS|HIF1A|IGFBP7|INPP5D|JAK3|LMO2|SMAD3|NFE2L2|PAWR|PDGFRA|PIK3CD|SLC1A2|SOAT1|TAL1|ZEB1|TFRC|UTRN|VAV1|CXCR4|MAFB|IKZF1|LEF1,-13,0
1,0,0,0,0,1,1,1,1,1,1,1,1,1,-4.8,0,0,0,0,-3.9,-4.9,-2.4,-5.7,-3.1,-7.5,-14,-9.9,-5,C0016057,M10000111111111,10,0,DisGeNET,35,Fibrosarcoma,,-14,6.6,12,30304,413,311,28,9,1.6,182|306|639|948|960|1523|2120|2152|2313|2321|2353|3684|3725|3726|3727|4254|5155|5159|5293|6857|7133|9402|9590|9935|10135|10611|80216|340419,JAG1|ANXA3|PRDM1|CD36|CD44|CUX1|ETV6|F3|FLI1|FLT1|FOS|ITGAM|JUN|JUNB|JUND|KITLG|PDGFB|PDGFRB|PIK3CD|SYT1|TNFRSF1B|GRAP2|AKAP12|MAFB|NAMPT|PDLIM5|ALPK1|RSPO2,-12,0
1,1,0,1,0,1,1,1,1,1,1,1,1,1,-3.9,-3.7,0,-2,0,-4.2,-6,-4,-6,-4.9,-8.7,-14,-11,-8.7,C0023470,M11010111111111,12,0,DisGeNET,35,Myeloid Leukemia,,-14,6.8,12,30304,385,311,27,8.7,1.6,182|238|861|1523|2078|2120|2122|2321|2353|2624|3394|3684|3725|3726|3727|4739|5087|5293|5396|7133|8837|9402|10874|51176|53335|63976|84106,JAG1|ALK|RUNX1|CUX1|ERG|ETV6|MECOM|FLT1|FOS|GATA2|IRF8|ITGAM|JUN|JUNB|JUND|NEDD9|PBX1|PIK3CD|PRRX1|TNFRSF1B|CFLAR|GRAP2|NMU|LEF1|BCL11A|PRDM16|PRAM1,-12,0
1,1,0,0,0,1,1,1,1,1,1,1,1,1,-14,-3.6,0,0,0,-4.8,-5.2,-2.8,-5.8,-5.4,-13,-7.9,-11,-8.1,C0031099,M11000111111111,11,0,DisGeNET,35,Periodontitis,,-14,5.5,11,30304,680,259,32,12,2,348|712|718|834|860|958|1230|1436|2214|2876|3162|3329|3572|3603|3635|3663|3684|5025|5293|5360|6452|6750|6850|7903|8829|9306|9332|10763|54209|55332|60468|197259,APOE|C1QA|C3|CASP1|RUNX2|CD40|CCR1|CSF1R|FCGR3A|GPX1|HMOX1|HSPD1|IL6ST|IL16|INPP5D|IRF5|ITGAM|P2RX4|PIK3CD|PLTP|SH3BP2|SST|SYK|ST8SIA4|NRP1|SOCS6|CD163|NES|TREM2|DRAM1|BACH2|MLKL,-12,0
1,0,0,1,0,1,1,1,1,1,1,1,1,1,-11,0,0,-2,0,-4.8,-5.9,-7.2,-8.8,-7.4,-10,-12,-14,-11,C0017658,M10010111111111,11,0,DisGeNET,35,Glomerulonephritis,,-14,7.8,12,30304,391,237,24,10,2,861|972|1524|2120|2313|2353|3123|3689|3725|3726|4478|5580|6850|7037|7048|7052|7133|7316|7852|9332|10320|22806|23765|93986,RUNX1|CD74|CX3CR1|ETV6|FLI1|FOS|HLA-DRB1|ITGB2|JUN|JUNB|MSN|PRKCD|SYK|TFRC|TGFBR2|TGM2|TNFRSF1B|UBC|CXCR4|CD163|IKZF1|IKZF3|IL17RA|FOXP2,-12,0
1,0,0,0,0,1,1,1,1,1,1,1,1,1,-12,0,0,0,0,-4.1,-6.5,-9.8,-12,-5.9,-7.2,-8.8,-11,-14,C0004623,M10000111111111,10,0,DisGeNET,35,Bacterial Infections,,-14,7,12,30304,616,184,26,14,2.6,864|942|965|1794|3091|3106|3394|3459|3606|3684|3689|3718|4988|5272|5321|5757|5788|7046|7048|8140|9402|11213|55647|64581|81704|83666,RUNX3|CD86|CD58|DOCK2|HIF1A|HLA-B|IRF8|IFNGR1|IL18|ITGAM|ITGB2|JAK3|OPRM1|SERPINB9|PLA2G4A|PTMA|PTPRC|TGFBR1|TGFBR2|SLC7A5|GRAP2|IRAK3|RAB20|CLEC7A|DOCK8|PARP9,-12,0
1,0,1,0,0,1,1,1,1,1,1,1,1,1,-5.3,0,-3,0,0,-3.9,-5.6,-5.4,-7.6,-4.7,-14,-9.5,-14,-8.9,C0079772,M10100111111111,11,0,DisGeNET,35,T-Cell Lymphoma,,-14,6.1,11,30304,485,298,29,9.7,1.7,604|639|864|896|919|960|1535|2120|2261|3091|3399|3718|4094|4360|4780|4988|5156|5293|5580|5966|6646|6886|6935|7037|7409|7852|23533|51176|51284,BCL6|PRDM1|RUNX3|CCND3|CD247|CD44|CYBA|ETV6|FGFR3|HIF1A|ID3|JAK3|MAF|MRC1|NFE2L2|OPRM1|PDGFRA|PIK3CD|PRKCD|REL|SOAT1|TAL1|ZEB1|TFRC|VAV1|CXCR4|PIK3R5|LEF1|TLR7,-12,0
1,0,1,0,0,1,1,1,1,1,1,1,1,1,-14,0,-2.2,0,0,-3.5,-6.4,-5.1,-4.3,-6.8,-12,-9,-11,-6.5,C3714636,M10100111111111,11,0,DisGeNET,35,Pneumonitis,,-14,5.4,11,30304,696,259,32,12,2,348|728|834|861|953|958|1230|2214|2876|3162|3303|3572|3603|3687|3965|4360|4773|4775|4814|4851|5293|5724|5742|6696|6750|7538|11006|11213|64805|83666|84433|197259,APOE|C5AR1|CASP1|RUNX1|ENTPD1|CD40|CCR1|FCGR3A|GPX1|HMOX1|HSPA1A|IL6ST|IL16|ITGAX|LGALS9|MRC1|NFATC2|NFATC3|NINJ1|NOTCH1|PIK3CD|PTAFR|PTGS1|SPP1|SST|ZFP36|LILRB4|IRAK3|P2RY12|PARP9|CARD11|MLKL,-12,0
1,0,0,0,1,1,1,1,1,1,1,1,1,1,-6.2,0,0,0,-2.6,-3.5,-5.9,-5.6,-7,-4.9,-9.6,-5.8,-13,-8.4,C0010823,M10001111111111,11,0,DisGeNET,35,Cytomegalovirus Infections,,-13,6.9,11,30304,462,237,25,11,2,953|965|1436|1524|2353|3123|3394|3687|3689|3725|3726|4645|4780|5580|6556|6672|6721|6850|6886|7132|7852|9402|10859|25939|57136,ENTPD1|CD58|CSF1R|CX3CR1|FOS|HLA-DRB1|IRF8|ITGAX|ITGB2|JUN|JUNB|MYO5B|NFE2L2|PRKCD|SLC11A1|SP100|SREBF2|SYK|TAL1|TNFRSF1A|CXCR4|GRAP2|LILRB1|SAMHD1|APMAP,-11,0
1,1,0,0,0,0,1,1,1,0,1,1,1,1,-5,-6.6,0,0,0,0,-5,-3,-4.7,0,-13,-8.6,-8.9,-7.1,C0025286,M11000011101111,9,0,DisGeNET,35,Meningioma,,-13,5.1,10,30304,634,298,32,11,1.8,358|604|864|960|1278|1462|1508|1524|2022|2113|2120|2162|2261|2353|2697|3091|3123|3490|3718|4780|5156|5293|5580|5742|6646|6663|6672|6935|6938|7852|9332|79651,AQP1|BCL6|RUNX3|CD44|COL1A2|VCAN|CTSB|CX3CR1|ENG|ETS1|ETV6|F13A1|FGFR3|FOS|GJA1|HIF1A|HLA-DRB1|IGFBP7|JAK3|NFE2L2|PDGFRA|PIK3CD|PRKCD|PTGS1|SOAT1|SOX10|SP100|ZEB1|TCF12|CXCR4|CD163|RHBDF2,-11,0
1,0,0,0,0,1,1,0,1,1,1,1,1,1,-5.2,0,0,0,0,-3.5,-4.5,0,-5.2,-2.6,-6.5,-13,-8.7,-4.6,C0278595,M10000110111111,9,0,DisGeNET,35,Adult Fibrosarcoma,,-13,6.5,11,30304,387,311,26,8.4,1.6,182|306|639|948|960|1523|2152|2313|2321|2353|3684|3725|3726|3727|5155|5159|5293|6857|7133|9402|9590|9935|10135|10611|80216|340419,JAG1|ANXA3|PRDM1|CD36|CD44|CUX1|F3|FLI1|FLT1|FOS|ITGAM|JUN|JUNB|JUND|PDGFB|PDGFRB|PIK3CD|SYT1|TNFRSF1B|GRAP2|AKAP12|MAFB|NAMPT|PDLIM5|ALPK1|RSPO2,-11,0
