_MEMBER_AD.Micro,_MEMBER_AD.OPC,_MEMBER_AD.Oligo,_MEMBER_Control.Micro,_MEMBER_Control.Oligo,_LogP_AD.Micro,_LogP_AD.OPC,_LogP_AD.Oligo,_LogP_Control.Micro,_LogP_Control.Oligo,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,0,1,1,0,0,0,-11,-7.9,0,C1332201,M00110,2,0,DisGeNET,35,Adult Diffuse Large B-Cell Lymphoma,,-11,5.5,9.7,30304,504,274,25,9.1,1.7,965|1436|1794|2120|2313|3394|3587|3709|4261|4780|5336|5452|5788|5966|6546|6696|6774|6850|7133|7182|7409|54625|64805|81704|83666,CD58|CSF1R|DOCK2|ETV6|FLI1|IRF8|IL10RA|ITPR2|CIITA|NFE2L2|PLCG2|POU2F2|PTPRC|REL|SLC8A1|SPP1|STAT3|SYK|TNFRSF1B|NR2C2|VAV1|PARP14|P2RY12|DOCK8|PARP9,-8.7,0
0,0,1,0,0,0,0,-11,0,0,C0200641,M00100,1,0,DisGeNET,35,Blood basophil count (lab test),,-11,7.7,11,30304,272,274,19,6.9,1.5,467|1902|2313|3394|3566|3635|4773|5596|5788|6239|6319|9586|10019|54518|55636|64759|79895|81704|137196,ATF3|LPAR1|FLI1|IRF8|IL4R|INPP5D|NFATC2|MAPK4|PTPRC|RREB1|SCD|CREB5|SH2B3|APBB1IP|CHD7|TNS3|ATP8B4|DOCK8|CCDC26,-8.6,0
0,0,1,1,0,0,0,-11,-3.4,0,C1868683,M00110,2,0,DisGeNET,35,"B-CELL MALIGNANCY, LOW-GRADE",,-11,6.6,10,30304,350,274,21,7.7,1.6,942|963|972|1326|2353|3059|3071|3606|3687|3689|4780|5452|5925|6850|7046|7097|7133|7409|10301|50515|83478,CD86|CD53|CD74|MAP3K8|FOS|HCLS1|NCKAP1L|IL18|ITGAX|ITGB2|NFE2L2|POU2F2|RB1|SYK|TGFBR1|TLR2|TNFRSF1B|VAV1|DLEU1|CHST11|ARHGAP24,-8.5,0
1,0,1,1,0,-2.3,0,-11,-6.9,0,C0017658,M10110,3,0,DisGeNET,35,Glomerulonephritis,,-11,6.2,9.9,30304,391,274,22,8,1.6,240|558|718|972|1524|2120|2313|2353|3059|3606|3684|3689|6696|6774|6850|6916|7048|7096|7100|7133|56034|93986,ALOX5|AXL|C3|CD74|CX3CR1|ETV6|FLI1|FOS|HCLS1|IL18|ITGAM|ITGB2|SPP1|STAT3|SYK|TBXAS1|TGFBR2|TLR1|TLR5|TNFRSF1B|PDGFC|FOXP2,-8.5,0
1,0,1,0,0,-2.5,0,-11,0,0,C0014457,M10100,2,0,DisGeNET,35,Eosinophilia,,-11,6.8,10,30304,325,274,20,7.3,1.6,920|942|1326|2120|2289|2885|3459|3566|3572|3606|3684|4773|4780|6696|6774|7097|10019|55636|81704|83666,CD4|CD86|MAP3K8|ETV6|FKBP5|GRB2|IFNGR1|IL4R|IL6ST|IL18|ITGAM|NFATC2|NFE2L2|SPP1|STAT3|TLR2|SH2B3|CHD7|DOCK8|PARP9,-8.2,0
1,0,1,1,0,-2.1,0,-11,-6.4,0,C0018133,M10110,3,0,DisGeNET,35,Graft-vs-Host Disease,,-11,5.7,9.5,30304,447,274,23,8.4,1.7,240|718|920|942|953|1436|3115|3572|3606|3635|3684|3687|3689|5788|6696|6774|6850|7097|7100|7133|7182|10135|83478,ALOX5|C3|CD4|CD86|ENTPD1|CSF1R|HLA-DPB1|IL6ST|IL18|INPP5D|ITGAM|ITGAX|ITGB2|PTPRC|SPP1|STAT3|SYK|TLR2|TLR5|TNFRSF1B|NR2C2|NAMPT|ARHGAP24,-8.2,0
0,0,1,1,0,0,0,-11,-6.8,0,C4048329,M00110,2,0,DisGeNET,35,Immunosuppression,,-11,4.7,9,30304,632,274,27,9.9,1.8,240|409|467|558|920|942|953|1436|2289|3115|3122|3428|3566|3606|3684|3687|3689|4286|4780|6319|6696|6774|7097|7409|9586|54502|64581,ALOX5|ARRB2|ATF3|AXL|CD4|CD86|ENTPD1|CSF1R|FKBP5|HLA-DPB1|HLA-DRA|IFI16|IL4R|IL18|ITGAM|ITGAX|ITGB2|MITF|NFE2L2|SCD|SPP1|STAT3|TLR2|VAV1|CREB5|RBM47|CLEC7A,-8.1,0
1,0,1,1,0,-5.2,0,-10,-4.8,0,C0027697,M10110,3,0,DisGeNET,35,Nephritis,,-10,7.1,10,30304,296,274,19,6.9,1.5,558|718|942|2313|3394|3587|3606|3684|3689|4780|5788|6696|7048|7100|7133|7903|25780|57817|120892,AXL|C3|CD86|FLI1|IRF8|IL10RA|IL18|ITGAM|ITGB2|NFE2L2|PTPRC|SPP1|TGFBR2|TLR5|TNFRSF1B|ST8SIA4|RASGRP3|HAMP|LRRK2,-8,0
1,0,1,1,0,-2.4,0,-10,-5.5,0,C2363741,M10110,3,0,DisGeNET,35,HIV-1 infection,,-10,4.5,8.8,30304,695,274,28,10,1.8,920|953|972|1508|1524|2353|2885|3055|3059|3115|3428|3459|3566|3572|3606|3635|4780|5337|5788|6774|7038|7097|7133|9839|10257|10859|25939|64581,CD4|ENTPD1|CD74|CTSB|CX3CR1|FOS|GRB2|HCK|HCLS1|HLA-DPB1|IFI16|IFNGR1|IL4R|IL6ST|IL18|INPP5D|NFE2L2|PLD1|PTPRC|STAT3|TG|TLR2|TNFRSF1B|ZEB2|ABCC4|LILRB1|SAMHD1|CLEC7A,-7.9,0
1,0,1,1,0,-3.2,0,-10,-4.4,0,C0011615,M10110,3,0,DisGeNET,35,"Dermatitis, Atopic",,-10,4.3,8.7,30304,751,274,29,11,1.9,571|718|942|1524|2353|3059|3459|3516|3566|3572|3587|3597|3606|3660|3684|4780|5966|6556|6774|6850|7096|7097|7100|7133|8942|11031|64581|80896|81704,BACH1|C3|CD86|CX3CR1|FOS|HCLS1|IFNGR1|RBPJ|IL4R|IL6ST|IL10RA|IL13RA1|IL18|IRF2|ITGAM|NFE2L2|REL|SLC11A1|STAT3|SYK|TLR1|TLR2|TLR5|TNFRSF1B|KYNU|RAB31|CLEC7A|NPL|DOCK8,-7.8,0
0,0,1,1,0,0,0,-10,-2.6,0,C0014072,M00110,2,0,DisGeNET,35,Experimental Autoimmune Encephalomyelitis,,-10,14,12,30304,97,274,12,4.4,1.2,2|718|920|942|953|1075|1524|3587|3606|4261|4780|7097,A2M|C3|CD4|CD86|ENTPD1|CTSC|CX3CR1|IL10RA|IL18|CIITA|NFE2L2|TLR2,-7.7,0
0,0,1,0,0,0,0,-9.9,0,0,C3203102,M00100,1,0,DisGeNET,35,Idiopathic pulmonary arterial hypertension,,-9.9,4.1,8.4,30304,776,274,29,11,1.9,240|860|953|2313|2353|3516|3606|3709|4773|4780|4784|5052|5209|5321|5788|6546|6653|6696|6774|7046|7048|7097|7182|7402|10135|10257|25939|55824|57817,ALOX5|RUNX2|ENTPD1|FLI1|FOS|RBPJ|IL18|ITPR2|NFATC2|NFE2L2|NFIX|PRDX1|PFKFB3|PLA2G4A|PTPRC|SLC8A1|SORL1|SPP1|STAT3|TGFBR1|TGFBR2|TLR2|NR2C2|UTRN|NAMPT|ABCC4|SAMHD1|PAG1|HAMP,-7.5,0
1,0,1,1,0,-3.9,0,-9.8,-2.9,0,C1333064,M10110,3,0,DisGeNET,35,Classical Hodgkin's Lymphoma,,-9.8,7,9.7,30304,285,274,18,6.6,1.5,463|467|942|965|1436|2353|3115|3122|4261|4481|5452|5788|5966|6774|6850|9020|29760|84441,ZFHX3|ATF3|CD86|CD58|CSF1R|FOS|HLA-DPB1|HLA-DRA|CIITA|MSR1|POU2F2|PTPRC|REL|STAT3|SYK|MAP3K14|BLNK|MAML2,-7.5,0
0,0,1,1,0,0,0,-9.8,-2.7,0,C0014038,M00110,2,0,DisGeNET,35,Encephalitis,,-9.8,6.5,9.5,30304,324,274,19,6.9,1.5,2|240|409|1436|1508|1524|3572|3606|3684|4261|4780|5321|6696|6774|7097|25939|57162|57817|120892,A2M|ALOX5|ARRB2|CSF1R|CTSB|CX3CR1|IL6ST|IL18|ITGAM|CIITA|NFE2L2|PLA2G4A|SPP1|STAT3|TLR2|SAMHD1|PELI1|HAMP|LRRK2,-7.4,0
0,0,1,1,0,0,0,-9.7,-4.5,0,C0020429,M00110,2,0,DisGeNET,35,Hyperalgesia,,-9.7,5.4,9,30304,451,274,22,8,1.6,240|409|467|718|1436|1524|2353|3059|3572|3587|3606|3684|3687|4773|4780|5321|6774|7046|7097|7133|57817|64805,ALOX5|ARRB2|ATF3|C3|CSF1R|CX3CR1|FOS|HCLS1|IL6ST|IL10RA|IL18|ITGAM|ITGAX|NFATC2|NFE2L2|PLA2G4A|STAT3|TGFBR1|TLR2|TNFRSF1B|HAMP|P2RY12,-7.4,0
1,0,1,1,0,-2.1,0,-9.7,-7.4,0,C0021053,M10110,3,0,DisGeNET,35,Immune System Diseases,,-9.7,5.4,9,30304,451,274,22,8,1.6,240|953|972|1075|2120|2313|2353|3394|3428|3606|3689|4780|5336|5788|5966|6774|6850|7097|10019|57217|79651|81704,ALOX5|ENTPD1|CD74|CTSC|ETV6|FLI1|FOS|IRF8|IFI16|IL18|ITGB2|NFE2L2|PLCG2|PTPRC|REL|STAT3|SYK|TLR2|SH2B3|TTC7A|RHBDF2|DOCK8,-7.4,0
1,0,1,1,0,-2.7,0,-9.6,-2.9,0,C0374997,M10110,3,0,DisGeNET,35,Helicobacter pylori (H. pylori) infection in conditions classified elsewhere and of unspecified site,,-9.6,4.7,8.6,30304,593,274,25,9.1,1.7,467|718|965|972|1075|2289|2353|3115|3459|3566|3606|5052|5337|5925|6239|6696|6774|6850|7096|7097|7100|7409|55824|83478|139818,ATF3|C3|CD58|CD74|CTSC|FKBP5|FOS|HLA-DPB1|IFNGR1|IL4R|IL18|PRDX1|PLD1|RB1|RREB1|SPP1|STAT3|SYK|TLR1|TLR2|TLR5|VAV1|PAG1|ARHGAP24|DOCK11,-7.3,0
0,0,1,1,0,0,0,-9.6,-3,0,C0036202,M00110,2,0,DisGeNET,35,Sarcoidosis,,-9.6,5.6,9,30304,413,274,21,7.7,1.6,942|1524|2353|3109|3115|3122|3566|3606|3684|3687|4261|6239|6556|6696|6774|7096|7097|7133|7903|8202|83666,CD86|CX3CR1|FOS|HLA-DMB|HLA-DPB1|HLA-DRA|IL4R|IL18|ITGAM|ITGAX|CIITA|RREB1|SLC11A1|SPP1|STAT3|TLR1|TLR2|TNFRSF1B|ST8SIA4|NCOA3|PARP9,-7.3,0
0,0,1,1,0,0,0,-9.3,-3.2,0,C0494463,M00110,2,0,DisGeNET,35,"Alzheimer Disease, Late Onset",,-9.3,5.7,9,30304,385,274,20,7.3,1.6,2|240|409|1524|2885|3115|3122|3606|3635|4205|5321|5336|6546|6653|7097|23150|25902|27185|64231|120892,A2M|ALOX5|ARRB2|CX3CR1|GRB2|HLA-DPB1|HLA-DRA|IL18|INPP5D|MEF2A|PLA2G4A|PLCG2|SLC8A1|SORL1|TLR2|FRMD4B|MTHFD1L|DISC1|MS4A6A|LRRK2,-7,0
1,0,1,1,0,-4.2,0,-9.3,-3.3,0,C2347747,M10110,3,0,DisGeNET,35,Adult Classical Hodgkin Lymphoma,,-9.3,7.6,9.7,30304,233,274,16,5.8,1.4,463|467|965|1436|2353|3115|3122|4261|5452|5788|5966|6774|6850|9020|29760|84441,ZFHX3|ATF3|CD58|CSF1R|FOS|HLA-DPB1|HLA-DRA|CIITA|POU2F2|PTPRC|REL|STAT3|SYK|MAP3K14|BLNK|MAML2,-7,0
0,0,1,0,0,0,0,-9.3,0,0,C0238790,M00100,1,0,DisGeNET,35,bone destruction,,-9.3,7.6,9.6,30304,234,274,16,5.8,1.4,571|860|1436|3055|4780|5337|6696|6774|6850|7046|7097|7182|7402|10135|27044|64581,BACH1|RUNX2|CSF1R|HCK|NFE2L2|PLD1|SPP1|STAT3|SYK|TGFBR1|TLR2|NR2C2|UTRN|NAMPT|SND1|CLEC7A,-7,0
0,0,1,1,0,0,0,-9.2,-2.4,0,C1290884,M00110,2,0,DisGeNET,35,Inflammatory disorder,,-9.2,5.7,8.9,30304,391,274,20,7.3,1.6,942|953|1326|1436|2313|3572|3606|4261|4780|6696|6774|6850|7048|7097|7182|23533|25939|57817|64581|120892,CD86|ENTPD1|MAP3K8|CSF1R|FLI1|IL6ST|IL18|CIITA|NFE2L2|SPP1|STAT3|SYK|TGFBR2|TLR2|NR2C2|PIK3R5|SAMHD1|HAMP|CLEC7A|LRRK2,-6.9,0
0,0,1,1,0,0,0,-9,-2.9,0,C0162871,M00110,2,0,DisGeNET,35,"Aortic Aneurysm, Abdominal",,-9,4.5,8.3,30304,585,274,24,8.8,1.7,240|718|860|1075|1508|1524|2353|3606|3684|3687|3689|4780|5052|5140|5788|6696|6774|7046|7048|7097|8942|55824|64805|91526,ALOX5|C3|RUNX2|CTSC|CTSB|CX3CR1|FOS|IL18|ITGAM|ITGAX|ITGB2|NFE2L2|PRDX1|PDE3B|PTPRC|SPP1|STAT3|TGFBR1|TGFBR2|TLR2|KYNU|PAG1|P2RY12|ANKRD44,-6.7,0
0,0,1,1,1,0,0,-9,-4,-3.1,C0007785,M00111,3,0,DisGeNET,35,Cerebral Infarction,,-9,4.2,8.1,30304,687,274,26,9.5,1.8,240|953|1524|2353|3059|3516|3566|3606|3684|4780|5052|5209|5321|5583|6546|6696|6774|6916|7048|7097|7100|7133|7402|10135|10859|64805,ALOX5|ENTPD1|CX3CR1|FOS|HCLS1|RBPJ|IL4R|IL18|ITGAM|NFE2L2|PRDX1|PFKFB3|PLA2G4A|PRKCH|SLC8A1|SPP1|STAT3|TBXAS1|TGFBR2|TLR2|TLR5|TNFRSF1B|UTRN|NAMPT|LILRB1|P2RY12,-6.7,0
0,0,1,1,0,0,0,-9,-4.7,0,C0042373,M00110,2,0,DisGeNET,35,Vascular Diseases,,-9,4.2,8.1,30304,688,274,26,9.5,1.8,240|558|953|2180|2313|2353|3572|3689|4643|4780|5996|6653|6696|6774|6886|7046|7048|7097|7133|7402|10019|10135|25939|56034|64805|83478,ALOX5|AXL|ENTPD1|ACSL1|FLI1|FOS|IL6ST|ITGB2|MYO1E|NFE2L2|RGS1|SORL1|SPP1|STAT3|TAL1|TGFBR1|TGFBR2|TLR2|TNFRSF1B|UTRN|SH2B3|NAMPT|SAMHD1|PDGFC|P2RY12|ARHGAP24,-6.7,0
0,0,1,1,0,0,0,-8.9,-5.4,0,C3495559,M00110,2,0,DisGeNET,35,Juvenile arthritis,,-8.9,5.2,8.5,30304,450,274,21,7.7,1.6,113|953|2120|2353|3115|3566|3572|3606|4261|5788|6556|6696|6774|7097|7133|10019|10135|54502|84441|120892|137196,ADCY7|ENTPD1|ETV6|FOS|HLA-DPB1|IL4R|IL6ST|IL18|CIITA|PTPRC|SLC11A1|SPP1|STAT3|TLR2|TNFRSF1B|SH2B3|NAMPT|RBM47|MAML2|LRRK2|CCDC26,-6.7,0
0,0,1,1,0,0,0,-8.9,-3.9,0,C3714636,M00110,2,0,DisGeNET,35,Pneumonitis,,-8.9,4.1,8,30304,696,274,26,9.5,1.8,240|313|467|953|972|1240|1326|2353|3572|3606|3687|3689|4773|4780|5321|5337|6546|6696|6774|7097|7133|7182|27044|64581|64805|83666,ALOX5|AOAH|ATF3|ENTPD1|CD74|CMKLR1|MAP3K8|FOS|IL6ST|IL18|ITGAX|ITGB2|NFATC2|NFE2L2|PLA2G4A|PLD1|SLC8A1|SPP1|STAT3|TLR2|TNFRSF1B|NR2C2|SND1|CLEC7A|P2RY12|PARP9,-6.6,0
1,0,1,0,0,-2.6,0,-8.9,0,0,C1306759,M10100,2,0,DisGeNET,35,Eosinophilic disorder,,-8.9,6.5,9,30304,288,274,17,6.2,1.5,920|942|1326|2120|2289|2885|3459|3566|3606|3684|4773|4780|6696|6774|7097|10019|83666,CD4|CD86|MAP3K8|ETV6|FKBP5|GRB2|IFNGR1|IL4R|IL18|ITGAM|NFATC2|NFE2L2|SPP1|STAT3|TLR2|SH2B3|PARP9,-6.6,0
0,0,1,0,0,0,0,-8.8,0,0,C0155877,M00100,1,0,DisGeNET,35,Allergic asthma,,-8.8,5.7,8.6,30304,371,274,19,6.9,1.5,240|313|718|920|942|953|1436|3115|3459|3566|3597|3606|5321|5791|6696|6774|7097|81704|83666,ALOX5|AOAH|C3|CD4|CD86|ENTPD1|CSF1R|HLA-DPB1|IFNGR1|IL4R|IL13RA1|IL18|PLA2G4A|PTPRE|SPP1|STAT3|TLR2|DOCK8|PARP9,-6.5,0
0,0,1,1,0,0,0,-8.7,-2.1,0,C0010823,M00110,2,0,DisGeNET,35,Cytomegalovirus Infections,,-8.7,5,8.3,30304,462,274,21,7.7,1.6,240|953|965|1436|1524|2353|3394|3428|3606|3684|3687|3689|4780|5788|6556|6774|6850|6886|7097|10859|25939,ALOX5|ENTPD1|CD58|CSF1R|CX3CR1|FOS|IRF8|IFI16|IL18|ITGAM|ITGAX|ITGB2|NFE2L2|PTPRC|SLC11A1|STAT3|SYK|TAL1|TLR2|LILRB1|SAMHD1,-6.5,0
0,0,1,1,0,0,0,-8.7,-2.9,0,C0042384,M00110,2,0,DisGeNET,35,Vasculitis,,-8.7,6.4,8.9,30304,294,274,17,6.2,1.5,1524|1902|3115|3606|3689|4261|6850|7097|7100|7133|7456|9839|25780|25939|27143|57817|64581,CX3CR1|LPAR1|HLA-DPB1|IL18|ITGB2|CIITA|SYK|TLR2|TLR5|TNFRSF1B|WIPF1|ZEB2|RASGRP3|SAMHD1|PALD1|HAMP|CLEC7A,-6.5,0
0,0,1,1,0,0,0,-8.7,-6.4,0,C0409974,M00110,2,0,DisGeNET,35,Lupus Erythematosus,,-8.7,4.6,8.1,30304,558,274,23,8.4,1.7,467|718|953|1524|2313|2353|3428|3606|3684|3687|3689|4261|5788|6696|6774|6850|7038|7097|7100|7133|57817|120892|139818,ATF3|C3|ENTPD1|CX3CR1|FLI1|FOS|IFI16|IL18|ITGAM|ITGAX|ITGB2|CIITA|PTPRC|SPP1|STAT3|SYK|TG|TLR2|TLR5|TNFRSF1B|HAMP|LRRK2|DOCK11,-6.5,0
0,0,1,1,0,0,0,-8.7,-4.3,0,C0027796,M00110,2,0,DisGeNET,35,Neuralgia,,-8.7,3.9,7.8,30304,766,274,27,9.9,1.8,2|409|467|972|1240|1436|1508|1524|1902|2289|3394|3566|3606|3684|4205|4780|6319|6774|6938|7038|7097|7100|7133|8569|9839|64805|120892,A2M|ARRB2|ATF3|CD74|CMKLR1|CSF1R|CTSB|CX3CR1|LPAR1|FKBP5|IRF8|IL4R|IL18|ITGAM|MEF2A|NFE2L2|SCD|STAT3|TCF12|TG|TLR2|TLR5|TNFRSF1B|MKNK1|ZEB2|P2RY12|LRRK2,-6.4,0
