att_D_AD_1.M35115.Oligo,att_D_AD_2.M35115.Micro,att_D_AD_2.M35594.Micro,att_D_AD_2.M35115.Oligo,att_D_AD_2.M35594.Oligo,att_D_SCZ_2.M35115.Oligo,att_D_no_prior_0.M35594.OPC,att_D_no_prior_2.M35594.OPC,att_D_AD_1,att_D_AD_2,att_D_SCZ_1,att_D_SCZ_2,att_D_no_prior_0,att_D_no_prior_1,att_D_no_prior_2,att_D_no_prior_3,_BACKGROUND
LAPTM5,LINC01141,,MIR646HG,NLRC5,MX1,,,ARHGAP6,LHFPL2,LPAR6,IL18,CD44,SOX6,MIS18BP1,ARHGAP15,ACSF2
IFI44L,CTSH,,AOAH,C22orf34,ALPK1,,,BMP2K,LPAR6,MAML2,ITGAM,GRB10,SOX8,MYOF,ARHGAP6,ACSL1
SLCO2B1,TRIM38,,SAMSN1,ARHGAP25,DOCK8,,,BNC2,MAML2,MEF2A,ITPR2,PARD3B,SRRM3,PARVB,ARHGEF6,ACSL5
ZNF532,WNT5A,,ACSL1,B2M,TLR1,,,CPVL,MEF2A,MGAT4A,LAPTM5,RFX4,TBX15,PLSCR1,BLNK,ACSM3
PARP14,PSMA1,,MYO1F,RBM47,ARHGAP6,,,CTSB,MGAT4A,MIR34AHG,LY86,SLC1A3,TCF12,SKAP2,CD74,ACSM5
KCNQ1,GBP2,,TGFBR1,IRAK3,ST6GAL1,,,CYFIP1,MIR34AHG,MSR1,MEF2A,SMAD3,TCF4,SLC8A1-AS1,CLEC7A,ACSS1
SRGAP2B,GPR65,,TMEM163,HLA-E,ZNF704,,,DISC1,MSR1,MTHFD1L,MIR34AHG,NFE2L2,TCF7L1,SP100,CPVL,ACSS3
FCGBP,PLEK,,CTSC,A2M,FLI1,,,DOCK2,MTHFD1L,MYO1F,MIR646HG,PARP4,TCF7L2,SUSD6,CSF3R,ACTA2
IFI16,TGFBR1,,AKAP13,TPT1,PELI1,,,ENTPD1,PARP9,NCKAP1L,MSR1,TANC1,ZEB1,TMSB4X,CTSC,ACTL6A
SLC11A1,ADCY7,,PAG1,SLC7A5,MGAT4A,,,EPSTI1,PELI1,RB1,NCKAP1L,TTC7A,ZMAT4,TSPAN14,CYFIP1,ACVR1
STAB1,LIMS1,,MSR1,RHBDF2,LCP2,,,FAM149A,PIK3AP1,SCIN,PALD1,ATP2C2,RBMS3,A2M,DOCK11,ACVR1C
ESRRG,CD74,,RGS10,LPCAT2,SAMHD1,,,FGD2,PLA2G4A,SFMBT2,PIK3AP1,CALCRL,ANKRD44,ADCY7,DOCK2,ACVRL1
HLA-B,MLXIP,,BACH1,PRAM1,ST8SIA4,,,FMNL3,PLCG2,SH3RF3,PLCG2,CMTM8,COL25A1,ANO6,DOCK8,ADA
BLNK,LINC00578,,SFMBT2,TRIM5,ARID5A,,,GPCPD1,RB1,SLA,PTPRC,ITGA1,CDH9,ARHGAP25,EPSTI1,ADAM12
TNFAIP3,NCOR2,,CD74,CMAHP,DOCK2,,,IL18,RCSD1,SLC2A5,RGS1,LIMS2,GRIK3,CARD8,FAM149A,ADAM28
ARHGAP15,APBB1IP,,CD53,IFNGR1,IFI44,,,ITPR2,RHBDF2,SP100,SCIN,NOTCH4,MAN1A1,CD163,FGD4,ADAM33
MX1,FPR1,,SLC25A37,TNFRSF10D,C1QC,,,KCNK13,RNF144B,SRGAP2C,SH3RF3,PAPSS2,NETO1,CD53,FMNL3,ADAMTS1
ALPK1,PDGFB,,IKZF1,MIS18BP1,MAP3K8,,,KYNU,SCIN,SYK,SH3TC1,PECAM1,RALYL,CD58,GRB2,ADAMTS12
BHLHE41,MLKL,,ADAM28,HIF1A,TRIM22,,,LY86,SH3RF3,TGFBR1,SIPA1L2,ZNF366,RSPO2,CMTM7,HCLS1,ADAMTS14
DOCK8,TGFBR2,,VSIG4,SEC14L1,NCOA3,,,MEF2A,SKAP2,TGFBR2,SRGAP2C,CBLB,CNN3,CTSB,IL18,ADAMTS15
TLR1,JDP2,,ITGAM,DISP1,SAMSN1,,,MIR34AHG,SLA,TLR1,ST8SIA4,CD247,COLEC12,DDX60L,ITGAM,ADAMTS17
ARHGAP6,SOCS6,,RUNX1,LIMK2,AOAH,,,MS4A6A,SLC25A37,TNFRSF1B,TGFBR2,ITGA4,F3,DLEU1,KCNK13,ADAMTS18
ST6GAL1,FTL,,,RNF144B,CUX1,,,MYO1F,SLCO2B1,TNS3,TNFRSF1B,TC2N,FNDC3B,DLEU7,LAPTM5,ADAMTS19
ZNF704,NLRC5,,,TSPAN14,BACH2,,,PDGFC,ST8SIA4,USP6NL,TNS3,THEMIS,GRB10,FAM149A,LPAR6,ADAMTS20
FLI1,CTSB,,,SLC4A7,SOAT1,,,RB1,TFEC,UTRN,VAV1,ENG,MAML2,FNDC3B,MAML2,ADAMTS3
PELI1,STEAP1B,,,FLI1,IL10RA,,,RCSD1,TGFBR1,WDFY4,ZNF536,INPP5D,PARD3B,GPRIN3,MEF2A,ADAMTS4
MGAT4A,STAT2,,,SDCBP,SUSD6,,,SCIN,TGFBR2,ZNF536,ATP8B4,MECOM,PDLIM5,GRB2,MGAT4A,ADAMTS6
HCLS1,RPL18A,,,GAB3,SP110,,,SFMBT2,TNFRSF1B,CASP10,BACH2,MEF2A,RFX4,HLA-DRB1,MIR34AHG,ADAMTS7
LCP2,IRF8,,,TNFAIP8,ARHGAP22,,,SH3RF3,WDFY4,CCND3,CASP10,MGST2,SLC1A3,IL10RA,MSR1,ADAMTS9
SAMHD1,FCER1G,,,TBC1D4,CD53,,,SKAP2,ZFHX3,CD53,CCND3,MIS18BP1,TRPS1,IL17RA,MTHFD1L,ADAMTS9-AS1
NABP1,SYK,,,TBXAS1,CPED1,,,SRGAP2C,ARHGAP18,CD58,CD74,MYOF,YBX3,ITGAX,NCKAP1L,ADAMTS9-AS2
ST8SIA4,HLA-E,,,PLA2G4A,ADAM28,,,ST8SIA4,ARHGAP22,CLEC7A,CD86,PARVB,ZFP36L1,JAK3,PARP9,ADAMTSL1
P2RY12,ATP8B4,,,ENTPD1,CTSC,,,TBC1D14,CASP10,DISP1,CIITA,PGM5,MCTP2,LCP2,PIK3AP1,ADAMTSL2
ARID5A,ARHGAP9,,,BACH2,ITGAM,,,TGFBR2,CCND3,DOCK8,CLEC7A,SKAP2,NRIP3,LIMK2,PLA2G4A,ADAMTSL3
DOCK2,TBC1D16,,,FGD4,RUNX1,,,TMEM156,CD53,FGD2,CPED1,SP100,RELN,MIR646HG,PLCG2,ADAMTSL4
LCP1,ALOX5,,,IL15,IL4R,,,TNS3,CD58,FKBP5,DISP1,SUSD6,THSD7B,MSN,PTPRC,ADAP2
IFI44,CMAHP,,,,,,,USP6NL,CD84,GPRIN3,DLEU7,TMSB4X,CFLAR,NCOA3,RAPGEF1,ADARB1
C1QC,PRKCD,,,,,,,UTRN,CLEC7A,HCK,DOCK11,TSPAN14,ACSL5,PDE3B,RB1,ADARB2
MAP3K8,P2RX4,,,,,,,VAV1,CMKLR1,NEDD9,FAM177B,A2M,ADAMTS12,PFKFB3,RCSD1,ADARB2-AS1
TRIM22,SLC25A37,,,,,,,ADCY7,DOCK8,PDGFB,FKBP5,ADCY7,BACE2,PRAM1,RREB1,ADCY10P1
MRC1,IKZF1,,,,,,,ANKRD44,ENG,PIK3AP1,GAB3,ANO6,CD36,PSTPIP2,SCIN,ADCY2
NCOA3,PLCG2,,,,,,,CASP10,FGD2,PTPRC,IL10RA,BACH1,ITGA8,PTPRE,SH3RF3,ADCY7
SAMSN1,VSIG4,,,,,,,CD58,GAB3,SERPINB9,KYNU,CD163,ITM2A,SAMHD1,SH3TC1,ADCY8
AOAH,NINJ1,,,,,,,CD86,GPRIN3,SMAP2,MERTK,CD53,SGPP2,SAMSN1,SIPA1L2,ADD3-AS1
CUX1,SLCO2B1,,,,,,,CIITA,ITGAX,TMEM156,MYO1F,CD58,SLC19A3,SH2B3,SKAP2,ADGRA3
BACH2,TNFSF13B,,,,,,,CMTM7,RASSF3,TRIM5,NLRP1,CMTM7,SPHKAP,SND1,SRGAP2C,ADGRD1
SOAT1,NOTCH2,,,,,,,DISP1,SEC14L1,VAV1,PCDH9-AS2,CPED1,ST8SIA6-AS1,SRGAP1,STAB1,ADGRE2
IL10RA,HIF1A,,,,,,,FAM177B,SERPINB9,ZFP36L1,RB1,CTSB,VWA2,TMEM156,TFEC,ADGRE4P
SUSD6,CD86,,,,,,,HCK,SLC11A1,ZFP36L2,SLC11A1,CTTNBP2NL,B2M,TNFRSF1A,TGFBR1,ADGRE5
SP110,PLEKHO1,,,,,,,MSR1,SMAP2,ADAM28,TFEC,DLEU1,CBLB,TRIM38,TGFBR2,ADGRF5
ARHGAP22,CLCN5,,,,,,,NCKAP1L,TG,ALPK1,TMEM156,FMNL3,CCDC88C,ZNF704,USP6NL,ADGRG1
CD53,BLNK,,,,,,,NFATC2,TMEM156,BNC2,USP53,FNDC3B,CYTIP,ATP10A,ZFHX3,ADGRG2
C1QA,TFEC,,,,,,,NLRP1,TNFAIP8,GRB2,ZFP36L1,HLA-DRB1,EPAS1,CMAHP,ZFP36L1,ADGRG5
NCKAP1L,SUSD3,,,,,,,PCDH9-AS2,TRIM5,IL13RA1,ZFP36L2,IL10RA,GRAP2,CX3CR1,ARHGAP18,ADGRG6
CPED1,DISP1,,,,,,,PIK3AP1,BNC2,IRAK3,A2M,IL17RA,IKZF3,CYBA,CARD11,ADGRL2
ADAM28,IFNLR1,,,,,,,PLSCR1,CARD8,LAPTM5,ADAM28,ITGAX,ITK,FKBP5,CASP10,ADGRL4
CTSC,CIITA,,,,,,,SH3TC1,CD86,LAT2,AKAP13,LCP2,PRKCH,FLT1,CCND3,ADGRV1
ITGAM,MAML3,,,,,,,SLC11A1,EML4,LCP1,CD84,LIMK2,PYHIN1,HIF1A,CD58,ADH4
RUNX1,BHLHE41,,,,,,,TLR1,FAM177B,MIR646HG,CSF1R,MIR646HG,CHSY1,IFI44,CD84,ADIPOR2
IL4R,SIGLEC8,,,,,,,USP53,GNB4,MS4A6A,HCLS1,NCK2,CTTNBP2NL,KCNK13,CTSS,ADIRF
,ZFP36L1,,,,,,,XAF1,IFNGR1,P2RY12,IL17RA,NCOA3,HERPUD1,KCNQ1,ENG,ADM
,SH3TC1,,,,,,,ZFP36L2,IL10RA,PALD1,KCNK13,PTPRE,KCTD12,LDLRAD4,GPRIN3,ADNP
,LCP1,,,,,,,ZNF704,JAK3,PIK3CD,KCNQ1,SAMHD1,NEDD9,LMO2,HERPUD1,ADNP2
,PLA2G4A,,,,,,,HSPA1A,LAT2,PLA2G4A,LINC01141,SAMSN1,PECAM1,NRP2,PCDH9-AS2,ADORA2A-AS1
,CD84,,,,,,,HSPB1,LCP1,RGS10,LPAR6,SH2B3,RNF144B,RYR1,PPARD,ADORA2B
,RCSD1,,,,,,,HSPB8,MIR646HG,SOCS6,NCK2,SIRPB2,SLC2A3,SCIN,RGS10,ADPGK
,RASSF3,,,,,,,JUN,P2RY12,ST8SIA4,PLA2G4A,SND1,SLCO2B1,SEC14L1,SERPINB9,ADRA1A
,C1RL,,,,,,,WDR49,PCED1B,TBC1D14,SLC2A5,SP110,TM6SF1,SIPA1L2,TG,ADRA1B
,GCNT2,,,,,,,ITPKB,RYR1,ADCY7,SOCS6,SRGAP1,ADCY7,SOAT1,TNFAIP8,ADRB2
,ARHGAP4,,,,,,,A2M,SH3TC1,CTSS,SUSD6,SRGN,ANKS1A,STAB1,UBC,AEBP1
,MYO1F,,,,,,,BIN2,SLC2A5,CSF1R,FTH1,TNFRSF1A,ARHGAP22,ZNF710,HS3ST4,AEBP2
,CTSZ,,,,,,,CSF1R,SYK,ARHGAP6,DOCK2,ZFP36L2,C1QB,CD44,CARD8,AFAP1L1
,ENG,,,,,,,DENND3,TLR1,CX3CR1,SP100,ZNF704,CD53,HSPB8,CX3CR1,AFAP1L2
,C1QA,,,,,,,DLEU7,TRIM22,CYFIP1,ANKRD44,ARHGAP6,DOCK11,WDR49,CYTH4,AFF4
,NCKAP1L,,,,,,,DOCK8,TSPAN14,FAM149A,BNC2,ATP10A,HLA-DRA,CHST11,EML4,AFMID
,FERMT3,,,,,,,GAB3,ZNF710,IFNGR1,CARD11,CMAHP,ITGAX,DOCK8,FAM177B,AFP
,FAM149A,,,,,,,HCLS1,ADAM28,KYNU,HS3ST4,CX3CR1,LCP2,HS3ST4,IL10RA,AGA
,GPRC5C,,,,,,,LCP2,ALOX5,LCP2,IFNGR1,CYBA,MERTK,CLEC2D,IL13RA1,AGAP2
,,,,,,,,NCK2,APBB1IP,NABP1,ITGAX,FKBP5,MGAT4A,CTSS,IRAK3,AGBL1
,,,,,,,,P2RY12,BIN2,SH3TC1,P2RY12,HIF1A,MIR34AHG,CYTH4,JAK3,AGBL3
,,,,,,,,PLA2G4A,BLNK,TMEM163,PTPRE,KCNK13,MIR646HG,DIAPH2,LINC01141,AGER
,,,,,,,,PTPRC,C12orf75,VSIG4,SLC4A7,KCNQ1,NCK2,DISP1,MAF,AGGF1
,,,,,,,,RGS10,CX3CR1,OLIG1,TMEM163,LMO2,P2RY12,FGD3,MIR646HG,AGMAT
,,,,,,,,RIN3,FAM149A,LDLR,VSIG4,SCIN,PARP9,FGD4,MS4A6A,AGMO
,,,,,,,,SLC2A5,HK2,CHD7,ATP10B,SEC14L1,PPARD,IL6ST,PARVG,AGT
,,,,,,,,SMAP2,LINC01141,FAM107B,KCNH8,SIPA1L2,PRAM1,ITGB2,PCED1B,AGTRAP
,,,,,,,,SORL1,LPCAT2,MBP,GABRA2,SOAT1,RGS1,ITPR2,RYR1,AHCTF1
,,,,,,,,STK10,TMIGD3,PLEKHH1,HHIP,STAB1,RGS10,LILRB1,SYTL3,AHCY
,,,,,,,,SUSD6,PRNP,UGT8,PLEKHH1,DPP10-AS3,RREB1,LRRK1,TRIM22,AHCYL1
,,,,,,,,SYK,PTMA,,RASSF2,GADD45B,SLC25A37,MS4A6A,TSPAN14,AHCYL2
,,,,,,,,TFEC,INPP5D,,SLCO1A2,HSPB1,SLC4A7,MSR1,ARHGAP25,AHDC1
,,,,,,,,TLR2,ACSL1,,ST18,ID3,SRGN,OLR1,CCDC26,AHNAK
,,,,,,,,RASGEF1C,C1QB,,UGT8,SERPINI2,ZFP36L2,PARP14,CD86,AHR
,,,,,,,,ARHGAP29,FMNL3,,PARD3B,ZFP36L1,ZNF710,PELI1,CPED1,AIDA
,,,,,,,,ITGA1,KYNU,,CSGALNACT1,NAMPT,CASP10,PLCB2,DENND3,AIF1
,,,,,,,,EYA4,PARP14,,MAML2,CHST11,CCND3,PLXDC2,FCGR3A,AIF1L
,,,,,,,,MEIS2,PARVG,,ZFHX3,DOCK8,CD58,SH3RF3,GPR34,AIM2
,,,,,,,,CHST11,PRKCH,,ARHGAP10,FBXL7,CLEC7A,TNFRSF1B,HK2,AIRE
,,,,,,,,DOCK11,SAT1,,PTPRG,ITPKB,CMKLR1,TRAF3IP3,IFNGR1,AK7
,,,,,,,,FGD4,SOCS6,,SEMA5A,PREX2,CTSS,ZFP36L1,ITGB2,AKAP12
,,,,,,,,GPRIN3,KCNH8,,,CASC15,DISP1,ADAP2,KCNMB1,AKAP13
,,,,,,,,ITGAX,LPAR1,,,HS3ST4,DLEU7,APMAP,LCP2,AKAP3
,,,,,,,,KCNQ1,SGK1,,,CARD8,FGD2,ARHGAP15,LHFPL2,AKNA
,,,,,,,,LAPTM5,VRK2,,,CCND3,FGD4,B3GNT5,LINC00578,AKR1A1
,,,,,,,,LDLRAD4,WIPF1,,,CLEC2D,GPRIN3,C1QA,LYN,AKR1C2
,,,,,,,,PLCG2,,,,CYTH4,IFI44L,COTL1,MYO1F,AKR1D1
,,,,,,,,SLC4A7,,,,DIAPH2,IL10RA,CYFIP1,OLR1,ALDH1A1
,,,,,,,,ATP10B,,,,FAM177B,IL17RA,ENTPD1,PIK3R5,ALDH1A2
,,,,,,,,CREB5,,,,FGD3,ITGAM,GCNT2,RIN3,ALDH1L1
,,,,,,,,ZCCHC24,,,,FGD4,MSR1,HLA-DRA,SLA,ALDH1L1-AS2
,,,,,,,,NXPH1,,,,IL6ST,PCDH9-AS2,IRAK3,SLCO2B1,ALDH3B1
,,,,,,,,PCDH15,,,,ITGB2,PDGFB,KYNU,TAL1,ALK
,,,,,,,,MARCKSL1,,,,ITPR2,RB1,LCP1,PRNP,ALOX12P2
,,,,,,,,LDLR,,,,JAK3,SLC2A5,LINC01410,PTMA,ALOX15B
,,,,,,,,FAM107B,,,,LILRB1,SMAP2,OPRM1,SP100,ALOX5
,,,,,,,,HHIP,,,,MS4A6A,SP110,P2RY13,IGSF21,ALOX5AP
,,,,,,,,PLEKHH1,,,,MSR1,TG,PARVG,MYO5B,ALPK1
,,,,,,,,ST18,,,,OLR1,TNFAIP8,POU2F2,NFIX,ALPK3
,,,,,,,,UGT8,,,,PARVG,TRIM5,PRKCD,ST8SIA4,ALPL
,,,,,,,,ZNF536,,,,PELI1,VAV1,RCSD1,ACSL1,ALX3
,,,,,,,,ACSS3,,,,PLXDC2,XAF1,S100Z,HIF1A,ALX4
,,,,,,,,COLEC12,,,,SH3RF3,ZNF704,SLC11A1,HLA-DRB1,AMER2
,,,,,,,,EYA1,,,,TNFRSF1B,CD44,SRGAP2,NAMPT,AMOT
,,,,,,,,GLI3,,,,TRAF3IP3,DPP10-AS3,TGFBR2,RAB20,AMOTL1
,,,,,,,,GLIS3,,,,TRIM38,ID2,TLR10,RBM47,AMOTL2
,,,,,,,,LINC01088,,,,ADAP2,ID3,USP6NL,SAMSN1,AMZ1
,,,,,,,,SLC16A9,,,,ARHGAP15,NAMPT,UBC,THEMIS2,AMZ2
,,,,,,,,SLC7A2,,,,B3GNT5,ZBTB20,ARHGAP29,ARRB2,ANGPT1
,,,,,,,,TGFBR3,,,,BNC2,CASC15,COBLL1,ITPR2,ANGPT2
,,,,,,,,ZNF423,,,,C1QA,ANXA3,MAF,LCP1,ANGPTL4
,,,,,,,,BCL6,,,,CMKLR1,TGM2,ADAM28,LRRK1,ANK1
,,,,,,,,BMPR1B,,,,CTSS,TIE1,ATP8B4,PARP14,ANKDD1A
,,,,,,,,C4orf19,,,,CYFIP1,VWF,CD74,PELI1,ANKFN1
,,,,,,,,CACHD1,,,,ENTPD1,RNF152,CPED1,PLCB2,ANKRD18A
,,,,,,,,EMX2OS,,,,HLA-DRA,A2M,FGD2,SAT1,ANKRD20A11P
,,,,,,,,FGFR3,,,,IL6R,ALPK1,LY86,SRGAP1,ANKRD22
,,,,,,,,NOTCH2,,,,KYNU,BNC2,PIK3AP1,TNS3,ANKRD30B
,,,,,,,,RFX4,,,,LCP1,CTSB,VAV1,CD96,ANKRD36BP1
,,,,,,,,SLC1A2,,,,LINC01410,CX3CR1,WDFY4,GRAP2,ANKRD37
,,,,,,,,SLC7A14,,,,LRRK1,CYTH4,LHX6,ITGA4,ANKRD44
,,,,,,,,YAP1,,,,MRC1,FAM177B,MYO5B,LPAR1,ANKRD55
,,,,,,,,ZFHX3,,,,NABP1,IFNGR1,RNF144B,SGK1,ANKRD65
,,,,,,,,ZFP36L1,,,,OPRM1,IL13RA1,TRPC4,VRK2,ANKS1A
,,,,,,,,MYT1,,,,PLCB2,LAT2,CD86,,ANKUB1
,,,,,,,,NTNG1,,,,PRKCD,PIK3CD,CXCR4,,ANLN
,,,,,,,,POU6F2,,,,PTGS1,SLC11A1,IQGAP2,,ANO2
,,,,,,,,SMOC1,,,,S100Z,TLR1,PAPOLG,,ANO3
,,,,,,,,,,,,SLC11A1,TRIM22,PIK3R5,,ANO4
,,,,,,,,,,,,SRGAP2,FAM149A,PLEK,,ANO6
,,,,,,,,,,,,TLR10,KCNK13,RHBDF2,,ANOS1
,,,,,,,,,,,,TLR7,LINC01141,SDCBP,,ANP32AP1
,,,,,,,,,,,,USP6NL,LPCAT2,SLA,,ANTXR2
,,,,,,,,,,,,VASH1,SOCS6,SLC2A3,,ANXA1
