_MEMBER_SCZ_imp_1 - 94.0-96.0,_MEMBER_SCZ_imp_1 - 96.0-98.0,_MEMBER_SCZ_imp_1 - 98.0-100.0,_LogP_SCZ_imp_1 - 94.0-96.0,_LogP_SCZ_imp_1 - 96.0-98.0,_LogP_SCZ_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,1,0,0,-2.8,GO:0035914,skeletal muscle cell differentiation,M001,1,0
0,0,1,0,0,-3,GO:0002761,regulation of myeloid leukocyte differentiation,M001,1,0
1,0,0,-6.2,0,0,R-HSA-9660826,Purinergic signaling in leishmaniasis infection,M100,1,0
1,0,0,-2.5,0,0,WP2431,Spinal cord injury,M100,1,0
0,1,0,0,-2.2,0,GO:0003203,endocardial cushion morphogenesis,M010,1,0
0,1,0,0,-2.2,0,R-HSA-8964315,G beta:gamma signalling through BTK,M010,1,0
0,1,0,0,-2.5,0,WP536,Calcium regulation in cardiac cells,M010,1,0
0,1,0,0,-2.8,0,GO:0032673,regulation of interleukin-4 production,M010,1,0
1,0,0,-2.4,0,0,GO:0060740,prostate gland epithelium morphogenesis,M100,1,0
0,1,0,0,-2.2,0,GO:0060173,limb development,M010,1,0
0,0,1,0,0,-2,GO:0001502,cartilage condensation,M001,1,0
0,1,0,0,-2.2,0,GO:0072132,mesenchyme morphogenesis,M010,1,0
1,0,0,-6.2,0,0,R-HSA-9664424,Cell recruitment (pro-inflammatory response),M100,1,0
0,1,0,0,-2.9,0,hsa04925,Aldosterone synthesis and secretion,M010,1,0
0,1,0,0,-3.9,0,GO:0032655,regulation of interleukin-12 production,M010,1,0
0,1,0,0,-2.2,0,GO:0051091,positive regulation of DNA-binding transcription factor activity,M010,1,0
1,0,0,-2.5,0,0,GO:0007612,learning,M100,1,0
0,1,0,0,-2.1,0,WP5087,Pleural mesothelioma,M010,1,0
0,0,1,0,0,-2.2,hsa04657,IL-17 signaling pathway,M001,1,0
0,0,1,0,0,-2.1,GO:0045787,positive regulation of cell cycle,M001,1,0
1,0,0,-2.6,0,0,M65,PID FRA PATHWAY,M100,1,0
0,0,1,0,0,-2.2,GO:0046635,positive regulation of alpha-beta T cell activation,M001,1,0
1,0,0,-2.3,0,0,GO:0044703,multi-organism reproductive process,M100,1,0
1,0,0,-2.1,0,0,GO:0050729,positive regulation of inflammatory response,M100,1,0
1,0,0,-2.1,0,0,GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,M100,1,0
0,1,0,0,-2.2,0,GO:0031076,embryonic camera-type eye development,M010,1,0
0,0,1,0,0,-2.4,WP3611,Photodynamic therapy induced AP 1 survival signaling,M001,1,0
1,0,0,-2.3,0,0,GO:0043534,blood vessel endothelial cell migration,M100,1,0
0,0,1,0,0,-3,WP23,B cell receptor signaling pathway,M001,1,0
0,0,1,0,0,-2.3,GO:1903055,positive regulation of extracellular matrix organization,M001,1,0
0,0,1,0,0,-3,GO:0150063,visual system development,M001,1,0
1,0,0,-2.3,0,0,GO:0051960,regulation of nervous system development,M100,1,0
0,0,1,0,0,-2.1,GO:0120035,regulation of plasma membrane bounded cell projection organization,M001,1,0
0,0,1,0,0,-2.6,GO:0051216,cartilage development,M001,1,0
0,1,0,0,-2.2,0,GO:0048736,appendage development,M010,1,0
0,0,1,0,0,-2.3,GO:2000058,regulation of ubiquitin-dependent protein catabolic process,M001,1,0
0,0,1,0,0,-2.4,GO:0002064,epithelial cell development,M001,1,0
0,1,0,0,-2.6,0,GO:0021772,olfactory bulb development,M010,1,0
0,0,1,0,0,-3.7,R-HSA-164944,Nef and signal transduction,M001,1,0
0,0,1,0,0,-3.4,GO:0060537,muscle tissue development,M001,1,0
0,0,1,0,0,-2.2,WP2853,Endoderm differentiation,M001,1,0
1,0,0,-2.5,0,0,GO:0045444,fat cell differentiation,M100,1,0
1,0,0,-2.4,0,0,R-HSA-9830364,Formation of the nephric duct,M100,1,0
0,0,1,0,0,-2.1,hsa04150,mTOR signaling pathway,M001,1,0
1,0,0,-2.4,0,0,GO:0046637,regulation of alpha-beta T cell differentiation,M100,1,0
1,0,0,-2,0,0,R-HSA-9006925,Intracellular signaling by second messengers,M100,1,0
1,0,0,-2.2,0,0,GO:0021780,glial cell fate specification,M100,1,0
0,1,0,0,-4.6,0,hsa05200,Pathways in cancer,M010,1,0
0,0,1,0,0,-2.2,GO:0022409,positive regulation of cell-cell adhesion,M001,1,0
1,0,0,-2.2,0,0,GO:0043376,"regulation of CD8-positive, alpha-beta T cell differentiation",M100,1,0
1,0,0,-3.4,0,0,GO:0042551,neuron maturation,M100,1,0
1,0,0,-2.1,0,0,GO:0031400,negative regulation of protein modification process,M100,1,0
0,0,1,0,0,-2.2,GO:0009615,response to virus,M001,1,0
0,1,0,0,-2.4,0,GO:0021543,pallium development,M010,1,0
1,0,0,-2.5,0,0,GO:0021700,developmental maturation,M100,1,0
0,0,1,0,0,-2.5,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,M001,1,0
0,0,1,0,0,-2,GO:0040007,growth,M001,1,0
0,0,1,0,0,-2.6,GO:0070849,response to epidermal growth factor,M001,1,0
0,0,1,0,0,-2.8,GO:0034101,erythrocyte homeostasis,M001,1,0
0,0,1,0,0,-2,GO:0098743,cell aggregation,M001,1,0
0,1,0,0,-2.1,0,hsa05225,Hepatocellular carcinoma,M010,1,0
0,1,0,0,-2.5,0,R-HSA-1500931,Cell-Cell communication,M010,1,0
0,0,1,0,0,-2.7,WP5382,TGF Smad signaling pathway,M001,1,0
0,0,1,0,0,-4,R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",M001,1,0
1,0,0,-2.6,0,0,GO:2000629,negative regulation of miRNA metabolic process,M100,1,0
0,0,1,0,0,-2,WP4666,Hepatitis B infection,M001,1,0
1,0,0,-4.5,0,0,R-HSA-9031628,NGF-stimulated transcription,M100,1,0
0,0,1,0,0,-2.2,GO:0051051,negative regulation of transport,M001,1,0
0,0,1,0,0,-2.4,GO:0032835,glomerulus development,M001,1,0
0,0,1,0,0,-2.6,GO:1903052,positive regulation of proteolysis involved in protein catabolic process,M001,1,0
1,0,0,-2.1,0,0,R-HSA-109581,Apoptosis,M100,1,0
1,0,0,-2.1,0,0,GO:0099536,synaptic signaling,M100,1,0
1,0,0,-2.1,0,0,GO:2000316,regulation of T-helper 17 type immune response,M100,1,0
0,0,1,0,0,-2.7,GO:0018107,peptidyl-threonine phosphorylation,M001,1,0
0,0,1,0,0,-3.2,GO:0098868,bone growth,M001,1,0
0,1,0,0,-2.9,0,GO:0050868,negative regulation of T cell activation,M010,1,0
1,0,0,-2.2,0,0,WP1471,Target of rapamycin signaling,M100,1,0
0,1,0,0,-2.3,0,GO:0043068,positive regulation of programmed cell death,M010,1,0
0,1,0,0,-3.5,0,GO:0032722,positive regulation of chemokine production,M010,1,0
0,0,1,0,0,-2.1,WP69,T cell receptor signaling pathway,M001,1,0
1,0,0,-2.5,0,0,GO:0040011,locomotion,M100,1,0
1,0,0,-2.1,0,0,GO:0060350,endochondral bone morphogenesis,M100,1,0
0,1,0,0,-2.4,0,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,M010,1,0
0,0,1,0,0,-3,M186,PID PDGFRB PATHWAY,M001,1,0
0,0,1,0,0,-2.7,GO:1903944,negative regulation of hepatocyte apoptotic process,M001,1,0
0,1,0,0,-2.3,0,hsa05145,Toxoplasmosis,M010,1,0
1,0,0,-4.5,0,0,R-HSA-198725,Nuclear Events (kinase and transcription factor activation),M100,1,0
0,0,1,0,0,-2,M257,PID EPHRINB REV PATHWAY,M001,1,0
0,0,1,0,0,-2.9,WP5373,Osteoarthritic chondrocyte hypertrophy,M001,1,0
0,0,1,0,0,-2.4,R-HSA-2871796,FCERI mediated MAPK activation,M001,1,0
