_MEMBER_data_imp_1 - 94.0-96.0,_MEMBER_data_imp_1 - 96.0-98.0,_MEMBER_data_imp_1 - 98.0-100.0,_LogP_data_imp_1 - 94.0-96.0,_LogP_data_imp_1 - 96.0-98.0,_LogP_data_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,-2.6,-2.2,-2.3,GO:0007167,enzyme-linked receptor protein signaling pathway,M111,3,0
1,1,1,-1.4,-1.4,-1.7,GO:0150063,visual system development,M111,3,0
1,1,1,-1.1,-0.7,-0.7,GO:0016485,protein processing,M111,3,0
1,1,1,-2.9,-0.98,-2.9,GO:0090068,positive regulation of cell cycle process,M111,3,0
1,1,1,-2.2,-3.1,-3.1,GO:0045596,negative regulation of cell differentiation,M111,3,0
1,1,1,-1.7,-1.4,-1.4,GO:0007517,muscle organ development,M111,3,0
1,1,1,-1.6,-1.1,-1.1,WP5236,Markers of kidney cell lineage,M111,3,0
1,1,1,-3.1,-1,-3.1,GO:0045787,positive regulation of cell cycle,M111,3,0
1,1,1,-3.1,-0.72,-2.5,GO:0045582,positive regulation of T cell differentiation,M111,3,0
1,1,1,-0.73,-0.73,-0.73,GO:0045599,negative regulation of fat cell differentiation,M111,3,0
1,1,1,-1.1,-1.1,-1.4,GO:0022408,negative regulation of cell-cell adhesion,M111,3,0
1,1,1,-0.95,-0.95,-0.96,WP2324,AGE RAGE pathway,M111,3,0
1,1,1,-3.4,-1.7,-1.1,hsa05166,Human T-cell leukemia virus 1 infection,M111,3,0
1,1,1,-2.1,-2.1,-1.6,WP5087,Pleural mesothelioma,M111,3,0
1,1,1,-0.57,-0.57,-1.5,GO:0022029,telencephalon cell migration,M111,3,0
1,1,1,-2.8,-0.77,-1.8,GO:0007264,small GTPase-mediated signal transduction,M111,3,0
1,1,1,-2.5,-3.4,-2.8,GO:0060322,head development,M111,3,0
1,1,1,-1.6,-0.9,-2,GO:0048839,inner ear development,M111,3,0
1,1,1,-0.9,-1.6,-1.3,GO:0032675,regulation of interleukin-6 production,M111,3,0
1,1,1,-2.2,-1,-1,GO:0002707,negative regulation of lymphocyte mediated immunity,M111,3,0
1,1,1,-2.7,-1.4,-0.55,WP2261,Glioblastoma signaling pathways,M111,3,0
1,1,1,-0.98,-1.9,-2.7,GO:0043434,response to peptide hormone,M111,3,0
1,1,1,-1.9,-3.5,-4.2,GO:1902893,regulation of miRNA transcription,M111,3,0
1,1,1,-1.6,-1.3,-2.6,GO:0050804,modulation of chemical synaptic transmission,M111,3,0
1,1,1,-1.9,-0.94,-0.95,GO:0097306,cellular response to alcohol,M111,3,0
1,1,1,-0.55,-0.95,-0.96,WP4321,Thermogenesis,M111,3,0
1,1,1,-2,-2,-2,WP437,EGF EGFR signaling pathway,M111,3,0
1,1,1,-0.75,-0.74,-2.1,GO:0021987,cerebral cortex development,M111,3,0
1,1,1,-0.8,-1.5,-0.81,GO:0035051,cardiocyte differentiation,M111,3,0
1,1,1,-4,-1.1,-0.82,hsa05206,MicroRNAs in cancer,M111,3,0
1,1,1,-2,-1.2,-2,R-HSA-6794362,Protein-protein interactions at synapses,M111,3,0
1,1,1,-0.96,-0.63,-4.1,GO:0007605,sensory perception of sound,M111,3,0
1,1,1,-3.3,-2.2,-1.3,GO:0045859,regulation of protein kinase activity,M111,3,0
1,1,1,-0.75,-0.74,-1.2,GO:0048332,mesoderm morphogenesis,M111,3,0
1,1,1,-2.5,-2.9,-4.1,GO:0098609,cell-cell adhesion,M111,3,0
1,1,1,-1.3,-1.9,-0.88,R-HSA-9700206,Signaling by ALK in cancer,M111,3,0
1,1,1,-1.8,-3.1,-3.1,WP3527,Pre implantation embryo,M111,3,0
1,1,1,-7.2,-1.3,-0.97,hsa04218,Cellular senescence,M111,3,0
1,1,1,-2.8,-0.77,-3.3,hsa04810,Regulation of actin cytoskeleton,M111,3,0
1,1,1,-0.52,-0.52,-2,GO:0021885,forebrain cell migration,M111,3,0
1,1,1,-3.5,-2.4,-3.9,GO:1901699,cellular response to nitrogen compound,M111,3,0
1,1,1,-1.6,-1.9,-3.4,GO:1901652,response to peptide,M111,3,0
1,1,1,-2.1,-0.69,-1.6,R-HSA-2219528,PI3K/AKT Signaling in Cancer,M111,3,0
1,1,1,-2.6,-1.6,-1.7,GO:0071396,cellular response to lipid,M111,3,0
1,1,1,-0.6,-1,-0.6,R-HSA-9679191,Potential therapeutics for SARS,M111,3,0
1,1,1,-1.1,-1.7,-4.5,GO:0007268,chemical synaptic transmission,M111,3,0
1,1,1,-2.1,-1.1,-1.1,GO:0014910,regulation of smooth muscle cell migration,M111,3,0
1,1,1,-3.3,-0.77,-1.1,GO:0042129,regulation of T cell proliferation,M111,3,0
1,1,1,-1.8,-1.8,-1.3,GO:0043401,steroid hormone mediated signaling pathway,M111,3,0
1,1,1,-1.3,-1.6,-2.1,WP236,Adipogenesis,M111,3,0
1,1,1,-1.3,-0.9,-1.3,GO:1903038,negative regulation of leukocyte cell-cell adhesion,M111,3,0
1,1,1,-2.7,-1.4,-0.55,hsa01521,EGFR tyrosine kinase inhibitor resistance,M111,3,0
1,1,1,-0.91,-1.4,-0.52,hsa04910,Insulin signaling pathway,M111,3,0
1,1,1,-1.2,-0.82,-0.83,hsa04390,Hippo signaling pathway,M111,3,0
1,1,1,-1.1,-0.81,-1.1,GO:0021543,pallium development,M111,3,0
1,1,1,-2.9,-0.96,-1.4,GO:0050851,antigen receptor-mediated signaling pathway,M111,3,0
1,1,1,-1.6,-1.1,-0.63,M10,PID BCR 5PATHWAY,M111,3,0
1,1,1,-1.4,-3.2,-3.7,GO:0070848,response to growth factor,M111,3,0
1,1,1,-3.8,-0.81,-0.81,GO:0031032,actomyosin structure organization,M111,3,0
1,1,1,-2.9,-1.8,-3.3,GO:0001701,in utero embryonic development,M111,3,0
1,1,1,-0.95,-0.95,-0.55,WP399,Wnt signaling pathway and pluripotency,M111,3,0
1,1,1,-3.2,-0.69,-0.7,GO:0007405,neuroblast proliferation,M111,3,0
1,1,1,-2.5,-1.1,-1.1,GO:0050866,negative regulation of cell activation,M111,3,0
1,1,1,-2.4,-0.99,-1,M8626,SIG BCR SIGNALING PATHWAY,M111,3,0
1,1,1,-1.8,-1.2,-3.1,GO:0050871,positive regulation of B cell activation,M111,3,0
1,1,1,-1.4,-1.4,-1.4,GO:0071353,cellular response to interleukin-4,M111,3,0
1,1,1,-2.1,-1.3,-1.3,GO:0070670,response to interleukin-4,M111,3,0
1,1,1,-1.4,-3.5,-1.1,GO:0048667,cell morphogenesis involved in neuron differentiation,M111,3,0
1,1,1,-1.9,-0.94,-1.9,hsa04658,Th1 and Th2 cell differentiation,M111,3,0
1,1,1,-1.3,-0.9,-1.3,GO:0036294,cellular response to decreased oxygen levels,M111,3,0
1,1,1,-0.81,-0.8,-2,GO:0021795,cerebral cortex cell migration,M111,3,0
1,1,1,-1.3,-1.2,-1.3,hsa05017,Spinocerebellar ataxia,M111,3,0
1,1,1,-1.6,-0.6,-0.6,GO:0046638,positive regulation of alpha-beta T cell differentiation,M111,3,0
1,1,1,-3.1,-1.2,-2.1,GO:0009611,response to wounding,M111,3,0
1,1,1,-2.4,-4,-2.7,GO:0007420,brain development,M111,3,0
1,1,1,-1.2,-0.74,-1.7,R-HSA-199418,Negative regulation of the PI3K/AKT network,M111,3,0
1,1,1,-1.2,-2.7,-1.9,GO:0043254,regulation of protein-containing complex assembly,M111,3,0
1,1,1,-0.63,-1.1,-2.3,GO:1901989,positive regulation of cell cycle phase transition,M111,3,0
1,1,1,-0.55,-0.95,-0.96,GO:1904705,regulation of vascular associated smooth muscle cell proliferation,M111,3,0
1,1,1,-0.66,-0.66,-0.66,GO:0051224,negative regulation of protein transport,M111,3,0
1,1,1,-0.57,-0.99,-0.58,GO:0003143,embryonic heart tube morphogenesis,M111,3,0
1,1,1,-1.3,-3,-0.92,WP23,B cell receptor signaling pathway,M111,3,0
1,1,1,-1.3,-1.3,-1.9,GO:0007162,negative regulation of cell adhesion,M111,3,0
1,1,1,-1.4,-1.1,-1.1,GO:0008016,regulation of heart contraction,M111,3,0
1,1,1,-0.96,-0.96,-2.9,GO:0030326,embryonic limb morphogenesis,M111,3,0
1,1,1,-0.77,-3.9,-3.3,hsa04550,Signaling pathways regulating pluripotency of stem cells,M111,3,0
1,1,1,-1.5,-1.2,-1.2,GO:0043010,camera-type eye development,M111,3,0
1,1,1,-1.1,-1.1,-1.6,GO:0071453,cellular response to oxygen levels,M111,3,0
1,1,1,-2.5,-1,-1,GO:0050670,regulation of lymphocyte proliferation,M111,3,0
1,1,1,-1.3,-1.2,-1.8,GO:0051153,regulation of striated muscle cell differentiation,M111,3,0
1,1,1,-3.2,-0.61,-1.4,GO:0061351,neural precursor cell proliferation,M111,3,0
1,1,1,-1.3,-1.3,-0.86,hsa04144,Endocytosis,M111,3,0
1,1,1,-1.2,-0.74,-2.3,GO:0072132,mesenchyme morphogenesis,M111,3,0
1,1,1,-1.2,-1.2,-1.2,GO:0022612,gland morphogenesis,M111,3,0
1,1,1,-0.6,-1,-0.6,WP1591,Heart development,M111,3,0
1,1,1,-1.9,-1.3,-2.6,GO:2000648,positive regulation of stem cell proliferation,M111,3,0
1,1,1,-0.95,-0.95,-0.96,R-HSA-9013423,RAC3 GTPase cycle,M111,3,0
1,1,1,-2.8,-1.9,-0.87,WP306,Focal adhesion,M111,3,0
1,1,1,-0.5,-1.3,-1.9,WP2849,Hematopoietic stem cell differentiation,M111,3,0
1,1,1,-1.6,-2,-0.83,GO:0030879,mammary gland development,M111,3,0
1,1,1,-1.8,-2.9,-3.7,GO:0007423,sensory organ development,M111,3,0
1,1,1,-1.8,-1.8,-0.85,GO:1905314,semi-lunar valve development,M111,3,0
1,1,1,-1.8,-0.91,-0.92,GO:0046637,regulation of alpha-beta T cell differentiation,M111,3,0
1,1,1,-1.9,-0.5,-1.4,GO:0043370,"regulation of CD4-positive, alpha-beta T cell differentiation",M111,3,0
1,1,1,-3.4,-0.69,-1.1,GO:0031341,regulation of cell killing,M111,3,0
1,1,1,-1.3,-0.85,-1.3,GO:0048661,positive regulation of smooth muscle cell proliferation,M111,3,0
1,1,1,-2.3,-3.4,-4,GO:0140747,regulation of ncRNA transcription,M111,3,0
1,1,1,-1.8,-3.9,-3.9,GO:2000628,regulation of miRNA metabolic process,M111,3,0
1,1,1,-0.77,-1.6,-0.78,GO:0051346,negative regulation of hydrolase activity,M111,3,0
1,1,1,-1.4,-1.4,-5.5,GO:0099536,synaptic signaling,M111,3,0
1,1,1,-0.57,-1.8,-0.57,GO:0021510,spinal cord development,M111,3,0
1,1,1,-0.66,-1.1,-1.1,GO:0071229,cellular response to acid chemical,M111,3,0
1,1,1,-2.5,-1.7,-4,GO:1901653,cellular response to peptide,M111,3,0
1,1,1,-0.69,-1.2,-0.7,GO:0061371,determination of heart left/right asymmetry,M111,3,0
1,1,1,-1.7,-0.92,-2.1,GO:0002700,regulation of production of molecular mediator of immune response,M111,3,0
1,1,1,-1.2,-0.69,-0.7,WP2406,Cardiac progenitor differentiation,M111,3,0
1,1,1,-1.9,-0.87,-0.5,GO:0032663,regulation of interleukin-2 production,M111,3,0
1,1,1,-1.3,-1.3,-0.5,hsa05212,Pancreatic cancer,M111,3,0
1,1,1,-1.1,-1.8,-1.1,WP4241,Type 2 papillary renal cell carcinoma,M111,3,0
1,1,1,-0.84,-1.8,-0.85,GO:0072089,stem cell proliferation,M111,3,0
1,1,1,-1.4,-1.4,-2.7,GO:0071375,cellular response to peptide hormone stimulus,M111,3,0
1,1,1,-1.7,-0.85,-0.86,GO:0001656,metanephros development,M111,3,0
1,1,1,-1.1,-1.9,-2.4,R-HSA-112315,Transmission across Chemical Synapses,M111,3,0
1,1,1,-1.2,-0.74,-0.75,M279,PID RB 1PATHWAY,M111,3,0
1,1,1,-1.4,-1.9,-0.99,GO:0055007,cardiac muscle cell differentiation,M111,3,0
1,1,1,-2.4,-1.6,-2.9,GO:0097305,response to alcohol,M111,3,0
1,1,1,-3.7,-1,-1.6,WP5098,T cell activation SARS CoV 2,M111,3,0
1,1,1,-2,-1.2,-1.2,hsa04914,Progesterone-mediated oocyte maturation,M111,3,0
1,1,1,-0.78,-0.78,-0.79,GO:0033673,negative regulation of kinase activity,M111,3,0
1,1,1,-2.3,-1.7,-2.3,GO:1902895,positive regulation of miRNA transcription,M111,3,0
1,1,1,-1.8,-3.1,-2.4,GO:0032870,cellular response to hormone stimulus,M111,3,0
1,1,1,-0.85,-1.2,-1.2,GO:0031334,positive regulation of protein-containing complex assembly,M111,3,0
1,1,1,-1.8,-1.3,-1.3,GO:0071902,positive regulation of protein serine/threonine kinase activity,M111,3,0
1,1,1,-1.3,-1.7,-1.3,GO:0003170,heart valve development,M111,3,0
1,1,1,-0.94,-0.94,-0.94,GO:1904707,positive regulation of vascular associated smooth muscle cell proliferation,M111,3,0
1,1,1,-0.77,-2.1,-0.78,WP2884,NRF2 pathway,M111,3,0
1,1,1,-1,-1,-0.64,GO:0002286,T cell activation involved in immune response,M111,3,0
1,1,1,-0.73,-1.2,-0.73,GO:0001947,heart looping,M111,3,0
1,1,1,-2,-0.54,-0.96,WP4685,Melanoma,M111,3,0
1,1,1,-1.6,-0.6,-1.6,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,M111,3,0
1,1,1,-1.6,-1.1,-2.1,WP4808,Endochondral ossification with skeletal dysplasias,M111,3,0
1,1,1,-1.4,-0.65,-0.66,GO:0050868,negative regulation of T cell activation,M111,3,0
1,1,1,-0.73,-0.73,-4.2,M60,PID NFAT TFPATHWAY,M111,3,0
1,1,1,-1.6,-0.93,-2.4,GO:0043583,ear development,M111,3,0
1,1,1,-1.2,-0.69,-0.7,GO:0032720,negative regulation of tumor necrosis factor production,M111,3,0
1,1,1,-0.63,-0.63,-1.4,GO:0043405,regulation of MAP kinase activity,M111,3,0
1,1,1,-2.6,-1,-1,GO:0044770,cell cycle phase transition,M111,3,0
1,1,1,-0.77,-1.3,-2.6,GO:0007193,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,M111,3,0
1,1,1,-1.4,-2.3,-0.64,GO:0006109,regulation of carbohydrate metabolic process,M111,3,0
1,1,1,-0.76,-0.75,-0.76,GO:0048639,positive regulation of developmental growth,M111,3,0
1,1,1,-1.3,-1.1,-2.3,GO:0045165,cell fate commitment,M111,3,0
1,1,1,-2,-0.64,-1.5,GO:2000514,"regulation of CD4-positive, alpha-beta T cell activation",M111,3,0
1,1,1,-0.89,-0.89,-1.5,M34,PID TCR PATHWAY,M111,3,0
1,1,1,-0.69,-0.69,-0.7,hsa04750,Inflammatory mediator regulation of TRP channels,M111,3,0
1,1,1,-3.8,-2.1,-1.1,GO:0051347,positive regulation of transferase activity,M111,3,0
1,1,1,-1.3,-1,-1,GO:0048545,response to steroid hormone,M111,3,0
1,1,1,-3.2,-2.2,-0.81,hsa04510,Focal adhesion,M111,3,0
1,1,1,-0.78,-0.77,-1.7,hsa05321,Inflammatory bowel disease,M111,3,0
1,1,1,-0.81,-1.2,-0.81,GO:0032945,negative regulation of mononuclear cell proliferation,M111,3,0
1,1,1,-1.6,-3.7,-1,WP4674,Head and neck squamous cell carcinoma,M111,3,0
1,1,1,-0.91,-0.91,-1.4,GO:0043406,positive regulation of MAP kinase activity,M111,3,0
1,1,1,-2.1,-1.6,-1.2,WP4666,Hepatitis B infection,M111,3,0
1,1,1,-0.91,-2,-0.92,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,M111,3,0
1,1,1,-1.7,-1.7,-1.7,R-HSA-6794361,Neurexins and neuroligins,M111,3,0
1,1,1,-1.1,-0.66,-0.66,hsa04211,Longevity regulating pathway,M111,3,0
1,1,1,-1.1,-3.5,-1.1,GO:0007411,axon guidance,M111,3,0
1,1,1,-1.6,-1.6,-2.5,WP53,ID signaling pathway,M111,3,0
1,1,1,-1.3,-0.87,-1.4,GO:0051591,response to cAMP,M111,3,0
1,1,1,-1.6,-1.1,-1.1,WP3998,Prader Willi and Angelman syndrome,M111,3,0
1,1,1,-1.1,-1.1,-1.7,hsa04660,T cell receptor signaling pathway,M111,3,0
1,1,1,-0.72,-1.5,-0.73,WP536,Calcium regulation in cardiac cells,M111,3,0
1,1,1,-1.7,-0.85,-2.9,M167,PID AP1 PATHWAY,M111,3,0
1,1,1,-1.2,-1.2,-2.9,GO:0002639,positive regulation of immunoglobulin production,M111,3,0
1,1,1,-1.5,-1.5,-1.5,GO:0071383,cellular response to steroid hormone stimulus,M111,3,0
1,1,1,-4.2,-1.6,-1.6,GO:0040017,positive regulation of locomotion,M111,3,0
1,1,1,-1.1,-1.7,-4.5,GO:0098916,anterograde trans-synaptic signaling,M111,3,0
1,1,1,-1.2,-3.2,-1.5,GO:0050679,positive regulation of epithelial cell proliferation,M111,3,0
1,1,1,-0.52,-0.91,-0.52,GO:0071333,cellular response to glucose stimulus,M111,3,0
1,1,1,-1.4,-1.8,-1.8,GO:0060173,limb development,M111,3,0
1,1,1,-2,-2,-0.92,GO:0003176,aortic valve development,M111,3,0
1,1,1,-1.1,-1.1,-3.4,WP5218,Extrafollicular and follicular B cell activation by SARS CoV 2,M111,3,0
1,1,1,-0.59,-0.94,-2.5,M195,PID CMYB PATHWAY,M111,3,0
1,1,1,-2.2,-1.7,-2.7,WP5083,Neuroinflammation and glutamatergic signaling,M111,3,0
1,1,1,-0.8,-0.8,-0.81,GO:0006469,negative regulation of protein kinase activity,M111,3,0
1,1,1,-2.6,-1.1,-1.4,GO:0007015,actin filament organization,M111,3,0
1,1,1,-1.4,-0.59,-0.95,GO:0001837,epithelial to mesenchymal transition,M111,3,0
1,1,1,-1.3,-1.3,-0.81,GO:1904892,regulation of receptor signaling pathway via STAT,M111,3,0
1,1,1,-1.1,-0.84,-1.2,GO:0002695,negative regulation of leukocyte activation,M111,3,0
1,1,1,-0.69,-0.69,-0.7,R-HSA-9013149,RAC1 GTPase cycle,M111,3,0
1,1,1,-3.1,-1.6,-2.6,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,M111,3,0
1,1,1,-2.4,-1,-1.3,GO:0070663,regulation of leukocyte proliferation,M111,3,0
1,1,1,-0.64,-2,-2,GO:1901655,cellular response to ketone,M111,3,0
1,1,1,-2.3,-1.1,-0.63,GO:0050853,B cell receptor signaling pathway,M111,3,0
1,1,1,-1.8,-1.1,-1.8,GO:0002768,immune response-regulating cell surface receptor signaling pathway,M111,3,0
1,1,1,-2.2,-2.9,-2.6,GO:0071407,cellular response to organic cyclic compound,M111,3,0
1,1,1,-0.57,-0.91,-1.3,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,M111,3,0
1,1,1,-0.64,-1,-1,GO:0070664,negative regulation of leukocyte proliferation,M111,3,0
1,1,1,-1.2,-1.2,-0.75,R-HSA-3000171,Non-integrin membrane-ECM interactions,M111,3,0
1,1,1,-1.4,-1.4,-1.7,GO:0048880,sensory system development,M111,3,0
1,1,1,-1.8,-1.2,-2.8,GO:0044057,regulation of system process,M111,3,0
1,1,1,-0.96,-0.96,-2.9,GO:0035113,embryonic appendage morphogenesis,M111,3,0
1,1,1,-0.96,-0.63,-0.97,GO:0002718,regulation of cytokine production involved in immune response,M111,3,0
1,1,1,-1.9,-0.76,-1.3,M65,PID FRA PATHWAY,M111,3,0
1,1,1,-2.7,-1.7,-3.5,GO:0071417,cellular response to organonitrogen compound,M111,3,0
1,1,1,-1.4,-2.8,-1.4,GO:0051147,regulation of muscle cell differentiation,M111,3,0
1,1,1,-1.1,-0.63,-1.1,WP117,GPCRs other,M111,3,0
1,1,1,-0.59,-1.4,-1.9,R-HSA-187037,Signaling by NTRK1 (TRKA),M111,3,0
1,1,1,-1.2,-1.5,-4.7,GO:0099537,trans-synaptic signaling,M111,3,0
1,1,1,-2.4,-3.1,-2.8,GO:0061061,muscle structure development,M111,3,0
1,1,1,-1.2,-2.6,-1.2,hsa04380,Osteoclast differentiation,M111,3,0
1,1,1,-1.2,-1.5,-3,GO:0042110,T cell activation,M111,3,0
1,1,1,-1.6,-0.77,-1.6,GO:0002702,positive regulation of production of molecular mediator of immune response,M111,3,0
1,1,1,-1.7,-2.3,-0.66,WP673,ErbB signaling pathway,M111,3,0
1,1,1,-3,-1.3,-1.8,GO:0060021,roof of mouth development,M111,3,0
1,1,1,-1.6,-1.3,-2.6,GO:0099177,regulation of trans-synaptic signaling,M111,3,0
1,1,1,-1.5,-0.78,-1.1,GO:0003279,cardiac septum development,M111,3,0
1,1,1,-1.1,-1.5,-1.5,WP5130,Th17 cell differentiation pathway,M111,3,0
1,1,1,-1,-0.6,-2.9,GO:0003203,endocardial cushion morphogenesis,M111,3,0
1,1,1,-0.96,-1.3,-2,GO:0045664,regulation of neuron differentiation,M111,3,0
1,1,1,-1.5,-1.5,-1.3,GO:0001654,eye development,M111,3,0
1,1,1,-1.2,-1.2,-0.73,WP2034,Leptin signaling pathway,M111,3,0
1,1,1,-1.2,-1.9,-1.9,GO:0090596,sensory organ morphogenesis,M111,3,0
1,1,1,-1.1,-2.3,-1.6,WP2882,Nuclear receptors meta pathway,M111,3,0
1,1,1,-1.9,-1.6,-1.9,GO:0042692,muscle cell differentiation,M111,3,0
1,1,1,-1.1,-0.66,-0.66,GO:0042130,negative regulation of T cell proliferation,M111,3,0
1,1,1,-4,-0.5,-0.5,GO:0001910,regulation of leukocyte mediated cytotoxicity,M111,3,0
1,1,1,-4,-2.3,-1,hsa05207,Chemical carcinogenesis - receptor activation,M111,3,0
1,1,1,-4.2,-1.2,-3.3,M28,PID IL4 2PATHWAY,M111,3,0
1,1,1,-1.1,-2,-2.1,M124,PID CXCR4 PATHWAY,M111,3,0
1,1,1,-1.6,-1.1,-1.2,WP51,Regulation of actin cytoskeleton,M111,3,0
1,1,1,-2.2,-1.2,-0.75,GO:0044772,mitotic cell cycle phase transition,M111,3,0
1,1,1,-0.92,-0.57,-1.8,GO:0030832,regulation of actin filament length,M111,3,0
1,1,1,-2.3,-0.77,-1.2,GO:0002704,negative regulation of leukocyte mediated immunity,M111,3,0
1,1,1,-1.5,-1.1,-1.5,GO:0060411,cardiac septum morphogenesis,M111,3,0
1,1,1,-1.6,-1.6,-0.63,GO:0060412,ventricular septum morphogenesis,M111,3,0
1,1,1,-0.55,-0.95,-0.96,GO:0060761,negative regulation of response to cytokine stimulus,M111,3,0
1,1,1,-0.64,-1,-0.64,hsa05414,Dilated cardiomyopathy,M111,3,0
1,1,1,-0.63,-1.6,-0.63,WP4823,Genes controlling nephrogenesis,M111,3,0
1,1,1,-1.2,-1.2,-0.73,WP395,IL 4 signaling pathway,M111,3,0
1,1,1,-0.94,-0.94,-3.1,GO:0002637,regulation of immunoglobulin production,M111,3,0
1,1,1,-1.6,-1.1,-0.78,hsa04072,Phospholipase D signaling pathway,M111,3,0
1,1,1,-1.7,-2.5,-1.1,GO:0045936,negative regulation of phosphate metabolic process,M111,3,0
1,1,1,-2.8,-1.7,-0.94,hsa04659,Th17 cell differentiation,M111,3,0
1,1,1,-1.6,-0.9,-0.92,R-HSA-1257604,PIP3 activates AKT signaling,M111,3,0
1,1,1,-0.57,-0.57,-0.58,GO:0001960,negative regulation of cytokine-mediated signaling pathway,M111,3,0
1,1,1,-1.5,-1,-0.67,GO:0003179,heart valve morphogenesis,M111,3,0
1,1,1,-1,-1.3,-2.4,GO:0030099,myeloid cell differentiation,M111,3,0
1,1,1,-4.2,-2.1,-1.4,GO:0045860,positive regulation of protein kinase activity,M111,3,0
1,1,1,-0.91,-0.52,-0.52,hsa05221,Acute myeloid leukemia,M111,3,0
1,1,1,-1.3,-0.93,-1.3,GO:0071456,cellular response to hypoxia,M111,3,0
1,1,1,-1.3,-0.8,-0.81,GO:0030890,positive regulation of B cell proliferation,M111,3,0
1,1,1,-0.55,-0.95,-0.55,GO:1904950,negative regulation of establishment of protein localization,M111,3,0
1,1,1,-0.94,-2.3,-0.94,GO:0045913,positive regulation of carbohydrate metabolic process,M111,3,0
1,1,1,-3,-1.9,-1.7,GO:0030029,actin filament-based process,M111,3,0
1,1,1,-1.6,-2,-2,GO:0051146,striated muscle cell differentiation,M111,3,0
1,1,1,-1.4,-0.59,-0.59,GO:1905330,regulation of morphogenesis of an epithelium,M111,3,0
1,1,1,-0.81,-1.2,-0.81,GO:0050672,negative regulation of lymphocyte proliferation,M111,3,0
